,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,0,0,0
2,Buruliulcer,0,0,0
3,Chagas disease,0,0,0
4,Chickenpox,0,0,0
5,Chikungunya,0,0,0
6,Coccidioidomycosis,0,0,0
7,Congo-Crimean HF,0,0,0
8,CreutzfeldtJakobDisease,0,0,0
9,Dracunculus,0,0,0
10,Echinococcus,0,0,0
11,Enterobiasis,0,0,0
12,Epstein Barr Virus,0,0,0
13,Fasciola,0,0,0
14,Fasciolopsiasis,0,0,0
15,Filariasis,0,0,0
16,Giardiasis,0,0,0
17,Gonococcal,0,0,0
18,HendraVirus,0,0,0
19,Hymenolepsis,0,0,0
20,Kaposis Sarcoma,0,0,0
21,Lassa Fever,0,0,0
22,Leishmaniasis,0,0,0
23,Leptospirosis,0,0,0
24,Listeriosis,0,0,0
25,Lujo,0,0,0
26,Meningitis,0,0,1
27,Mumps,1,0,0
28,NDM-1,0,0,0
29,NipahVirus,0,0,0
30,Onchocerciasis,0,0,0
31,Rabies,0,1,1
32,Rickettsiosis,0,0,0
33,Roseolo virus,0,0,0
34,Rubella,1,0,0
35,Saxitoxin Poisoning,0,0,0
36,Scabies,1,0,1
37,SchmallenbergVirus,0,0,0
38,Sleeping Sickness,0,0,0
39,Strongyloidiasis,0,0,0
40,Syphilis,1,1,1
41,Tetanus,0,0,0
42,Toxoplasma,0,0,0
43,Trachoma,0,0,0
44,Trichinella,0,0,0
45,Trichomoniasis,0,0,0
46,Trichuris,0,0,0
47,Tularemia,0,0,0
48,Visceral Leishmaniasis,0,0,0
49,Yaws,0,0,0
