,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,0,0,0
2,Buruliulcer,0,0,0
3,Chagas disease,0,0,0
4,Chickenpox,0,0,0
5,Chikungunya,0,0,0
6,Chlamydia Infection,0,0,0
7,Coccidioidomycosis,0,0,0
8,Congo-Crimean HF,0,0,0
9,CreutzfeldtJakobDisease,0,0,0
10,Dracunculus,0,0,0
11,Echinococcus,0,0,0
12,Enterobiasis,0,0,0
13,Epstein Barr Virus,0,0,0
14,Fasciola,0,0,0
15,Fasciolopsiasis,0,0,0
16,Giardiasis,0,0,0
17,HendraVirus,0,0,0
18,Hymenolepsis,0,0,0
19,Kaposis Sarcoma,0,0,0
20,Lassa Fever,0,0,0
21,Leishmaniasis,0,0,0
22,Leptospirosis,0,0,0
23,Listeriosis,0,0,0
24,Lujo,0,0,0
25,Lymphogranuloma,0,0,0
26,Meningitis,1,0,0
27,Mumps,1,0,0
28,NDM-1,0,0,0
29,NipahVirus,0,0,0
30,Nosocomial,0,0,0
31,Onchocerciasis,0,0,0
32,Rabies,1,1,1
33,Rickettsiosis,0,0,0
34,Roseolo virus,0,0,0
35,Rubella,1,0,0
36,Saxitoxin Poisoning,0,0,0
37,Scabies,1,0,0
38,SchmallenbergVirus,0,0,0
39,Sleeping Sickness,0,0,0
40,Strongyloidiasis,0,0,0
41,Syphilis,1,0,1
42,Toxoplasma,1,0,0
43,Trachoma,0,0,0
44,Trichinella,0,0,0
45,Trichomoniasis,0,0,0
46,Trichuris,0,0,0
47,Tularemia,0,0,0
48,Visceral Leishmaniasis,0,0,0
49,Yaws,0,0,0
