,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,0,0,0
2,Buruliulcer,0,0,0
3,Chagas disease,0,0,0
4,Chikungunya,0,0,0
5,Coccidioidomycosis,0,0,0
6,Congo-Crimean HF,0,0,0
7,CreutzfeldtJakobDisease,0,0,0
8,Dracunculus,0,0,0
9,Echinococcus,0,0,0
10,Enterobiasis,0,0,0
11,Epstein Barr Virus,0,0,0
12,Fasciola,0,0,0
13,Fasciolopsiasis,0,0,0
14,Filariasis,0,0,0
15,Giardiasis,0,0,0
16,Gonococcal,0,0,0
17,HendraVirus,0,0,0
18,Hymenolepsis,0,0,0
19,Lassa Fever,0,0,0
20,Leishmaniasis,0,0,0
21,Leptospirosis,0,0,0
22,Listeriosis,0,0,0
23,Lujo,0,0,0
24,Meningitis,1,0,0
25,Mumps,1,0,0
26,NDM-1,0,0,0
27,NipahVirus,0,0,0
28,Onchocerciasis,0,0,0
29,Rabies,0,1,1
30,Rickettsiosis,0,0,0
31,Roseolo virus,0,0,0
32,Rubella,1,0,0
33,Saxitoxin Poisoning,0,0,0
34,Scabies,1,0,0
35,SchmallenbergVirus,0,0,0
36,Sleeping Sickness,0,0,0
37,Strongyloidiasis,0,0,0
38,Syphilis,1,1,1
39,Tetanus,0,0,0
40,Toxoplasma,0,0,0
41,Trachoma,0,0,0
42,Trichinella,0,0,0
43,Trichomoniasis,0,0,0
44,Trichuris,0,0,0
45,Tularemia,0,0,0
46,Visceral Leishmaniasis,0,0,0
47,Yaws,0,0,0
