,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Korea, Democratic People's Republic of",0.0,2.0,1.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,244.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0
Sweden,0.0,3.0,1.0,82.0,0.0,2.0,3.0,0.0,11.0,0.0,1.0,1.0,20.0,8.0,0.0,21.0,2.0,959.0,0.0,0.0,18.0,7.0,1.0,7.0,0.0,50.0,4.0,19.0,3.0,0.0,10.0,1.0,29.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,22.0,5.0,7.0,0.0,7.0,16.0,14.0,1.0,13.0,3.0,0.0,0.0,129.0,0.0,1.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,25.0,82.0,1.0,54.0,2.0,0.0,0.0,0.0,23.0,7.0,1.0,0.0,37.0,8.0,9.0,0.0,8.0,159.0,0.0,3.0,6.0,3.0,13.0,6.0,39.0,0.0,0.0,1.0,1.0,5.0,1.0,23.0,0.0,29.0,28.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,16.0,4.0,8.0,1.0,0.0,0.0,0.0,3.0,48.0
Gambia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lao People's Democratic Republic,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,102.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0
Kazakhstan,0.0,5.0,0.0,15.0,2.0,1.0,12.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,2.0,5.0,4.0,237.0,0.0,0.0,50.0,4.0,3.0,17.0,0.0,24.0,4.0,4.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,11.0,1.0,0.0,0.0,1.0,9.0,4.0,2.0,3.0,2.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,10.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,110.0,1.0,0.0,13.0,4.0,0.0,0.0,0.0,2.0,1.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,20.0,1.0,5.0,2.0,0.0,0.0,0.0,4.0,4.0
Mongolia,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,113.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,418.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Palestine, State of",0.0,1.0,14.0,457.0,0.0,2.0,5.0,1.0,72.0,0.0,1.0,0.0,0.0,1.0,0.0,56.0,0.0,1675.0,0.0,0.0,8.0,8.0,9.0,437.0,0.0,42.0,0.0,57.0,7.0,0.0,16.0,0.0,8.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,52.0,16.0,1.0,18.0,7.0,0.0,0.0,424.0,0.0,0.0,0.0,1.0,3.0,22.0,2.0,0.0,1.0,4.0,0.0,82.0,18.0,1.0,107.0,3.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,14.0,15.0,65.0,0.0,3.0,46.0,0.0,3.0,14.0,19.0,45.0,5.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,14.0,0.0,90.0,7.0,0.0,8.0,1.0,0.0,0.0,0.0,13.0,42.0,0.0,11.0,10.0,0.0,4.0,4.0,3.0,17.0
Turkey,0.0,4.0,0.0,48.0,0.0,9.0,6.0,0.0,4.0,1.0,8.0,1.0,3.0,1.0,0.0,15.0,0.0,1129.0,3.0,0.0,33.0,7.0,3.0,39.0,2.0,15.0,6.0,12.0,4.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,181.0,25.0,0.0,3.0,2.0,0.0,0.0,16.0,63.0,19.0,4.0,53.0,3.0,1.0,0.0,137.0,0.0,3.0,0.0,1.0,2.0,10.0,3.0,0.0,0.0,1.0,0.0,9.0,23.0,4.0,128.0,31.0,4.0,0.0,0.0,41.0,9.0,0.0,17.0,2.0,25.0,24.0,0.0,42.0,282.0,0.0,0.0,15.0,2.0,36.0,46.0,19.0,0.0,36.0,3.0,0.0,1.0,17.0,58.0,0.0,26.0,4.0,1.0,22.0,7.0,1.0,1.0,0.0,0.0,59.0,0.0,13.0,8.0,0.0,1.0,14.0,5.0,17.0
Haiti,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,62.0,0.0,4.0,0.0,99.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,7.0
Ethiopia,0.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,0.0,207.0,0.0,0.0,5.0,2.0,0.0,5.0,1.0,53.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,2.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,3.0,0.0,2.0,94.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,5.0,0.0,3.0,8.0,0.0,0.0,1.0,3.0,2.0,33.0,4.0,0.0,3.0,16.0,0.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0
"Korea, Republic of",0.0,1.0,0.0,136.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,403.0,1.0,0.0,25.0,4.0,2.0,0.0,0.0,10.0,0.0,63.0,3.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,8.0,0.0,3.0,37.0,16.0,5.0,2.0,2.0,5.0,0.0,41.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,37.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,28.0,4.0,4.0,0.0,11.0,0.0,0.0,3.0,0.0,7.0,5.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,56.0,3.0,0.0,12.0,0.0,1.0,2.0
Ukraine,0.0,98.0,0.0,109.0,0.0,50.0,47.0,0.0,1.0,0.0,8.0,0.0,2.0,11.0,0.0,62.0,2.0,3687.0,1.0,8.0,168.0,4.0,8.0,257.0,0.0,170.0,29.0,17.0,10.0,1.0,4.0,0.0,14.0,0.0,0.0,0.0,3.0,52.0,14.0,0.0,2.0,46.0,19.0,0.0,14.0,73.0,23.0,3.0,6.0,4.0,1.0,0.0,467.0,1.0,0.0,1.0,2.0,0.0,12.0,16.0,0.0,0.0,1.0,0.0,26.0,54.0,2.0,563.0,0.0,5.0,0.0,0.0,5.0,8.0,0.0,59.0,0.0,24.0,333.0,3.0,106.0,6.0,6.0,0.0,46.0,131.0,11.0,21.0,15.0,0.0,2.0,0.0,0.0,1.0,0.0,38.0,0.0,15.0,12.0,2.0,12.0,1.0,1.0,1.0,2.0,0.0,151.0,12.0,20.0,14.0,1.0,3.0,0.0,6.0,16.0
South Africa,0.0,4.0,1.0,80.0,1.0,0.0,4.0,0.0,19.0,2.0,9.0,10.0,0.0,10.0,7.0,117.0,0.0,2936.0,0.0,0.0,43.0,10.0,10.0,9.0,1.0,346.0,0.0,139.0,2.0,0.0,18.0,0.0,41.0,0.0,0.0,2.0,0.0,49.0,4.0,0.0,4.0,2.0,1.0,1.0,4.0,18.0,19.0,1.0,36.0,3.0,0.0,0.0,415.0,2.0,2.0,3.0,5.0,3.0,4.0,9.0,6.0,1.0,3.0,0.0,165.0,98.0,44.0,211.0,9.0,0.0,1.0,1.0,17.0,14.0,3.0,2.0,5.0,66.0,24.0,0.0,30.0,68.0,4.0,0.0,10.0,6.0,139.0,22.0,24.0,0.0,1.0,7.0,0.0,4.0,4.0,34.0,0.0,103.0,3.0,17.0,3.0,6.0,1.0,0.0,0.0,0.0,77.0,0.0,60.0,9.0,1.0,8.0,0.0,11.0,35.0
Hungary,0.0,1.0,0.0,329.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,10.0,0.0,337.0,0.0,0.0,9.0,2.0,0.0,5.0,0.0,11.0,1.0,1.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,5.0,2.0,0.0,2.0,5.0,4.0,1.0,9.0,1.0,0.0,0.0,191.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,146.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Lithuania,0.0,7.0,0.0,7.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,318.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Estonia,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,0.0,234.0,1.0,0.0,14.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,7.0,3.0,0.0,0.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Uruguay,0.0,4.0,0.0,2.0,2.0,1.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,265.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,19.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,9.0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0
Kuwait,0.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,166.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,2.0,1.0,145.0,1.0,2.0,3.0,0.0,3.0,1.0,12.0,1.0,1.0,16.0,31.0,7.0,1.0,1010.0,1.0,0.0,2.0,0.0,6.0,209.0,0.0,19.0,1.0,494.0,2.0,0.0,1.0,0.0,21.0,1.0,0.0,7.0,0.0,256.0,6.0,3.0,3.0,0.0,2.0,0.0,4.0,14.0,60.0,1.0,15.0,11.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,7.0,49.0,0.0,48.0,2.0,10.0,1.0,0.0,2.0,37.0,2.0,0.0,16.0,9.0,210.0,0.0,4.0,4.0,3.0,0.0,5.0,14.0,2.0,26.0,7.0,0.0,3.0,7.0,0.0,1.0,1.0,14.0,0.0,6.0,20.0,0.0,2.0,5.0,4.0,2.0,0.0,0.0,13.0,0.0,6.0,26.0,1.0,2.0,0.0,16.0,8.0
Serbia,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,560.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,15.0,1.0,0.0,0.0,61.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0
Indonesia,0.0,16.0,1.0,41.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,17.0,2.0,4.0,0.0,31.0,0.0,1705.0,0.0,0.0,25.0,1.0,219.0,17.0,0.0,86.0,0.0,17.0,0.0,0.0,6.0,0.0,30.0,0.0,0.0,15.0,0.0,18.0,4.0,0.0,1.0,17.0,0.0,0.0,12.0,35.0,17.0,1.0,32.0,8.0,1.0,0.0,138.0,1.0,0.0,1.0,1.0,0.0,12.0,8.0,0.0,0.0,1.0,0.0,18.0,42.0,2.0,25.0,3.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,12.0,31.0,16.0,0.0,6.0,10.0,0.0,0.0,16.0,21.0,9.0,7.0,18.0,0.0,1.0,5.0,0.0,3.0,1.0,2.0,0.0,16.0,3.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,18.0,0.0,21.0,4.0,0.0,0.0,0.0,21.0,25.0
Chile,0.0,1.0,0.0,6.0,2.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,10.0,0.0,911.0,0.0,0.0,1.0,5.0,1.0,4.0,1.0,5.0,4.0,8.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,22.0,0.0,7.0,8.0,12.0,0.0,6.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,19.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,6.0,6.0,8.0,2.0,0.0,2.0,0.0,6.0,10.0,10.0,2.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,13.0,9.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,6.0
Congo,0.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,44.0,1.0,4.0,10.0,117.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,858.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,4.0,86.0,28.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,3.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,17.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,10.0,0.0,7.0,1.0,3.0,1.0,0.0,10.0,6.0
Thailand,0.0,2.0,1.0,46.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,18.0,0.0,606.0,0.0,1.0,28.0,0.0,22.0,11.0,0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,25.0,5.0,0.0,12.0,4.0,0.0,0.0,9.0,16.0,16.0,22.0,12.0,2.0,2.0,0.0,71.0,1.0,0.0,0.0,0.0,4.0,3.0,9.0,0.0,0.0,7.0,1.0,152.0,23.0,0.0,27.0,4.0,7.0,0.0,0.0,7.0,4.0,0.0,1.0,5.0,47.0,6.0,0.0,14.0,16.0,2.0,0.0,13.0,2.0,7.0,55.0,10.0,0.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,11.0,11.0,3.0,6.0,4.0,0.0,2.0,0.0,1.0,259.0,0.0,11.0,5.0,0.0,0.0,0.0,8.0,21.0
Bangladesh,0.0,2.0,1.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,0.0,374.0,0.0,0.0,1.0,3.0,276.0,2.0,0.0,13.0,0.0,9.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,2.0,1.0,21.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,7.0,0.0,0.0,1.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,6.0,0.0,1.0,1.0,9.0,0.0,1.0,1.0,0.0,3.0,11.0,1.0,0.0,1.0,2.0,0.0,0.0,9.0,3.0,1.0,5.0,7.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,20.0,2.0,2.0,0.0,0.0,0.0,3.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,40.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,9.0,0.0
Mozambique,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,12.0,4.0,4.0,0.0,160.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,6.0,48.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0
Guinea,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,10.0,0.0,89.0,0.0,0.0,1.0,0.0,0.0,1.0,93.0,359.0,5.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,23.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,7.0,0.0,4.0,21.0,1.0,0.0,0.0,2.0,0.0,3.0,31.0,137.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,16.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,7.0,0.0,14.0,1.0,0.0,0.0,1.0,12.0,4.0
