,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Latvia,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,1.0,3.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
Mauritania,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Peru,1.0,4.0,0.0,0.0,1.0,2.0,14.0,0.0,4.0,8.0,21.0,19.0,3.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,6.0,77.0,9.0,0.0,11.0,0.0,5.0,0.0,0.0,2.0,2.0,17.0,1.0,0.0,0.0,0.0,19.0,4.0,0.0,3.0,8.0,8.0,0.0,12.0,41.0,10.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,12.0,5.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,97.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,15.0,60.0,0.0,20.0,0.0,2.0,0.0,11.0,22.0,0.0,26.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,6.0,11.0,2.0,4.0,1.0,0.0,1.0,3.0,0.0,52.0,1.0,4.0,3.0,0.0,1.0,0.0,12.0,113.0
Croatia,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0
Ghana,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,45.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,15.0,1.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0,7.0,6.0,3.0,12.0,2.0,0.0,1.0,8.0,0.0,2.0,6.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,14.0,4.0,0.0,2.0,3.0,18.0,2.0
Norway,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,54.0,0.0,0.0,7.0,11.0,9.0,1.0,17.0,0.0,2.0,0.0,0.0,24.0,13.0,2.0,7.0,0.0,31.0,1.0,11.0,1.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,1.0,1.0,3.0,0.0,3.0,8.0,10.0,1.0,14.0,2.0,0.0,0.0,52.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,8.0,2.0,3.0,3.0,0.0,106.0,8.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,21.0,1.0,6.0,1.0,98.0,1.0,2.0,0.0,7.0,2.0,3.0,9.0,43.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,21.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,26.0,9.0,3.0,2.0,0.0,2.0,0.0,2.0,8.0
Romania,1.0,1.0,0.0,15.0,3.0,5.0,12.0,0.0,0.0,3.0,17.0,1.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,13.0,2.0,20.0,18.0,0.0,6.0,0.0,20.0,1.0,0.0,1.0,0.0,66.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,14.0,0.0,0.0,3.0,33.0,57.0,15.0,12.0,6.0,0.0,0.0,646.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,3.0,0.0,29.0,0.0,3.0,7.0,0.0,62.0,153.0,4.0,0.0,0.0,0.0,106.0,0.0,0.0,4.0,4.0,6.0,9.0,5.0,0.0,1.0,0.0,10.0,5.0,0.0,8.0,61.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,6.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,82.0,0.0,18.0,77.0,0.0,14.0,0.0,1.0,37.0
Ecuador,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,10.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,15.0,19.0,0.0,15.0,8.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,23.0,4.0,10.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,26.0
Belgium,1.0,2.0,0.0,39.0,0.0,4.0,15.0,0.0,3.0,1.0,0.0,4.0,8.0,12.0,0.0,54.0,0.0,3.0,1.0,1.0,10.0,3.0,12.0,8.0,0.0,72.0,3.0,10.0,1.0,0.0,13.0,0.0,44.0,0.0,0.0,0.0,0.0,53.0,6.0,0.0,4.0,1.0,0.0,0.0,8.0,16.0,24.0,0.0,14.0,3.0,0.0,0.0,64.0,0.0,0.0,0.0,77.0,0.0,16.0,1.0,2.0,0.0,5.0,0.0,3.0,27.0,0.0,88.0,6.0,0.0,0.0,0.0,11.0,4.0,0.0,1.0,1.0,1.0,14.0,1.0,7.0,1.0,0.0,0.0,15.0,7.0,0.0,11.0,29.0,0.0,3.0,0.0,1.0,13.0,3.0,1.0,0.0,14.0,10.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,49.0,0.0,1.0,10.0,0.0,2.0,0.0,2.0,14.0
Australia,2.0,4.0,0.0,31.0,2.0,11.0,10.0,9.0,4.0,5.0,3.0,9.0,46.0,10.0,4.0,167.0,0.0,2.0,0.0,1.0,39.0,19.0,34.0,14.0,0.0,45.0,3.0,79.0,4.0,0.0,3.0,3.0,148.0,1.0,0.0,0.0,0.0,122.0,15.0,2.0,75.0,4.0,2.0,30.0,23.0,134.0,102.0,1.0,27.0,5.0,4.0,1.0,585.0,1.0,0.0,0.0,10.0,1.0,14.0,29.0,12.0,0.0,11.0,0.0,4.0,32.0,5.0,181.0,47.0,1.0,0.0,6.0,5.0,5.0,0.0,9.0,26.0,53.0,22.0,19.0,17.0,12.0,3.0,0.0,13.0,18.0,4.0,116.0,207.0,2.0,4.0,4.0,1.0,87.0,2.0,14.0,0.0,80.0,21.0,0.0,4.0,73.0,1.0,3.0,2.0,0.0,56.0,1.0,25.0,13.0,1.0,6.0,0.0,12.0,61.0
Malaysia,1.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,2.0,0.0,40.0,0.0,11.0,0.0,1.0,3.0,0.0,44.0,16.0,0.0,28.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,56.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,12.0,16.0,0.0,4.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,43.0,26.0,0.0,163.0,1.0,2.0,0.0,30.0,2.0,4.0,0.0,1.0,5.0,7.0,1.0,0.0,31.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,30.0
Congo,1.0,4.0,0.0,7.0,3.0,0.0,4.0,0.0,0.0,3.0,6.0,34.0,2.0,83.0,7.0,107.0,56.0,12.0,0.0,0.0,0.0,1.0,22.0,4.0,0.0,5799.0,0.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,33.0,4.0,6.0,0.0,5.0,0.0,7.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,157.0,0.0,0.0,6.0,0.0,1.0,9.0,0.0,0.0,0.0,11.0,0.0,13.0,219.0,71.0,460.0,2.0,2.0,0.0,0.0,0.0,40.0,5.0,2.0,1.0,0.0,146.0,0.0,1.0,2.0,9.0,0.0,4.0,8.0,5.0,13.0,7.0,0.0,0.0,5.0,0.0,0.0,8.0,7.0,0.0,78.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,26.0,1.0,50.0,7.0,2.0,4.0,0.0,38.0,114.0
Chile,1.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,32.0,1.0,0.0,20.0,5.0,4.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,97.0,0.0,24.0,11.0,5.0,0.0,5.0,0.0,2.0,0.0,41.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,43.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,12.0,29.0,4.0,0.0,0.0,2.0,3.0,39.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,34.0
Hong Kong,1.0,1.0,0.0,66.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,60.0,0.0,9.0,1.0,2.0,196.0,0.0,27.0,0.0,0.0,48.0,2.0,5.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,22.0,5.0,31.0,0.0,0.0,0.0,0.0,159.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,192.0,2.0,1.0,0.0,1.0,0.0,46.0,1.0,5.0,7.0,5.0,3.0,1.0,8.0,3.0,0.0,0.0,3.0,9.0,47.0,3.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,59.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,15.0,0.0,4.0,0.0,4.0,12.0
"Bolivia, Plurinational State of",2.0,0.0,2.0,0.0,0.0,4.0,15.0,0.0,0.0,21.0,10.0,14.0,2.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,134.0,3.0,0.0,165.0,5.0,20.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,159.0,0.0,6.0,13.0,8.0,0.0,4.0,1.0,2.0,0.0,148.0,0.0,0.0,0.0,0.0,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,26.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,4.0,0.0,23.0,6.0,3.0,0.0,6.0,3.0,0.0,14.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,39.0,7.0,2.0,5.0,4.0,0.0,3.0,1.0,0.0,30.0,0.0,11.0,3.0,0.0,0.0,0.0,30.0,47.0
Greenland,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
