,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Estonia,2.0,0.0,0.0,65.0,1.0,5.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,9.0,0.0,27.0,0.0,1290.0,1.0,0.0,36.0,17.0,31.0,3.0,0.0,25.0,2.0,6.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,7.0,1.0,0.0,19.0,13.0,0.0,19.0,3.0,0.0,0.0,123.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,0.0,5.0,1.0,13.0,23.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,1.0,8.0,0.0,7.0,9.0,4.0,2.0,6.0,8.0,16.0,17.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,14.0,20.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,10.0,2.0,5.0,5.0,1.0,1.0,0.0,7.0,26.0
Turkmenistan,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,1.0,1.0,0.0,45.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,451.0,0.0,0.0,8.0,1.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
South Africa,1.0,2.0,1.0,70.0,2.0,1.0,2.0,0.0,17.0,0.0,3.0,4.0,0.0,11.0,7.0,174.0,1.0,1748.0,0.0,0.0,30.0,10.0,8.0,8.0,1.0,291.0,0.0,82.0,0.0,0.0,6.0,0.0,20.0,1.0,0.0,2.0,2.0,18.0,10.0,1.0,4.0,7.0,3.0,0.0,3.0,35.0,13.0,1.0,5.0,2.0,0.0,0.0,356.0,0.0,1.0,2.0,8.0,0.0,5.0,1.0,4.0,2.0,0.0,0.0,37.0,59.0,4.0,163.0,8.0,0.0,0.0,0.0,7.0,7.0,31.0,3.0,4.0,56.0,32.0,2.0,15.0,29.0,2.0,0.0,2.0,5.0,132.0,24.0,11.0,0.0,1.0,4.0,0.0,4.0,5.0,10.0,2.0,35.0,13.0,5.0,6.0,4.0,1.0,3.0,0.0,4.0,83.0,0.0,15.0,0.0,0.0,0.0,0.0,17.0,86.0
Turkey,0.0,3.0,1.0,58.0,1.0,1.0,3.0,0.0,3.0,0.0,18.0,7.0,2.0,36.0,0.0,167.0,7.0,2391.0,4.0,0.0,192.0,21.0,19.0,60.0,2.0,74.0,17.0,17.0,2.0,0.0,11.0,0.0,59.0,0.0,0.0,1.0,1.0,171.0,38.0,0.0,3.0,1.0,1.0,4.0,28.0,65.0,25.0,3.0,52.0,3.0,0.0,0.0,188.0,0.0,0.0,0.0,1.0,7.0,16.0,0.0,0.0,0.0,5.0,0.0,57.0,69.0,2.0,131.0,8.0,10.0,0.0,4.0,2.0,4.0,1.0,10.0,4.0,56.0,22.0,1.0,16.0,317.0,2.0,0.0,19.0,21.0,110.0,21.0,41.0,2.0,46.0,0.0,0.0,2.0,16.0,47.0,0.0,38.0,1.0,0.0,29.0,7.0,1.0,2.0,21.0,0.0,134.0,0.0,15.0,16.0,1.0,61.0,13.0,16.0,73.0
Kenya,0.0,9.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,8.0,2.0,9.0,30.0,28.0,0.0,682.0,0.0,1.0,7.0,0.0,20.0,4.0,3.0,76.0,0.0,13.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,11.0,0.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,3.0,5.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,12.0,14.0,1.0,0.0,0.0,2.0,0.0,76.0,126.0,10.0,57.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,9.0,50.0,3.0,10.0,2.0,2.0,0.0,9.0,3.0,7.0,27.0,5.0,0.0,0.0,22.0,0.0,8.0,28.0,2.0,0.0,9.0,10.0,1.0,9.0,2.0,10.0,2.0,0.0,0.0,24.0,0.0,31.0,5.0,6.0,0.0,0.0,25.0,11.0
France,0.0,3.0,5.0,363.0,7.0,15.0,10.0,0.0,14.0,0.0,2.0,110.0,6.0,47.0,1.0,559.0,5.0,9115.0,0.0,7.0,101.0,82.0,112.0,191.0,9.0,573.0,23.0,166.0,8.0,1.0,48.0,0.0,129.0,2.0,0.0,3.0,3.0,91.0,47.0,1.0,21.0,22.0,12.0,2.0,11.0,186.0,69.0,3.0,43.0,8.0,4.0,0.0,1418.0,3.0,0.0,1.0,18.0,3.0,70.0,15.0,12.0,1.0,134.0,3.0,124.0,145.0,14.0,439.0,22.0,4.0,0.0,1.0,32.0,107.0,12.0,10.0,14.0,58.0,86.0,5.0,35.0,43.0,8.0,1.0,27.0,22.0,110.0,37.0,132.0,7.0,4.0,14.0,5.0,11.0,18.0,90.0,0.0,166.0,40.0,13.0,14.0,25.0,14.0,8.0,2.0,0.0,163.0,2.0,49.0,30.0,4.0,10.0,1.0,76.0,246.0
Ukraine,0.0,10.0,0.0,38.0,1.0,35.0,5.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,49.0,0.0,1832.0,0.0,0.0,21.0,7.0,5.0,16.0,0.0,54.0,1.0,16.0,9.0,1.0,6.0,0.0,19.0,0.0,0.0,2.0,0.0,62.0,2.0,0.0,0.0,2.0,0.0,0.0,30.0,17.0,7.0,0.0,5.0,1.0,0.0,0.0,521.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,21.0,0.0,8.0,37.0,0.0,397.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,18.0,24.0,0.0,58.0,2.0,0.0,0.0,37.0,15.0,27.0,10.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,28.0,12.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,148.0,5.0,18.0,10.0,0.0,7.0,0.0,28.0,16.0
"Tanzania, United Republic of",0.0,6.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,1.0,30.0,3.0,12.0,0.0,341.0,0.0,0.0,4.0,0.0,7.0,3.0,0.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,123.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,2.0,9.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,2.0,11.0,2.0,0.0,0.0,13.0,0.0,20.0,6.0,3.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,0.0,24.0,2.0,1.0,0.0,0.0,10.0,9.0
"Korea, Democratic People's Republic of",0.0,1.0,0.0,20.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,252.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
Greece,0.0,3.0,0.0,16.0,0.0,1.0,7.0,0.0,129.0,0.0,0.0,2.0,0.0,6.0,0.0,219.0,0.0,4505.0,1.0,0.0,14.0,5.0,8.0,3.0,0.0,89.0,2.0,15.0,0.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,81.0,3.0,0.0,4.0,1.0,0.0,0.0,5.0,12.0,3.0,4.0,10.0,1.0,1.0,0.0,85.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,3.0,0.0,24.0,24.0,0.0,119.0,28.0,1.0,0.0,0.0,1.0,18.0,2.0,1.0,23.0,7.0,8.0,2.0,2.0,3.0,0.0,0.0,0.0,52.0,38.0,14.0,8.0,0.0,2.0,0.0,0.0,24.0,0.0,24.0,0.0,17.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,13.0,4.0,12.0,5.0,1.0,24.0,17.0
Tajikistan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Australia,0.0,4.0,3.0,41.0,4.0,19.0,15.0,70.0,6.0,3.0,5.0,7.0,42.0,11.0,3.0,83.0,0.0,1780.0,0.0,0.0,77.0,15.0,47.0,17.0,1.0,209.0,3.0,71.0,5.0,0.0,5.0,2.0,67.0,0.0,0.0,8.0,0.0,86.0,35.0,1.0,33.0,6.0,2.0,19.0,11.0,59.0,60.0,0.0,62.0,17.0,22.0,0.0,521.0,1.0,0.0,1.0,14.0,1.0,31.0,78.0,0.0,1.0,2.0,0.0,106.0,67.0,11.0,160.0,35.0,2.0,0.0,1.0,12.0,12.0,6.0,8.0,11.0,47.0,41.0,5.0,23.0,82.0,6.0,0.0,13.0,4.0,74.0,39.0,32.0,5.0,19.0,2.0,0.0,6.0,3.0,28.0,2.0,97.0,44.0,5.0,24.0,7.0,3.0,0.0,1.0,0.0,57.0,1.0,44.0,14.0,6.0,0.0,0.0,40.0,103.0
"Iran, Islamic Republic of",0.0,10.0,0.0,42.0,0.0,6.0,8.0,0.0,3.0,0.0,0.0,0.0,3.0,30.0,3.0,42.0,0.0,1113.0,1.0,0.0,23.0,8.0,17.0,205.0,2.0,48.0,1.0,68.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,152.0,95.0,3.0,23.0,0.0,1.0,0.0,0.0,24.0,4.0,0.0,13.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,1.0,5.0,12.0,5.0,1.0,0.0,2.0,0.0,26.0,17.0,0.0,61.0,9.0,3.0,0.0,0.0,0.0,30.0,0.0,1.0,12.0,9.0,44.0,1.0,0.0,1.0,12.0,0.0,1.0,57.0,77.0,29.0,42.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,31.0,10.0,0.0,15.0,6.0,0.0,14.0,0.0,0.0,92.0,0.0,9.0,11.0,0.0,0.0,1.0,4.0,18.0
Namibia,0.0,9.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,1.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,28.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,312.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0
Zimbabwe,0.0,12.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,36.0,0.0,11.0,0.0,319.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,31.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,12.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,105.0,0.0,0.0,1.0,0.0,10.0,6.0
Kuwait,0.0,2.0,0.0,35.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,311.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,3.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Greenland,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Kazakhstan,0.0,4.0,0.0,35.0,0.0,1.0,5.0,0.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,27.0,2.0,279.0,0.0,0.0,6.0,3.0,0.0,5.0,2.0,13.0,3.0,3.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,14.0,5.0,0.0,7.0,1.0,0.0,0.0,1.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,89.0,8.0,0.0,9.0,7.0,0.0,1.0,2.0,1.0,26.0,6.0,8.0,0.0,0.0,2.0,0.0,3.0,4.0,2.0,0.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31.0,1.0,21.0,3.0,0.0,1.0,0.0,2.0,1.0
Burkina Faso,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,89.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,17.0,4.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,200.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,29.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,6.0
Philippines,0.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,1.0,508.0,0.0,3579.0,0.0,0.0,26.0,1.0,292.0,2.0,1.0,67.0,2.0,1140.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,11.0,0.0,20.0,3.0,0.0,2.0,1.0,1.0,1.0,7.0,25.0,13.0,0.0,7.0,3.0,5.0,0.0,89.0,3.0,1.0,0.0,0.0,0.0,14.0,5.0,0.0,1.0,0.0,0.0,33.0,31.0,1.0,116.0,2.0,0.0,0.0,1.0,2.0,5.0,16.0,0.0,2.0,47.0,154.0,0.0,21.0,4.0,0.0,0.0,14.0,29.0,40.0,24.0,6.0,19.0,0.0,35.0,0.0,2.0,0.0,18.0,4.0,40.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,13.0,5.0,0.0,0.0,0.0,7.0,29.0
Singapore,0.0,1.0,0.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,89.0,0.0,448.0,1.0,2.0,134.0,5.0,28.0,0.0,0.0,32.0,0.0,35.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,1.0,0.0,23.0,15.0,0.0,0.0,1.0,0.0,0.0,5.0,19.0,19.0,1.0,3.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,1.0,41.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0,1.0,0.0,14.0,4.0,0.0,1.0,5.0,0.0,0.0,4.0,1.0,59.0,10.0,73.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,6.0,0.0,0.0,0.0,3.0,11.0
Lesotho,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0
Ghana,0.0,1.0,0.0,37.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,1.0,13.0,1.0,15.0,0.0,200.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,79.0,0.0,5.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,9.0,0.0,8.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,10.0,0.0,32.0,0.0,0.0,5.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,98.0,0.0,27.0,2.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,12.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,4.0,15.0,6.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,0.0,8.0,3.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,16.0,2.0,0.0,0.0,2.0,11.0,2.0
Uganda,0.0,9.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,23.0,6.0,21.0,2.0,359.0,0.0,0.0,4.0,3.0,4.0,1.0,0.0,128.0,0.0,13.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,6.0,7.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,21.0,3.0,0.0,4.0,1.0,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,79.0,7.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,13.0,0.0,2.0,2.0,0.0,0.0,3.0,7.0,6.0,19.0,2.0,0.0,1.0,10.0,0.0,1.0,2.0,1.0,0.0,3.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,22.0,0.0,23.0,3.0,0.0,2.0,0.0,23.0,28.0
Denmark,0.0,1.0,1.0,93.0,0.0,9.0,1.0,0.0,27.0,0.0,0.0,2.0,11.0,4.0,0.0,50.0,0.0,1354.0,0.0,0.0,12.0,5.0,7.0,4.0,0.0,63.0,0.0,12.0,5.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,1.0,3.0,2.0,0.0,1.0,18.0,9.0,0.0,22.0,0.0,0.0,0.0,59.0,0.0,0.0,1.0,2.0,1.0,6.0,2.0,0.0,0.0,6.0,0.0,45.0,11.0,0.0,44.0,14.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,5.0,0.0,2.0,14.0,0.0,0.0,8.0,6.0,19.0,2.0,99.0,0.0,0.0,0.0,0.0,8.0,2.0,7.0,0.0,10.0,8.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,27.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,19.0
Bulgaria,0.0,5.0,1.0,52.0,0.0,4.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,17.0,0.0,1523.0,1.0,2.0,11.0,2.0,0.0,1.0,0.0,61.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,32.0,6.0,2.0,9.0,1.0,0.0,0.0,483.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,6.0,0.0,158.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,13.0,1.0,11.0,17.0,21.0,14.0,5.0,2.0,0.0,9.0,3.0,13.0,4.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,7.0,9.0,10.0,2.0,3.0,0.0,0.0,31.0,1.0,0.0,33.0,2.0,11.0,1.0,0.0,3.0,0.0,0.0,10.0
