,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,16.0,0.0,1.0,86.0,17.0,68.0,119.0,0.0,16.0,16.0,6.0,77.0,2.0,33.0,2.0,171.0,0.0,23778.0,1.0,2.0,94.0,42.0,76.0,65.0,2.0,296.0,4.0,90.0,15.0,0.0,16.0,3.0,614.0,2.0,0.0,11.0,0.0,90.0,43.0,6.0,7.0,26.0,6.0,0.0,24.0,187.0,358.0,4.0,486.0,428.0,0.0,1.0,310.0,10.0,1.0,0.0,43.0,20.0,57.0,6.0,5.0,2.0,30.0,0.0,89.0,269.0,4.0,490.0,53.0,11.0,0.0,0.0,4.0,78.0,4.0,29.0,88.0,90.0,115.0,3.0,40.0,60.0,39.0,0.0,70.0,157.0,954.0,106.0,53.0,4.0,32.0,3.0,0.0,11.0,4.0,186.0,2.0,125.0,39.0,11.0,40.0,16.0,0.0,31.0,0.0,2.0,83.0,6.0,66.0,59.0,0.0,64.0,0.0,22.0,106.0
Spain,35.0,41.0,2.0,34.0,13.0,56.0,93.0,0.0,8.0,25.0,36.0,19.0,17.0,61.0,1.0,83.0,6.0,10720.0,6.0,3.0,52.0,60.0,50.0,100.0,2.0,440.0,4.0,42.0,8.0,0.0,16.0,10.0,115.0,2.0,0.0,9.0,3.0,94.0,20.0,12.0,16.0,31.0,7.0,0.0,70.0,115.0,254.0,8.0,188.0,25.0,1.0,0.0,193.0,0.0,0.0,2.0,18.0,17.0,62.0,7.0,16.0,10.0,29.0,3.0,126.0,58.0,5.0,305.0,105.0,1.0,0.0,0.0,6.0,16.0,10.0,1.0,19.0,68.0,60.0,6.0,55.0,15.0,21.0,0.0,23.0,20.0,55.0,180.0,68.0,0.0,37.0,4.0,0.0,3.0,1.0,115.0,4.0,89.0,50.0,41.0,16.0,29.0,1.0,13.0,11.0,1.0,152.0,5.0,21.0,24.0,4.0,178.0,0.0,21.0,121.0
India,5.0,22.0,2.0,287.0,2.0,10.0,14.0,0.0,42.0,4.0,16.0,166.0,3.0,105.0,25.0,611.0,3.0,12654.0,0.0,2.0,256.0,116.0,670.0,39.0,4.0,650.0,4.0,444.0,12.0,0.0,6.0,8.0,97.0,3.0,0.0,43.0,8.0,162.0,55.0,2.0,14.0,28.0,6.0,15.0,72.0,316.0,185.0,4.0,114.0,31.0,7.0,0.0,1185.0,48.0,0.0,3.0,6.0,51.0,178.0,83.0,0.0,3.0,21.0,0.0,263.0,459.0,10.0,1273.0,12.0,1.0,8.0,330.0,5.0,139.0,38.0,25.0,77.0,340.0,332.0,1.0,91.0,81.0,16.0,0.0,189.0,23.0,246.0,70.0,93.0,0.0,8.0,10.0,2.0,25.0,12.0,120.0,15.0,442.0,23.0,20.0,26.0,21.0,1.0,3.0,13.0,1.0,306.0,0.0,281.0,73.0,55.0,15.0,0.0,117.0,648.0
Japan,6.0,16.0,2.0,48.0,5.0,7.0,2.0,2.0,17.0,3.0,3.0,0.0,9.0,7.0,2.0,128.0,0.0,3952.0,0.0,0.0,73.0,35.0,48.0,9.0,0.0,89.0,0.0,73.0,64.0,0.0,14.0,0.0,86.0,2.0,0.0,8.0,0.0,103.0,15.0,4.0,4.0,6.0,1.0,0.0,8.0,39.0,171.0,18.0,65.0,21.0,2.0,0.0,295.0,7.0,3.0,8.0,4.0,1.0,21.0,3.0,0.0,0.0,13.0,0.0,38.0,50.0,5.0,112.0,12.0,0.0,2.0,0.0,16.0,49.0,13.0,3.0,18.0,235.0,24.0,0.0,6.0,28.0,9.0,2.0,13.0,21.0,79.0,34.0,10.0,0.0,2.0,7.0,0.0,6.0,3.0,11.0,6.0,124.0,12.0,4.0,16.0,19.0,0.0,1.0,1.0,0.0,36.0,0.0,19.0,21.0,1.0,4.0,0.0,16.0,213.0
Slovakia,1.0,0.0,1.0,18.0,2.0,7.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,27.0,0.0,880.0,0.0,2.0,10.0,9.0,5.0,0.0,1.0,41.0,4.0,2.0,2.0,0.0,6.0,0.0,22.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,7.0,0.0,1.0,17.0,32.0,0.0,23.0,8.0,0.0,0.0,66.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,24.0,0.0,15.0,20.0,5.0,82.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,3.0,0.0,5.0,1.0,2.0,5.0,3.0,21.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,4.0,5.0,0.0,11.0,8.0,6.0,2.0,3.0,0.0,2.0,0.0,0.0,18.0,1.0,4.0,3.0,1.0,6.0,0.0,2.0,37.0
Norway,2.0,1.0,0.0,21.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,3.0,13.0,2.0,5.0,21.0,0.0,662.0,0.0,0.0,22.0,3.0,2.0,4.0,0.0,23.0,0.0,16.0,0.0,0.0,1.0,3.0,21.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,5.0,6.0,0.0,2.0,16.0,16.0,33.0,0.0,4.0,2.0,0.0,0.0,70.0,0.0,0.0,3.0,8.0,0.0,1.0,5.0,0.0,1.0,9.0,0.0,8.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,9.0,5.0,5.0,0.0,3.0,37.0,8.0,0.0,3.0,6.0,9.0,12.0,32.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0
United States,17.0,205.0,24.0,450.0,103.0,171.0,76.0,6.0,152.0,101.0,176.0,180.0,201.0,135.0,76.0,2768.0,1.0,36738.0,28.0,24.0,2268.0,423.0,325.0,123.0,12.0,2880.0,55.0,846.0,92.0,0.0,121.0,204.0,725.0,1.0,0.0,75.0,54.0,642.0,274.0,50.0,104.0,115.0,111.0,10.0,348.0,1036.0,1144.0,23.0,1379.0,459.0,61.0,2.0,5221.0,10.0,9.0,10.0,137.0,19.0,153.0,104.0,25.0,10.0,471.0,3.0,1384.0,620.0,143.0,2383.0,150.0,27.0,2.0,14.0,172.0,171.0,249.0,126.0,265.0,1281.0,798.0,6.0,403.0,1003.0,57.0,16.0,223.0,148.0,778.0,1209.0,918.0,26.0,59.0,55.0,3.0,76.0,45.0,983.0,88.0,1289.0,298.0,137.0,198.0,127.0,11.0,16.0,31.0,15.0,470.0,20.0,406.0,320.0,4.0,686.0,2.0,415.0,1341.0
Portugal,3.0,0.0,1.0,4.0,0.0,5.0,9.0,0.0,2.0,0.0,2.0,2.0,12.0,16.0,0.0,17.0,0.0,4002.0,0.0,0.0,8.0,4.0,13.0,1.0,0.0,49.0,2.0,6.0,0.0,0.0,2.0,0.0,96.0,1.0,0.0,1.0,0.0,130.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0,33.0,38.0,1.0,7.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,59.0,4.0,8.0,1.0,0.0,0.0,2.0,0.0,21.0,32.0,1.0,64.0,8.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,18.0,11.0,11.0,0.0,21.0,1.0,1.0,0.0,10.0,9.0,23.0,35.0,21.0,2.0,0.0,1.0,0.0,1.0,0.0,25.0,1.0,34.0,23.0,0.0,2.0,8.0,0.0,4.0,1.0,0.0,56.0,0.0,11.0,15.0,0.0,3.0,0.0,8.0,22.0
Canada,2.0,7.0,0.0,19.0,10.0,9.0,3.0,1.0,5.0,5.0,15.0,5.0,23.0,10.0,6.0,245.0,0.0,4851.0,0.0,92.0,136.0,36.0,21.0,11.0,0.0,291.0,5.0,60.0,9.0,0.0,19.0,3.0,57.0,0.0,0.0,6.0,2.0,46.0,15.0,2.0,14.0,7.0,7.0,1.0,115.0,74.0,101.0,0.0,43.0,59.0,2.0,0.0,442.0,1.0,0.0,0.0,29.0,1.0,10.0,20.0,2.0,2.0,55.0,0.0,56.0,39.0,1.0,224.0,10.0,1.0,0.0,1.0,4.0,19.0,8.0,8.0,14.0,34.0,39.0,0.0,42.0,65.0,4.0,0.0,13.0,8.0,55.0,55.0,99.0,2.0,3.0,4.0,0.0,3.0,2.0,76.0,2.0,103.0,34.0,152.0,16.0,3.0,0.0,2.0,2.0,0.0,48.0,0.0,55.0,34.0,0.0,47.0,0.0,38.0,78.0
Brazil,1.0,5.0,5.0,47.0,2.0,36.0,37.0,1.0,5.0,45.0,15.0,197.0,4.0,30.0,7.0,109.0,0.0,7583.0,1.0,3.0,25.0,48.0,403.0,10.0,0.0,156.0,3.0,73.0,5.0,0.0,4.0,10.0,77.0,3.0,0.0,26.0,2.0,41.0,4.0,7.0,2.0,37.0,16.0,0.0,10.0,212.0,181.0,6.0,119.0,56.0,3.0,0.0,836.0,3.0,1.0,3.0,6.0,68.0,192.0,12.0,1.0,0.0,5.0,0.0,80.0,269.0,0.0,276.0,38.0,1.0,0.0,0.0,9.0,42.0,14.0,1.0,2.0,89.0,54.0,0.0,129.0,29.0,20.0,0.0,76.0,33.0,98.0,108.0,44.0,1.0,3.0,45.0,0.0,3.0,4.0,33.0,3.0,487.0,43.0,115.0,15.0,75.0,2.0,1.0,1.0,0.0,131.0,0.0,29.0,33.0,4.0,17.0,0.0,203.0,774.0
