,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
France,1.0,5.0,4.0,2135.0,9.0,27.0,99.0,4.0,40.0,7.0,5.0,48.0,23.0,25.0,5.0,123.0,0.0,6044.0,2.0,33.0,50.0,42.0,68.0,132.0,4.0,217.0,12.0,130.0,2.0,1.0,37.0,0.0,276.0,0.0,0.0,4.0,0.0,80.0,67.0,3.0,13.0,35.0,6.0,0.0,18.0,80.0,60.0,8.0,42.0,10.0,0.0,0.0,1454.0,0.0,6.0,0.0,38.0,6.0,51.0,22.0,76.0,0.0,54.0,4.0,46.0,84.0,5.0,210.0,17.0,4.0,0.0,0.0,5.0,35.0,4.0,8.0,24.0,57.0,36.0,6.0,52.0,129.0,17.0,1.0,16.0,9.0,52.0,46.0,157.0,2.0,1.0,9.0,2.0,22.0,6.0,69.0,2.0,96.0,21.0,51.0,12.0,46.0,4.0,9.0,1.0,0.0,78.0,3.0,43.0,34.0,2.0,4.0,2.0,39.0,73.0
India,1.0,11.0,2.0,239.0,3.0,9.0,14.0,2.0,12.0,5.0,9.0,139.0,5.0,46.0,9.0,183.0,2.0,6234.0,0.0,7.0,340.0,22.0,548.0,13.0,5.0,154.0,4.0,109.0,3.0,0.0,9.0,0.0,59.0,0.0,0.0,36.0,1.0,520.0,29.0,2.0,18.0,17.0,1.0,2.0,34.0,147.0,72.0,4.0,60.0,26.0,15.0,0.0,287.0,15.0,1.0,4.0,5.0,15.0,222.0,17.0,0.0,0.0,6.0,1.0,75.0,216.0,9.0,576.0,5.0,1.0,11.0,26.0,72.0,30.0,10.0,3.0,39.0,79.0,161.0,1.0,53.0,32.0,2.0,0.0,81.0,22.0,54.0,68.0,25.0,0.0,2.0,16.0,0.0,12.0,5.0,35.0,1.0,122.0,15.0,28.0,17.0,6.0,10.0,5.0,9.0,1.0,133.0,0.0,136.0,33.0,23.0,2.0,3.0,34.0,443.0
Cuba,1.0,2.0,0.0,6.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,17.0,0.0,1109.0,0.0,0.0,3.0,0.0,57.0,5.0,1.0,27.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,40.0,2.0,0.0,1.0,53.0,6.0,0.0,10.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,5.0,1.0,6.0,3.0,1.0,13.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,24.0,40.0
United Kingdom,1.0,31.0,2.0,1701.0,14.0,27.0,12.0,8.0,112.0,13.0,42.0,50.0,62.0,38.0,9.0,416.0,2.0,13709.0,1.0,8.0,374.0,74.0,80.0,160.0,19.0,904.0,11.0,357.0,29.0,0.0,68.0,44.0,240.0,4.0,0.0,31.0,12.0,498.0,79.0,21.0,178.0,28.0,22.0,0.0,73.0,231.0,381.0,13.0,220.0,117.0,6.0,0.0,2573.0,39.0,4.0,245.0,30.0,14.0,126.0,9.0,12.0,1.0,49.0,1.0,259.0,262.0,81.0,591.0,186.0,26.0,1.0,11.0,165.0,100.0,30.0,15.0,45.0,184.0,69.0,15.0,47.0,298.0,3.0,2.0,50.0,65.0,137.0,220.0,377.0,6.0,48.0,26.0,0.0,77.0,47.0,178.0,2.0,293.0,56.0,59.0,16.0,53.0,9.0,15.0,6.0,0.0,149.0,0.0,158.0,43.0,3.0,5.0,0.0,69.0,207.0
Argentina,1.0,4.0,0.0,38.0,6.0,118.0,65.0,14.0,0.0,37.0,27.0,13.0,4.0,13.0,1.0,763.0,0.0,11337.0,1.0,0.0,25.0,7.0,174.0,20.0,0.0,75.0,14.0,14.0,8.0,0.0,5.0,7.0,28.0,0.0,0.0,5.0,0.0,44.0,5.0,0.0,7.0,18.0,84.0,0.0,71.0,59.0,19.0,2.0,31.0,9.0,2.0,0.0,112.0,0.0,0.0,0.0,4.0,6.0,518.0,9.0,0.0,2.0,1.0,0.0,13.0,19.0,0.0,127.0,6.0,4.0,1.0,0.0,2.0,1.0,1.0,68.0,10.0,85.0,34.0,16.0,39.0,34.0,3.0,0.0,27.0,23.0,17.0,82.0,38.0,0.0,11.0,1.0,0.0,3.0,1.0,20.0,0.0,135.0,12.0,5.0,8.0,4.0,0.0,22.0,4.0,0.0,30.0,0.0,34.0,23.0,0.0,1.0,0.0,37.0,81.0
Iraq,0.0,19.0,4.0,37.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,8.0,6.0,1.0,396.0,0.0,0.0,0.0,0.0,3.0,193.0,0.0,17.0,3.0,73.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,167.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,27.0,0.0,3.0,0.0,0.0,0.0,12.0,1.0,0.0,5.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,15.0,3.0,0.0,3.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,6.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,16.0,0.0,10.0,10.0,1.0,0.0,3.0,2.0,0.0
Azerbaijan,0.0,7.0,0.0,16.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,648.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,19.0,0.0,8.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
China,0.0,40.0,3.0,608.0,3.0,16.0,18.0,0.0,21.0,4.0,11.0,5.0,17.0,26.0,6.0,200.0,0.0,7000.0,8.0,4.0,230.0,50.0,42.0,68.0,0.0,690.0,80.0,210.0,33.0,1.0,21.0,3.0,342.0,2.0,2.0,7.0,4.0,238.0,23.0,2.0,5.0,15.0,50.0,11.0,41.0,243.0,155.0,86.0,158.0,23.0,8.0,0.0,644.0,48.0,15.0,8.0,10.0,2.0,24.0,10.0,4.0,0.0,18.0,0.0,528.0,187.0,33.0,611.0,37.0,14.0,11.0,2.0,16.0,1503.0,4.0,15.0,66.0,5610.0,70.0,5.0,19.0,83.0,14.0,1.0,34.0,16.0,566.0,74.0,107.0,2.0,9.0,29.0,0.0,28.0,2.0,91.0,1.0,210.0,53.0,37.0,23.0,19.0,4.0,5.0,0.0,3.0,126.0,1.0,81.0,192.0,1.0,2.0,1.0,27.0,131.0
Namibia,0.0,18.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0
Eritrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Bulgaria,0.0,8.0,0.0,134.0,1.0,3.0,10.0,0.0,1.0,0.0,8.0,1.0,3.0,3.0,0.0,20.0,1.0,1677.0,0.0,0.0,7.0,10.0,2.0,2.0,0.0,14.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,3.0,1.0,0.0,2.0,9.0,5.0,1.0,8.0,4.0,0.0,0.0,423.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,12.0,10.0,0.0,146.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,13.0,13.0,1.0,7.0,1.0,1.0,0.0,47.0,1.0,10.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0,3.0,16.0,0.0,19.0,8.0,3.0,2.0,1.0,0.0,7.0,0.0,0.0,23.0,0.0,4.0,2.0,0.0,5.0,0.0,0.0,3.0
Australia,0.0,27.0,1.0,115.0,3.0,5.0,14.0,18.0,12.0,1.0,21.0,24.0,168.0,5.0,5.0,60.0,0.0,2336.0,1.0,0.0,58.0,16.0,35.0,19.0,1.0,101.0,7.0,89.0,4.0,0.0,7.0,23.0,68.0,2.0,0.0,10.0,2.0,68.0,19.0,0.0,24.0,7.0,3.0,69.0,11.0,83.0,119.0,2.0,55.0,18.0,13.0,0.0,344.0,405.0,0.0,2.0,5.0,1.0,25.0,8.0,2.0,1.0,2.0,0.0,37.0,64.0,3.0,220.0,34.0,1.0,0.0,6.0,11.0,34.0,13.0,6.0,20.0,20.0,20.0,6.0,23.0,63.0,3.0,0.0,21.0,8.0,28.0,87.0,29.0,9.0,9.0,7.0,0.0,13.0,1.0,37.0,2.0,148.0,17.0,25.0,2.0,12.0,4.0,2.0,4.0,2.0,22.0,0.0,33.0,24.0,1.0,24.0,0.0,39.0,104.0
Uganda,0.0,5.0,0.0,8.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,8.0,5.0,0.0,177.0,0.0,0.0,9.0,2.0,3.0,0.0,0.0,69.0,0.0,7.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,16.0,2.0,2.0,3.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,69.0,2.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,63.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,5.0,14.0,10.0,0.0,0.0,8.0,2.0,0.0,9.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,20.0,4.0,1.0,1.0,0.0,15.0,12.0
Viet Nam,0.0,2.0,2.0,22.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,6.0,0.0,17.0,0.0,1516.0,1.0,0.0,12.0,8.0,6.0,4.0,4.0,43.0,1.0,7.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,13.0,65.0,4.0,6.0,1.0,0.0,0.0,31.0,3.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,13.0,4.0,6.0,12.0,1.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,4.0,325.0,1.0,0.0,11.0,0.0,1.0,0.0,7.0,4.0,7.0,4.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0
Botswana,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,247.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0
Kyrgyzstan,0.0,6.0,0.0,3.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Kenya,0.0,3.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,10.0,1.0,12.0,26.0,6.0,1.0,316.0,0.0,0.0,4.0,2.0,13.0,0.0,1.0,57.0,0.0,8.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,10.0,0.0,11.0,3.0,0.0,3.0,4.0,0.0,1.0,1.0,10.0,2.0,0.0,3.0,5.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,11.0,18.0,0.0,0.0,1.0,1.0,0.0,9.0,147.0,8.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,5.0,18.0,13.0,2.0,8.0,16.0,2.0,0.0,11.0,6.0,1.0,21.0,3.0,0.0,0.0,24.0,1.0,0.0,13.0,1.0,0.0,9.0,23.0,0.0,1.0,3.0,7.0,0.0,1.0,0.0,26.0,0.0,14.0,2.0,11.0,0.0,0.0,78.0,18.0
Sudan,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,54.0,7.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,3.0,77.0,1.0,45.0,1.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,18.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,9.0,8.0,4.0,0.0,0.0,1.0,8.0
Jersey,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,249.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
Myanmar,0.0,2.0,0.0,3.0,0.0,5.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0,0.0,338.0,1.0,0.0,0.0,3.0,3.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,9.0,0.0,8.0,4.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,3.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,23.0,0.0,18.0,0.0,6.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0
Germany,0.0,14.0,11.0,1490.0,13.0,28.0,8.0,0.0,32.0,4.0,56.0,18.0,29.0,28.0,11.0,132.0,5.0,10314.0,3.0,36.0,39.0,59.0,15.0,94.0,1.0,401.0,18.0,137.0,37.0,0.0,71.0,3.0,145.0,1.0,0.0,4.0,11.0,53.0,13.0,0.0,21.0,18.0,17.0,1.0,239.0,201.0,161.0,29.0,186.0,125.0,2.0,0.0,919.0,3.0,5.0,8.0,11.0,5.0,60.0,7.0,10.0,0.0,55.0,0.0,85.0,66.0,70.0,1333.0,18.0,4.0,1.0,1.0,25.0,67.0,2.0,28.0,23.0,48.0,93.0,17.0,20.0,189.0,8.0,0.0,36.0,16.0,66.0,66.0,194.0,0.0,6.0,20.0,2.0,11.0,39.0,141.0,1.0,118.0,26.0,12.0,22.0,27.0,1.0,23.0,1.0,1.0,118.0,1.0,30.0,42.0,1.0,18.0,0.0,41.0,92.0
Zimbabwe,0.0,6.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,0.0,217.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,15.0,4.0,0.0,7.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,2.0,0.0,0.0,11.0,0.0,3.0,7.0,0.0,4.0,7.0,10.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,11.0,0.0,49.0,0.0,0.0,0.0,0.0,3.0,3.0
Qatar,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,401.0,1.0,0.0,1.0,0.0,0.0,31.0,0.0,5.0,0.0,82.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,2.0,7.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,3.0,0.0,0.0,3.0,1.0
Rwanda,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,6.0
Sweden,0.0,3.0,1.0,81.0,0.0,2.0,3.0,0.0,10.0,0.0,0.0,1.0,20.0,8.0,0.0,21.0,2.0,967.0,0.0,0.0,18.0,6.0,1.0,7.0,0.0,49.0,4.0,17.0,3.0,0.0,10.0,1.0,29.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,22.0,5.0,6.0,0.0,6.0,15.0,10.0,1.0,13.0,2.0,0.0,0.0,135.0,0.0,1.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0,19.0,0.0,24.0,82.0,0.0,53.0,2.0,0.0,0.0,0.0,23.0,5.0,1.0,0.0,37.0,7.0,9.0,0.0,9.0,158.0,0.0,2.0,4.0,4.0,15.0,6.0,31.0,0.0,0.0,1.0,1.0,5.0,1.0,22.0,0.0,35.0,26.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,19.0,3.0,8.0,1.0,0.0,0.0,0.0,3.0,48.0
"Korea, Democratic People's Republic of",0.0,2.0,1.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,253.0,0.0,0.0,13.0,0.0,1.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0
Gambia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lao People's Democratic Republic,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0
