,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Guam,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,59.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jersey,0.0,2.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,262.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,12.0,0.0,7.0,8.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,5.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0
Pakistan,0.0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,5.0,0.0,57.0,0.0,49.0,10.0,835.0,0.0,0.0,9.0,1.0,119.0,34.0,0.0,46.0,0.0,20.0,3.0,0.0,3.0,0.0,17.0,1.0,0.0,3.0,0.0,14.0,1.0,0.0,1.0,12.0,5.0,0.0,24.0,97.0,65.0,4.0,10.0,5.0,1.0,0.0,58.0,0.0,0.0,0.0,1.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,127.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,13.0,501.0,0.0,41.0,3.0,1.0,0.0,8.0,5.0,11.0,5.0,13.0,0.0,0.0,0.0,0.0,5.0,5.0,22.0,0.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,0.0,85.0,28.0,4.0,1.0,0.0,25.0,10.0
Philippines,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,1.0,476.0,0.0,3737.0,0.0,0.0,20.0,0.0,249.0,2.0,1.0,42.0,2.0,1111.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,18.0,5.0,0.0,2.0,0.0,0.0,1.0,5.0,17.0,21.0,0.0,6.0,3.0,3.0,0.0,97.0,2.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,18.0,31.0,1.0,90.0,2.0,0.0,0.0,0.0,2.0,5.0,17.0,0.0,2.0,47.0,118.0,0.0,17.0,2.0,0.0,0.0,8.0,6.0,38.0,14.0,8.0,21.0,0.0,36.0,0.0,0.0,0.0,13.0,4.0,28.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,38.0,2.0,0.0,0.0,0.0,11.0,24.0
Thailand,0.0,0.0,2.0,24.0,2.0,3.0,5.0,0.0,1.0,0.0,3.0,8.0,1.0,3.0,1.0,61.0,0.0,988.0,0.0,0.0,45.0,9.0,56.0,5.0,0.0,83.0,1.0,49.0,3.0,0.0,1.0,0.0,14.0,0.0,0.0,1.0,2.0,59.0,1.0,0.0,4.0,5.0,0.0,2.0,13.0,25.0,26.0,8.0,13.0,7.0,3.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,17.0,0.0,92.0,26.0,5.0,48.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,66.0,5.0,2.0,15.0,8.0,1.0,0.0,9.0,1.0,29.0,10.0,12.0,1.0,0.0,3.0,0.0,14.0,9.0,5.0,0.0,18.0,14.0,2.0,9.0,3.0,0.0,1.0,1.0,3.0,156.0,0.0,10.0,2.0,0.0,6.0,0.0,12.0,30.0
Ethiopia,0.0,0.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,0.0,7.0,0.0,217.0,0.0,0.0,9.0,5.0,3.0,8.0,1.0,36.0,0.0,6.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,7.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,3.0,20.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,54.0,0.0,55.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,4.0,20.0,24.0,3.0,0.0,1.0,0.0,8.0,1.0,2.0,6.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,5.0,0.0,3.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,5.0,9.0,0.0,2.0,5.0,1.0,0.0,1.0,12.0,3.0
Barbados,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,78.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
Hungary,0.0,0.0,1.0,80.0,4.0,16.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,17.0,0.0,666.0,0.0,0.0,15.0,5.0,3.0,20.0,0.0,29.0,1.0,4.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,4.0,0.0,7.0,21.0,14.0,0.0,19.0,4.0,1.0,0.0,86.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,7.0,0.0,20.0,8.0,0.0,56.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5.0,2.0,3.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,17.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,19.0,4.0,0.0,4.0,7.0,1.0,2.0,0.0,0.0,17.0,0.0,5.0,0.0,0.0,15.0,1.0,3.0,31.0
Guinea,0.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,13.0,2.0,22.0,0.0,177.0,0.0,1.0,1.0,2.0,2.0,3.0,58.0,1286.0,2.0,27.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,161.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,3.0,0.0,9.0,0.0,0.0,20.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,111.0,448.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,1.0,1.0,5.0,4.0,0.0,15.0,0.0,2.0,8.0,7.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,18.0,0.0,94.0,2.0,1.0,2.0,2.0,17.0,4.0
Haiti,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,243.0,0.0,6.0,0.0,281.0,0.0,0.0,3.0,1.0,0.0,80.0,0.0,39.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,3.0
Denmark,0.0,0.0,1.0,62.0,0.0,4.0,0.0,0.0,22.0,0.0,2.0,3.0,10.0,4.0,0.0,37.0,0.0,852.0,0.0,0.0,14.0,5.0,3.0,3.0,0.0,21.0,4.0,15.0,4.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,9.0,6.0,2.0,2.0,2.0,1.0,0.0,1.0,8.0,11.0,0.0,22.0,3.0,0.0,0.0,56.0,0.0,0.0,1.0,5.0,0.0,6.0,2.0,0.0,0.0,9.0,0.0,12.0,11.0,0.0,23.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,5.0,40.0,0.0,0.0,8.0,8.0,14.0,1.0,84.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,11.0,4.0,0.0,1.0,3.0,0.0,5.0,1.0,2.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,13.0
Austria,0.0,0.0,2.0,17.0,5.0,4.0,8.0,0.0,7.0,1.0,5.0,6.0,7.0,2.0,0.0,17.0,0.0,935.0,0.0,0.0,24.0,21.0,4.0,14.0,0.0,49.0,4.0,10.0,1.0,0.0,3.0,3.0,32.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,1.0,7.0,2.0,0.0,16.0,58.0,33.0,0.0,33.0,10.0,0.0,0.0,145.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,13.0,0.0,17.0,13.0,6.0,85.0,12.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,21.0,7.0,22.0,0.0,14.0,4.0,6.0,0.0,3.0,23.0,12.0,15.0,44.0,1.0,1.0,0.0,0.0,2.0,3.0,14.0,0.0,25.0,7.0,2.0,6.0,14.0,0.0,1.0,2.0,0.0,18.0,0.0,16.0,2.0,1.0,7.0,0.0,3.0,23.0
"Bolivia, Plurinational State of",0.0,0.0,1.0,1.0,2.0,1.0,13.0,0.0,0.0,7.0,1.0,6.0,0.0,3.0,0.0,3.0,0.0,875.0,0.0,0.0,2.0,1.0,29.0,0.0,1.0,33.0,1.0,32.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,2.0,0.0,4.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,17.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,14.0,0.0,38.0,3.0,1.0,0.0,6.0,3.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,23.0
"Korea, Democratic People's Republic of",0.0,0.0,1.0,19.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,280.0,0.0,0.0,12.0,0.0,3.0,8.0,0.0,13.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
Albania,0.0,0.0,1.0,143.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,0.0,2204.0,0.0,0.0,33.0,1.0,3.0,1.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,5.0,0.0,6.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,7.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
Costa Rica,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,1.0,0.0,416.0,0.0,0.0,4.0,3.0,10.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,98.0,25.0,0.0,3.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,6.0,0.0,0.0,2.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,16.0
Czechia,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,480.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,18.0,0.0,0.0,1.0,54.0,4.0,0.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,1.0,244.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,9.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
Slovenia,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,375.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,3.0,0.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Hong Kong,0.0,0.0,0.0,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,0.0,333.0,0.0,0.0,66.0,0.0,3.0,0.0,0.0,31.0,0.0,18.0,7.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,12.0,1.0,27.0,1.0,0.0,0.0,147.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,24.0,4.0,4.0,18.0,0.0,0.0,0.0,0.0,11.0,30.0,0.0,0.0,4.0,169.0,6.0,0.0,0.0,5.0,0.0,0.0,5.0,16.0,52.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,77.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,1.0,0.0,2.0,7.0
Guyana,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0
Cambodia,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,15.0,0.0,196.0,0.0,0.0,0.0,1.0,17.0,2.0,0.0,67.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,0.0,3.0,3.0,1.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0
Singapore,0.0,0.0,0.0,29.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,97.0,0.0,584.0,1.0,1.0,157.0,4.0,41.0,0.0,0.0,24.0,0.0,49.0,0.0,0.0,11.0,0.0,15.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,28.0,17.0,1.0,3.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,0.0,114.0,1.0,0.0,0.0,2.0,0.0,31.0,0.0,1.0,1.0,37.0,6.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,74.0,17.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,5.0,0.0,0.0,0.0,2.0,9.0
Algeria,0.0,0.0,0.0,4.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,801.0,0.0,0.0,8.0,1.0,1.0,66.0,0.0,18.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,10.0,0.0,2.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,6.0,18.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,3.0
Switzerland,0.0,0.0,0.0,44.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,6.0,12.0,0.0,55.0,0.0,1172.0,0.0,1.0,108.0,3.0,14.0,35.0,5.0,109.0,2.0,44.0,0.0,0.0,3.0,2.0,39.0,0.0,0.0,4.0,0.0,15.0,12.0,1.0,0.0,2.0,11.0,6.0,1.0,25.0,46.0,10.0,45.0,40.0,0.0,0.0,126.0,0.0,1.0,1.0,4.0,2.0,6.0,3.0,1.0,0.0,10.0,0.0,24.0,75.0,14.0,120.0,6.0,1.0,1.0,0.0,5.0,7.0,13.0,0.0,3.0,25.0,18.0,0.0,5.0,17.0,0.0,0.0,14.0,4.0,36.0,15.0,27.0,0.0,0.0,7.0,0.0,3.0,3.0,5.0,1.0,22.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0,4.0,5.0,2.0,3.0,0.0,31.0,29.0
Dominica,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,441.0,0.0,0.0,6.0,0.0,27.0,80.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,20.0,2.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,2.0,0.0,0.0,6.0,4.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,9.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0
Myanmar,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,12.0,0.0,403.0,0.0,0.0,37.0,2.0,4.0,8.0,0.0,17.0,2.0,10.0,3.0,2.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,0.0,7.0,1.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,11.0,40.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,211.0,4.0,0.0,4.0,0.0,3.0,0.0,2.0,2.0,16.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,15.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0
Ireland,0.0,0.0,0.0,16.0,1.0,8.0,2.0,1.0,16.0,0.0,0.0,8.0,11.0,1.0,4.0,71.0,0.0,2490.0,0.0,7.0,34.0,10.0,2.0,1.0,0.0,67.0,6.0,28.0,7.0,0.0,0.0,1.0,76.0,3.0,0.0,0.0,0.0,34.0,14.0,10.0,21.0,7.0,1.0,1.0,21.0,22.0,34.0,4.0,42.0,10.0,0.0,0.0,271.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,3.0,0.0,11.0,6.0,20.0,20.0,1.0,42.0,20.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,9.0,9.0,21.0,0.0,6.0,16.0,0.0,0.0,12.0,5.0,29.0,43.0,62.0,3.0,2.0,0.0,1.0,7.0,0.0,11.0,0.0,69.0,67.0,14.0,6.0,10.0,0.0,6.0,7.0,0.0,16.0,0.0,22.0,7.0,0.0,4.0,0.0,11.0,37.0
