,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,49.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,0.0,0.0,5.0,0.0
Kuwait,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Turkey,0.0,14.0,1.0,31.0,1.0,0.0,2.0,0.0,7.0,1.0,7.0,3.0,3.0,27.0,0.0,61.0,8.0,1509.0,1.0,0.0,55.0,13.0,14.0,38.0,3.0,52.0,9.0,23.0,3.0,0.0,10.0,0.0,60.0,0.0,0.0,1.0,1.0,187.0,35.0,0.0,2.0,1.0,0.0,1.0,22.0,84.0,23.0,8.0,29.0,1.0,0.0,0.0,165.0,0.0,1.0,0.0,1.0,4.0,7.0,1.0,0.0,0.0,4.0,0.0,30.0,37.0,1.0,160.0,4.0,8.0,0.0,2.0,20.0,7.0,1.0,13.0,5.0,42.0,44.0,1.0,24.0,261.0,1.0,0.0,11.0,3.0,40.0,28.0,29.0,2.0,12.0,0.0,0.0,2.0,13.0,43.0,0.0,18.0,2.0,1.0,14.0,3.0,1.0,2.0,0.0,0.0,72.0,0.0,13.0,25.0,1.0,61.0,10.0,42.0,104.0
Syrian Arab Republic,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,11.0,0.0,216.0,0.0,0.0,0.0,0.0,1.0,118.0,0.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,6.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0
Netherlands,0.0,3.0,1.0,312.0,1.0,15.0,0.0,0.0,4.0,0.0,2.0,4.0,5.0,1.0,3.0,22.0,0.0,1037.0,0.0,0.0,41.0,9.0,6.0,3.0,1.0,31.0,1.0,14.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0,0.0,4.0,15.0,3.0,4.0,5.0,1.0,0.0,4.0,39.0,15.0,0.0,11.0,3.0,0.0,0.0,72.0,0.0,0.0,0.0,16.0,1.0,3.0,0.0,0.0,0.0,11.0,0.0,8.0,25.0,0.0,55.0,17.0,6.0,0.0,0.0,12.0,9.0,3.0,7.0,11.0,20.0,22.0,15.0,12.0,79.0,1.0,0.0,28.0,2.0,24.0,9.0,25.0,0.0,1.0,1.0,0.0,4.0,4.0,10.0,0.0,14.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,28.0,0.0,10.0,7.0,2.0,5.0,0.0,7.0,38.0
Nepal,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,106.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,1.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,1.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,9.0,18.0,13.0,0.0,0.0,4.0,6.0
Australia,0.0,19.0,3.0,41.0,2.0,7.0,3.0,3.0,10.0,1.0,12.0,7.0,81.0,2.0,4.0,71.0,0.0,1038.0,0.0,0.0,47.0,15.0,32.0,8.0,0.0,148.0,1.0,45.0,3.0,0.0,2.0,15.0,42.0,1.0,0.0,4.0,6.0,74.0,20.0,0.0,12.0,6.0,1.0,61.0,19.0,60.0,70.0,0.0,58.0,17.0,16.0,0.0,482.0,0.0,0.0,1.0,19.0,1.0,24.0,38.0,0.0,1.0,3.0,0.0,74.0,38.0,2.0,136.0,39.0,4.0,0.0,1.0,7.0,6.0,26.0,3.0,30.0,19.0,35.0,3.0,9.0,55.0,3.0,0.0,24.0,12.0,28.0,40.0,21.0,5.0,18.0,6.0,0.0,12.0,3.0,22.0,11.0,115.0,10.0,28.0,27.0,12.0,3.0,3.0,3.0,0.0,48.0,0.0,32.0,24.0,0.0,4.0,0.0,20.0,49.0
Sweden,0.0,3.0,2.0,30.0,0.0,4.0,1.0,0.0,14.0,0.0,2.0,2.0,23.0,6.0,1.0,14.0,2.0,583.0,0.0,0.0,16.0,6.0,3.0,9.0,0.0,24.0,2.0,19.0,0.0,0.0,9.0,0.0,44.0,0.0,0.0,1.0,0.0,6.0,3.0,4.0,19.0,8.0,3.0,0.0,8.0,11.0,25.0,1.0,19.0,2.0,0.0,0.0,74.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,22.0,0.0,6.0,12.0,1.0,30.0,2.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0,21.0,12.0,20.0,2.0,8.0,62.0,2.0,1.0,8.0,5.0,3.0,8.0,34.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0,19.0,33.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,20.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,11.0
Somalia,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,89.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,1.0,8.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,25.0,1.0,3.0,0.0,1653.0,0.0,1.0,14.0,0.0,59.0,11.0,0.0,74.0,5.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,0.0,5.0,0.0,17.0,4.0,0.0,0.0,22.0,0.0,0.0,3.0,51.0,30.0,0.0,13.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,1.0,27.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,9.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,11.0,0.0,19.0,1.0,0.0,16.0,6.0,0.0,6.0,0.0,0.0,4.0,0.0,14.0,2.0,0.0,0.0,0.0,19.0,25.0
Lebanon,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,423.0,0.0,0.0,1.0,0.0,0.0,214.0,0.0,3.0,0.0,62.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,69.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
Bhutan,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,1.0,0.0,27.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,4.0,6.0,0.0,679.0,0.0,0.0,6.0,0.0,7.0,141.0,0.0,53.0,2.0,148.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,62.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,110.0,48.0,1.0,16.0,3.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,11.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,15.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0,17.0,1.0,0.0,0.0,1.0,3.0
"Korea, Republic of",0.0,8.0,0.0,52.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,621.0,1.0,0.0,21.0,0.0,2.0,2.0,0.0,7.0,0.0,24.0,2.0,0.0,0.0,1.0,16.0,0.0,0.0,2.0,1.0,10.0,5.0,0.0,1.0,3.0,6.0,0.0,8.0,13.0,11.0,1.0,2.0,0.0,1.0,0.0,37.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,5.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,4.0,7.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,56.0,0.0,0.0,171.0,0.0,3.0,7.0
Afghanistan,0.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,27.0,1.0,1065.0,0.0,0.0,12.0,0.0,14.0,161.0,0.0,91.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,53.0,5.0,0.0,2.0,2.0,1.0,0.0,18.0,21.0,9.0,0.0,3.0,2.0,2.0,0.0,28.0,2.0,0.0,0.0,3.0,20.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,36.0,5.0,497.0,6.0,0.0,0.0,1.0,0.0,12.0,3.0,3.0,2.0,7.0,301.0,4.0,13.0,9.0,0.0,0.0,6.0,23.0,5.0,15.0,11.0,0.0,1.0,1.0,0.0,8.0,2.0,18.0,0.0,22.0,17.0,0.0,12.0,1.0,0.0,3.0,0.0,0.0,38.0,0.0,12.0,9.0,5.0,0.0,0.0,4.0,2.0
Belarus,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,509.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,6.0,1.0,2.0,1.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,3.0,3.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,27.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,15.0,5.0,0.0,38.0,3.0,0.0,0.0,6.0,1.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,7.0,3.0,5.0,0.0,2.0,1.0,6.0,5.0
Mongolia,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,76.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,100.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
Botswana,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Svalbard and Jan Mayen,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,40.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,94.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Guam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,49.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jersey,0.0,3.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,234.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,11.0,0.0,6.0,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,4.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Anguilla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Pakistan,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,7.0,0.0,13.0,0.0,32.0,11.0,629.0,0.0,0.0,10.0,1.0,265.0,18.0,0.0,92.0,0.0,17.0,3.0,0.0,3.0,0.0,15.0,1.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,10.0,5.0,0.0,23.0,50.0,62.0,4.0,5.0,5.0,2.0,0.0,60.0,0.0,0.0,0.0,1.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,1.0,73.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,428.0,0.0,27.0,5.0,1.0,0.0,2.0,67.0,10.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,18.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,69.0,27.0,4.0,1.0,0.0,7.0,17.0
Zimbabwe,0.0,3.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,32.0,1.0,9.0,0.0,226.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,1.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,17.0,13.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,13.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0
Azerbaijan,0.0,2.0,0.0,20.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,477.0,0.0,0.0,12.0,2.0,0.0,5.0,0.0,18.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,4.0,0.0,3.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,7.0,0.0,0.0,6.0,4.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0
Eritrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0
Viet Nam,0.0,2.0,1.0,52.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,14.0,0.0,1.0,0.0,40.0,0.0,1513.0,0.0,0.0,27.0,1.0,21.0,0.0,4.0,19.0,1.0,15.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,10.0,7.0,0.0,2.0,5.0,0.0,0.0,2.0,21.0,96.0,4.0,7.0,3.0,0.0,0.0,35.0,2.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,33.0,13.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,6.0,562.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,20.0,4.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,30.0
Albania,0.0,5.0,1.0,140.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,1927.0,0.0,0.0,16.0,0.0,3.0,1.0,0.0,9.0,1.0,4.0,2.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0
