,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Sierra Leone,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,324.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Burundi,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Fiji,0.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0
Bangladesh,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,15.0,0.0,25.0,0.0,42.0,0.0,2.0,0.0,0.0,1.0,0.0,90.0,8.0,0.0,31.0,0.0,11.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,2.0,2.0,0.0,2.0,4.0,10.0,5.0,2.0,3.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,24.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,13.0,4.0,0.0,7.0,4.0,1.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,18.0,0.0,14.0,7.0,1.0,0.0,0.0,8.0,12.0
"Congo, The Democratic Republic of the",0.0,1.0,0.0,6.0,3.0,1.0,12.0,0.0,0.0,3.0,1.0,30.0,6.0,35.0,15.0,132.0,81.0,8.0,0.0,0.0,6.0,1.0,14.0,10.0,0.0,4141.0,3.0,58.0,1.0,0.0,0.0,3.0,19.0,0.0,0.0,4.0,7.0,17.0,9.0,0.0,4.0,2.0,5.0,0.0,2.0,21.0,13.0,4.0,17.0,0.0,0.0,0.0,102.0,1.0,0.0,5.0,3.0,3.0,7.0,4.0,0.0,0.0,7.0,0.0,20.0,126.0,12.0,133.0,4.0,3.0,0.0,7.0,2.0,9.0,4.0,1.0,0.0,1.0,164.0,0.0,3.0,9.0,6.0,0.0,5.0,8.0,4.0,7.0,9.0,0.0,0.0,4.0,0.0,2.0,6.0,23.0,0.0,49.0,17.0,0.0,5.0,3.0,0.0,5.0,4.0,0.0,38.0,0.0,31.0,6.0,0.0,7.0,0.0,19.0,94.0
Zimbabwe,0.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,267.0,0.0,29.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,117.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,11.0,44.0,12.0,0.0,1.0,13.0,0.0,1.0,4.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,18.0,0.0,126.0,4.0,0.0,0.0,0.0,2.0,0.0
Papua New Guinea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,58.0,0.0,2.0,9.0,1.0,0.0,0.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,2.0
Ethiopia,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,1.0,47.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,5.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,49.0,0.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,3.0,1.0,11.0,0.0,1.0,0.0,24.0,0.0,6.0,0.0,1.0,0.0,0.0,10.0,5.0
Poland,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,9.0,0.0,2.0,0.0,6.0,4.0,1.0,2.0,6.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,4.0,0.0,1.0,0.0,8.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,4.0,3.0,0.0,46.0,12.0,6.0,0.0,0.0,1.0,3.0,0.0,1.0,8.0,0.0,8.0,0.0,11.0,0.0,1.0,0.0,13.0,8.0,0.0,7.0,202.0,0.0,0.0,0.0,1.0,20.0,1.0,2.0,0.0,13.0,3.0,16.0,12.0,4.0,0.0,0.0,0.0,0.0,66.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,3.0
Tunisia,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,56.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,61.0,1.0,6.0,1.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,10.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0
Kenya,0.0,30.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,95.0,23.0,48.0,0.0,1.0,0.0,1.0,3.0,1.0,13.0,1.0,0.0,164.0,0.0,23.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,8.0,0.0,18.0,5.0,0.0,7.0,0.0,0.0,0.0,11.0,26.0,3.0,0.0,16.0,0.0,2.0,0.0,31.0,0.0,0.0,1.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,89.0,2.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,23.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,1.0,33.0,10.0,0.0,0.0,8.0,0.0,1.0,6.0,1.0,0.0,5.0,4.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,26.0,0.0,45.0,4.0,8.0,1.0,0.0,13.0,8.0
Angola,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,21.0,1.0,0.0,3.0,0.0,1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,1.0,216.0,9.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,25.0,1.0,0.0,0.0,6.0,1.0,3.0,25.0,1.0,0.0,2.0,13.0,0.0,1.0,4.0,0.0,0.0,25.0,0.0,0.0,9.0,5.0,1.0,0.0,1.0,1.0,76.0,0.0,38.0,2.0,0.0,0.0,2.0,10.0,27.0
Djibouti,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,0.0,5.0,0.0,4.0,1.0,2.0,4.0,0.0,0.0,1.0,10.0,1.0,7.0,3.0,1.0,40.0,3.0,2.0,0.0,0.0,2.0,4.0,17.0,16.0,0.0,17.0,2.0,1.0,2.0,1.0,10.0,0.0,17.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,6.0,1.0,0.0,0.0,7.0,11.0,6.0,0.0,7.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,108.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,13.0,0.0,6.0,1.0,0.0,0.0,1.0,13.0,1.0,11.0,5.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,8.0,4.0,0.0,0.0,0.0,10.0,4.0
Uganda,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,24.0,11.0,41.0,2.0,2.0,0.0,0.0,7.0,4.0,8.0,2.0,0.0,1513.0,0.0,17.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,10.0,24.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,51.0,20.0,1.0,3.0,0.0,1.0,0.0,91.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,81.0,15.0,49.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,4.0,37.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,16.0,15.0,0.0,0.0,3.0,0.0,4.0,4.0,2.0,0.0,26.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,17.0,0.0,17.0,23.0,0.0,6.0,0.0,12.0,77.0
Algeria,0.0,1.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,58.0,0.0,6.0,0.0,0.0,0.0,1.0,5.0,38.0,0.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,1.0,0.0,1.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,85.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,8.0,10.0,0.0,3.0,0.0,2.0,4.0
Argentina,0.0,3.0,1.0,4.0,3.0,38.0,92.0,0.0,1.0,31.0,12.0,16.0,4.0,7.0,1.0,10.0,0.0,2.0,2.0,0.0,17.0,2.0,185.0,9.0,1.0,51.0,11.0,4.0,0.0,0.0,2.0,4.0,49.0,1.0,0.0,3.0,0.0,22.0,15.0,5.0,3.0,4.0,268.0,0.0,31.0,62.0,50.0,0.0,22.0,0.0,1.0,0.0,80.0,0.0,0.0,0.0,3.0,6.0,294.0,31.0,0.0,0.0,0.0,0.0,2.0,52.0,0.0,75.0,19.0,3.0,0.0,0.0,1.0,7.0,0.0,4.0,5.0,18.0,12.0,0.0,28.0,18.0,4.0,0.0,34.0,14.0,4.0,100.0,13.0,0.0,3.0,6.0,0.0,5.0,0.0,3.0,0.0,89.0,44.0,0.0,6.0,9.0,0.0,34.0,7.0,1.0,64.0,0.0,13.0,15.0,0.0,0.0,0.0,35.0,111.0
Rwanda,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,319.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,10.0,1.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,4.0,13.0
Thailand,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,51.0,3.0,14.0,0.0,33.0,0.0,2.0,0.0,0.0,14.0,3.0,199.0,3.0,0.0,57.0,7.0,23.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,26.0,1.0,6.0,4.0,0.0,0.0,0.0,19.0,9.0,13.0,0.0,34.0,4.0,0.0,0.0,48.0,7.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,7.0,0.0,1.0,53.0,0.0,47.0,3.0,7.0,0.0,1.0,1.0,6.0,0.0,2.0,2.0,1.0,6.0,0.0,24.0,1.0,0.0,0.0,7.0,1.0,2.0,25.0,7.0,0.0,1.0,9.0,0.0,8.0,1.0,0.0,1.0,12.0,20.0,0.0,3.0,7.0,0.0,3.0,4.0,0.0,30.0,0.0,24.0,0.0,0.0,1.0,0.0,29.0,54.0
Kyrgyzstan,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
Mali,0.0,1.0,0.0,2.0,3.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,1.0,11.0,0.0,43.0,0.0,1.0,0.0,1.0,4.0,6.0,6.0,64.0,1.0,65.0,1.0,6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,5.0,0.0,9.0,6.0,2.0,2.0,13.0,0.0,0.0,5.0,10.0,6.0,0.0,10.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,12.0,1.0,15.0,3.0,0.0,0.0,15.0,0.0,0.0,117.0,0.0,118.0,18.0,1.0,0.0,0.0,8.0,0.0,16.0,1.0,9.0,4.0,4.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,1.0,8.0,2.0,0.0,0.0,7.0,0.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,4.0,1.0,6.0,4.0,1.0,0.0,37.0,0.0,13.0,15.0,3.0,2.0,0.0,5.0,2.0
"Korea, Republic of",0.0,2.0,0.0,25.0,0.0,8.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,10.0,0.0,3.0,0.0,0.0,51.0,0.0,6.0,4.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,3.0,5.0,10.0,1.0,7.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
Yemen,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,841.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,179.0,0.0,61.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,132.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,52.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,5.0
Hungary,0.0,31.0,0.0,23.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,7.0,0.0,14.0,1.0,5.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,20.0,59.0,18.0,1.0,18.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,41.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,11.0,0.0,5.0,0.0,2.0,36.0,0.0,2.0,59.0
Nigeria,0.0,2.0,1.0,23.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,11.0,110.0,0.0,109.0,0.0,3.0,0.0,0.0,23.0,7.0,6.0,2.0,4.0,219.0,2.0,26.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,9.0,0.0,40.0,16.0,0.0,12.0,1.0,18.0,0.0,23.0,76.0,42.0,2.0,27.0,4.0,5.0,0.0,51.0,0.0,0.0,261.0,2.0,0.0,85.0,0.0,5.0,1.0,3.0,0.0,4.0,277.0,3.0,114.0,50.0,5.0,0.0,0.0,1.0,2.0,15.0,2.0,4.0,4.0,206.0,0.0,4.0,13.0,0.0,0.0,6.0,8.0,229.0,72.0,10.0,0.0,1.0,14.0,0.0,5.0,1.0,7.0,0.0,14.0,17.0,1.0,6.0,1.0,7.0,1.0,8.0,0.0,93.0,0.0,114.0,16.0,1.0,1.0,0.0,44.0,24.0
Namibia,0.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,27.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0
Iraq,0.0,3.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,221.0,0.0,28.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,34.0,6.0,2.0,6.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,25.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,17.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,46.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,10.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,8.0,2.0,1.0,0.0,0.0,7.0
Belarus,0.0,1.0,0.0,2.0,12.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,10.0,11.0,1.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,5.0,0.0,64.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,7.0,0.0,32.0,0.0,0.0,0.0,4.0,6.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,14.0,1.0,1.0,3.0,0.0,2.0,4.0,0.0,35.0,1.0,8.0,9.0,0.0,0.0,0.0,10.0,6.0
