,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Afghanistan,0.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,16.0,0.0,23.0,1.0,1055.0,0.0,0.0,14.0,0.0,44.0,144.0,0.0,92.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,5.0,2.0,0.0,2.0,1.0,0.0,16.0,20.0,13.0,0.0,4.0,2.0,2.0,0.0,27.0,2.0,0.0,0.0,3.0,19.0,7.0,2.0,0.0,0.0,0.0,0.0,7.0,59.0,5.0,736.0,3.0,0.0,0.0,1.0,0.0,12.0,3.0,3.0,2.0,9.0,357.0,4.0,20.0,10.0,0.0,0.0,5.0,25.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,8.0,3.0,19.0,0.0,25.0,9.0,0.0,11.0,1.0,0.0,4.0,0.0,0.0,36.0,0.0,10.0,4.0,1.0,0.0,0.0,3.0,4.0
Belarus,0.0,1.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,448.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,127.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,24.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,6.0,1.0,36.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,5.0,0.0,0.0,1.0,6.0,3.0
Peru,0.0,1.0,0.0,12.0,0.0,0.0,24.0,0.0,0.0,3.0,7.0,5.0,1.0,2.0,2.0,31.0,0.0,1716.0,0.0,0.0,0.0,3.0,44.0,13.0,0.0,16.0,1.0,10.0,0.0,0.0,3.0,2.0,14.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,7.0,1.0,0.0,20.0,40.0,3.0,0.0,18.0,4.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,13.0,19.0,1.0,60.0,3.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,10.0,15.0,8.0,1.0,25.0,0.0,1.0,0.0,37.0,3.0,5.0,30.0,9.0,0.0,10.0,0.0,0.0,1.0,0.0,6.0,0.0,24.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,4.0,0.0,0.0,2.0,0.0,12.0,24.0
Malaysia,0.0,1.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,1.0,39.0,0.0,590.0,0.0,0.0,18.0,0.0,20.0,1.0,0.0,27.0,0.0,15.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,38.0,3.0,1.0,1.0,2.0,0.0,5.0,7.0,11.0,33.0,2.0,7.0,0.0,3.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,1.0,3.0,0.0,56.0,14.0,0.0,9.0,1.0,0.0,0.0,28.0,0.0,57.0,11.0,0.0,6.0,27.0,11.0,0.0,5.0,6.0,0.0,0.0,2.0,0.0,12.0,14.0,5.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,8.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,24.0,17.0,0.0,1.0,0.0,0.0,9.0
Mongolia,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,251.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,233.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,61.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0
South Africa,0.0,3.0,0.0,72.0,0.0,3.0,4.0,0.0,12.0,3.0,8.0,3.0,0.0,9.0,4.0,134.0,0.0,2926.0,0.0,0.0,38.0,11.0,5.0,6.0,1.0,292.0,0.0,117.0,3.0,0.0,3.0,0.0,28.0,0.0,0.0,3.0,0.0,47.0,3.0,0.0,2.0,2.0,1.0,1.0,8.0,23.0,21.0,0.0,33.0,0.0,0.0,0.0,341.0,1.0,2.0,1.0,3.0,3.0,7.0,10.0,3.0,2.0,2.0,0.0,61.0,58.0,24.0,189.0,10.0,0.0,1.0,1.0,8.0,15.0,5.0,1.0,3.0,56.0,28.0,0.0,52.0,40.0,1.0,0.0,4.0,3.0,114.0,36.0,10.0,0.0,1.0,5.0,0.0,0.0,5.0,31.0,0.0,70.0,3.0,17.0,8.0,3.0,1.0,0.0,1.0,2.0,60.0,0.0,15.0,7.0,1.0,8.0,0.0,17.0,29.0
"Iran, Islamic Republic of",0.0,12.0,0.0,7.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,14.0,0.0,11.0,0.0,545.0,0.0,1.0,7.0,8.0,12.0,103.0,0.0,12.0,3.0,30.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,1.0,0.0,54.0,109.0,0.0,36.0,1.0,2.0,0.0,0.0,9.0,6.0,0.0,12.0,0.0,0.0,0.0,185.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,40.0,6.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,2.0,19.0,0.0,1.0,4.0,2.0,0.0,2.0,68.0,26.0,14.0,11.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,6.0,0.0,11.0,1.0,0.0,35.0,0.0,4.0,1.0,0.0,0.0,2.0,5.0,15.0
Svalbard and Jan Mayen,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,40.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,94.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Guam,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,46.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,0.0,12.0,0.0,977.0,11.0,38.0,7.0,0.0,26.0,2.0,45.0,5.0,15.0,23.0,11.0,170.0,6.0,8615.0,2.0,24.0,63.0,42.0,18.0,67.0,1.0,430.0,15.0,129.0,66.0,0.0,63.0,4.0,135.0,2.0,0.0,1.0,15.0,74.0,25.0,0.0,21.0,15.0,20.0,1.0,255.0,185.0,133.0,27.0,141.0,98.0,0.0,0.0,897.0,1.0,5.0,7.0,35.0,4.0,50.0,18.0,12.0,0.0,42.0,0.0,69.0,150.0,46.0,1359.0,18.0,5.0,1.0,0.0,19.0,60.0,4.0,16.0,20.0,40.0,72.0,23.0,47.0,252.0,11.0,1.0,28.0,25.0,71.0,71.0,223.0,0.0,6.0,9.0,2.0,13.0,41.0,127.0,0.0,137.0,25.0,2.0,100.0,22.0,2.0,13.0,0.0,0.0,108.0,1.0,52.0,24.0,1.0,40.0,0.0,13.0,116.0
Kyrgyzstan,0.0,14.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,7.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,1.0
Jersey,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,233.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,13.0,0.0,9.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0
Anguilla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Pakistan,0.0,1.0,1.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,25.0,1.0,10.0,0.0,17.0,9.0,482.0,0.0,0.0,9.0,1.0,331.0,18.0,1.0,97.0,0.0,17.0,4.0,0.0,2.0,0.0,12.0,2.0,0.0,3.0,1.0,16.0,3.0,0.0,0.0,10.0,0.0,0.0,25.0,46.0,67.0,3.0,2.0,5.0,2.0,1.0,47.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,1.0,62.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,4.0,6.0,354.0,0.0,27.0,5.0,0.0,0.0,2.0,89.0,5.0,7.0,9.0,0.0,0.0,1.0,0.0,2.0,6.0,17.0,0.0,26.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,70.0,29.0,0.0,1.0,0.0,22.0,30.0
"Taiwan, Province of China",0.0,2.0,0.0,17.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,22.0,0.0,423.0,1.0,2.0,5.0,3.0,12.0,1.0,0.0,29.0,1.0,11.0,2.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,3.0,0.0,11.0,0.0,3.0,16.0,13.0,3.0,25.0,3.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,7.0,1.0,40.0,0.0,0.0,0.0,0.0,2.0,17.0,1.0,2.0,5.0,52.0,1.0,1.0,2.0,3.0,3.0,0.0,5.0,1.0,15.0,3.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,25.0,0.0,18.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,6.0
Greece,0.0,1.0,0.0,19.0,0.0,2.0,1.0,0.0,77.0,0.0,1.0,2.0,0.0,3.0,0.0,106.0,1.0,5346.0,1.0,0.0,12.0,0.0,1.0,5.0,0.0,216.0,13.0,5.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,81.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,5.0,6.0,19.0,2.0,6.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,38.0,9.0,4.0,184.0,9.0,1.0,0.0,0.0,0.0,32.0,0.0,1.0,15.0,7.0,5.0,0.0,2.0,1.0,3.0,0.0,2.0,40.0,37.0,8.0,7.0,0.0,0.0,1.0,0.0,9.0,3.0,15.0,0.0,11.0,6.0,2.0,0.0,17.0,1.0,5.0,1.0,0.0,10.0,0.0,26.0,17.0,1.0,46.0,1.0,5.0,6.0
Zimbabwe,0.0,4.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,33.0,1.0,9.0,0.0,250.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0,1.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,20.0,8.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,5.0,7.0,5.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,10.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0
Azerbaijan,0.0,2.0,0.0,24.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,8.0,0.0,489.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,15.0,0.0,5.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,2.0,0.0,3.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,7.0,0.0,0.0,2.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0
Eritrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bulgaria,0.0,8.0,0.0,90.0,0.0,2.0,4.0,0.0,1.0,0.0,8.0,1.0,3.0,4.0,0.0,9.0,0.0,1421.0,0.0,1.0,3.0,8.0,3.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,11.0,16.0,1.0,2.0,2.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,21.0,13.0,0.0,138.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,8.0,15.0,1.0,7.0,0.0,0.0,0.0,16.0,1.0,16.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,22.0,22.0,4.0,0.0,1.0,0.0,6.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0
Viet Nam,0.0,2.0,3.0,50.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0,13.0,2.0,4.0,0.0,32.0,0.0,1486.0,1.0,0.0,21.0,1.0,21.0,2.0,4.0,36.0,1.0,15.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,6.0,3.0,0.0,3.0,6.0,1.0,0.0,2.0,19.0,105.0,4.0,6.0,2.0,0.0,0.0,31.0,2.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,31.0,10.0,0.0,12.0,1.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,5.0,524.0,1.0,0.0,10.0,2.0,1.0,0.0,3.0,3.0,11.0,5.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,33.0
Sudan,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,71.0,21.0,3.0,0.0,86.0,0.0,0.0,0.0,1.0,3.0,87.0,0.0,76.0,0.0,15.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,21.0,20.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,16.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,77.0,24.0,37.0,1.0,0.0,0.0,5.0,0.0,21.0,4.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,13.0,13.0,8.0,0.0,0.0,22.0,18.0
Myanmar,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,6.0,0.0,328.0,1.0,0.0,2.0,1.0,3.0,4.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,189.0,3.0,0.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0
Qatar,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,301.0,1.0,0.0,2.0,0.0,0.0,27.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,12.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0
Rwanda,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,114.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0
"Korea, Democratic People's Republic of",0.0,2.0,2.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,242.0,0.0,0.0,11.0,0.0,3.0,3.0,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,0.0,0.0,0.0,0.0,2.0,0.0
Lao People's Democratic Republic,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,105.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,44.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
