,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Indonesia,1.0,7.0,3.0,29.0,1.0,32.0,7.0,1.0,3.0,1.0,5.0,50.0,2.0,9.0,2.0,84.0,0.0,2860.0,0.0,0.0,51.0,9.0,163.0,9.0,0.0,127.0,5.0,52.0,0.0,0.0,1.0,4.0,42.0,3.0,0.0,10.0,1.0,19.0,3.0,0.0,4.0,7.0,2.0,4.0,31.0,77.0,45.0,4.0,56.0,18.0,3.0,0.0,290.0,0.0,0.0,0.0,0.0,2.0,40.0,13.0,0.0,0.0,4.0,0.0,62.0,79.0,1.0,185.0,8.0,0.0,0.0,3.0,2.0,10.0,21.0,2.0,10.0,60.0,32.0,0.0,19.0,9.0,5.0,0.0,26.0,5.0,92.0,49.0,20.0,0.0,3.0,5.0,0.0,1.0,5.0,12.0,20.0,86.0,9.0,0.0,12.0,23.0,1.0,2.0,5.0,2.0,70.0,0.0,28.0,5.0,2.0,1.0,1.0,44.0,163.0
Malaysia,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,137.0,7.0,1024.0,0.0,0.0,16.0,2.0,23.0,0.0,0.0,40.0,0.0,31.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,15.0,19.0,0.0,0.0,0.0,2.0,27.0,5.0,17.0,15.0,0.0,1.0,0.0,4.0,0.0,46.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,155.0,13.0,2.0,22.0,6.0,0.0,0.0,32.0,0.0,67.0,8.0,1.0,6.0,65.0,6.0,0.0,14.0,7.0,0.0,0.0,1.0,0.0,40.0,4.0,31.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,8.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,9.0,32.0
Mexico,1.0,7.0,4.0,10.0,2.0,11.0,27.0,0.0,1.0,20.0,11.0,22.0,2.0,48.0,8.0,37.0,0.0,3849.0,0.0,2.0,20.0,7.0,129.0,15.0,0.0,150.0,0.0,49.0,8.0,2.0,3.0,1.0,20.0,0.0,0.0,3.0,0.0,27.0,0.0,1.0,6.0,14.0,1.0,1.0,19.0,72.0,64.0,0.0,44.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,1.0,3.0,47.0,2.0,0.0,0.0,8.0,0.0,37.0,42.0,0.0,138.0,9.0,1.0,0.0,0.0,0.0,6.0,13.0,0.0,3.0,21.0,37.0,0.0,27.0,18.0,17.0,0.0,42.0,30.0,49.0,85.0,14.0,2.0,4.0,2.0,0.0,4.0,1.0,49.0,7.0,73.0,25.0,0.0,9.0,6.0,0.0,2.0,6.0,2.0,69.0,0.0,31.0,13.0,0.0,8.0,0.0,18.0,131.0
Norway,2.0,1.0,0.0,35.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0,1.0,10.0,8.0,4.0,41.0,0.0,938.0,0.0,0.0,24.0,9.0,5.0,19.0,0.0,34.0,0.0,16.0,1.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,5.0,5.0,0.0,2.0,18.0,22.0,23.0,1.0,4.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,9.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,16.0,14.0,1.0,36.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,1.0,5.0,6.0,8.0,0.0,2.0,6.0,8.0,0.0,8.0,6.0,16.0,12.0,77.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,18.0,27.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,32.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,9.0
Chile,1.0,1.0,0.0,10.0,2.0,1.0,8.0,0.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,1406.0,0.0,0.0,8.0,3.0,32.0,1.0,0.0,65.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,28.0,0.0,8.0,19.0,3.0,0.0,8.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,46.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,16.0,5.0,1.0,0.0,5.0,1.0,10.0,10.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,5.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,25.0
Germany,3.0,3.0,5.0,821.0,51.0,21.0,12.0,1.0,12.0,0.0,40.0,28.0,15.0,45.0,4.0,321.0,4.0,9074.0,1.0,27.0,129.0,61.0,57.0,66.0,3.0,495.0,27.0,206.0,12.0,0.0,18.0,1.0,219.0,1.0,0.0,4.0,15.0,73.0,11.0,1.0,26.0,13.0,106.0,2.0,72.0,132.0,135.0,11.0,259.0,49.0,2.0,0.0,1158.0,1.0,2.0,1.0,16.0,6.0,116.0,8.0,3.0,2.0,57.0,0.0,155.0,65.0,164.0,787.0,30.0,8.0,0.0,0.0,15.0,29.0,7.0,35.0,36.0,70.0,81.0,6.0,78.0,58.0,31.0,4.0,69.0,34.0,191.0,89.0,188.0,0.0,17.0,26.0,0.0,8.0,32.0,86.0,0.0,169.0,25.0,16.0,37.0,19.0,23.0,20.0,4.0,1.0,264.0,51.0,67.0,46.0,7.0,112.0,0.0,41.0,162.0
Romania,1.0,1.0,0.0,236.0,4.0,10.0,15.0,0.0,2.0,2.0,3.0,2.0,1.0,8.0,0.0,44.0,0.0,2661.0,0.0,13.0,40.0,9.0,1.0,2.0,2.0,54.0,2.0,12.0,1.0,0.0,1.0,2.0,12.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,6.0,0.0,1.0,21.0,20.0,1.0,25.0,2.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,2.0,20.0,9.0,1.0,0.0,18.0,0.0,29.0,10.0,1.0,33.0,4.0,5.0,0.0,0.0,0.0,81.0,8.0,1.0,0.0,13.0,25.0,0.0,7.0,2.0,3.0,0.0,8.0,6.0,2241.0,21.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,2.0,21.0,10.0,0.0,6.0,2.0,0.0,25.0,1.0,0.0,65.0,0.0,17.0,19.0,0.0,7.0,0.0,1.0,31.0
India,4.0,14.0,8.0,520.0,2.0,10.0,9.0,1.0,39.0,0.0,12.0,37.0,3.0,91.0,28.0,530.0,2.0,11364.0,0.0,2.0,294.0,102.0,141.0,51.0,5.0,526.0,6.0,365.0,10.0,0.0,11.0,7.0,108.0,4.0,0.0,40.0,8.0,153.0,47.0,6.0,16.0,28.0,5.0,4.0,55.0,354.0,167.0,0.0,102.0,28.0,6.0,0.0,1030.0,19.0,0.0,2.0,6.0,47.0,209.0,20.0,0.0,3.0,24.0,0.0,241.0,353.0,13.0,1113.0,12.0,2.0,10.0,54.0,3.0,131.0,39.0,7.0,69.0,361.0,417.0,1.0,89.0,53.0,2.0,0.0,210.0,25.0,234.0,68.0,75.0,0.0,7.0,11.0,2.0,21.0,8.0,117.0,13.0,334.0,14.0,19.0,30.0,17.0,1.0,3.0,17.0,2.0,298.0,0.0,288.0,65.0,45.0,8.0,0.0,80.0,212.0
Slovakia,1.0,0.0,1.0,40.0,2.0,7.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,27.0,0.0,1107.0,0.0,2.0,12.0,8.0,4.0,0.0,1.0,42.0,3.0,2.0,2.0,0.0,4.0,0.0,20.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,7.0,0.0,1.0,16.0,31.0,0.0,21.0,6.0,0.0,0.0,67.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,21.0,0.0,22.0,17.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,8.0,9.0,2.0,0.0,5.0,1.0,1.0,5.0,3.0,22.0,0.0,11.0,0.0,3.0,0.0,0.0,1.0,5.0,4.0,1.0,13.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,18.0,1.0,4.0,3.0,0.0,6.0,0.0,2.0,19.0
Portugal,2.0,0.0,0.0,3.0,1.0,4.0,10.0,0.0,1.0,0.0,1.0,4.0,2.0,5.0,0.0,36.0,0.0,3936.0,0.0,0.0,3.0,20.0,7.0,0.0,0.0,55.0,4.0,15.0,2.0,0.0,4.0,0.0,40.0,2.0,0.0,2.0,0.0,82.0,2.0,1.0,0.0,8.0,0.0,0.0,2.0,17.0,85.0,0.0,15.0,5.0,0.0,0.0,80.0,0.0,0.0,0.0,58.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,18.0,24.0,0.0,31.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,10.0,10.0,0.0,7.0,2.0,2.0,0.0,5.0,10.0,24.0,10.0,17.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,53.0,9.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,71.0,0.0,12.0,5.0,0.0,0.0,0.0,12.0,25.0
Canada,1.0,3.0,1.0,18.0,6.0,15.0,4.0,1.0,10.0,7.0,8.0,41.0,20.0,8.0,3.0,245.0,0.0,4922.0,1.0,133.0,204.0,25.0,9.0,11.0,0.0,297.0,4.0,76.0,7.0,0.0,10.0,1.0,55.0,0.0,0.0,1.0,7.0,46.0,17.0,0.0,9.0,12.0,6.0,1.0,65.0,45.0,81.0,2.0,53.0,48.0,3.0,0.0,537.0,2.0,0.0,1.0,3.0,4.0,5.0,2.0,1.0,3.0,40.0,0.0,62.0,36.0,1.0,267.0,12.0,3.0,0.0,1.0,2.0,14.0,47.0,8.0,17.0,29.0,52.0,3.0,27.0,19.0,2.0,0.0,15.0,11.0,86.0,40.0,54.0,2.0,6.0,2.0,0.0,13.0,3.0,59.0,0.0,157.0,17.0,233.0,12.0,2.0,0.0,4.0,4.0,0.0,45.0,0.0,26.0,26.0,0.0,5.0,0.0,30.0,65.0
Brazil,1.0,5.0,7.0,56.0,3.0,38.0,46.0,2.0,21.0,49.0,16.0,251.0,2.0,26.0,3.0,192.0,0.0,10770.0,0.0,0.0,32.0,63.0,767.0,22.0,0.0,271.0,1.0,107.0,3.0,0.0,3.0,9.0,97.0,2.0,0.0,29.0,2.0,100.0,7.0,6.0,3.0,117.0,19.0,1.0,24.0,195.0,163.0,9.0,120.0,25.0,3.0,0.0,1148.0,2.0,0.0,6.0,6.0,59.0,252.0,22.0,0.0,2.0,7.0,0.0,133.0,379.0,6.0,588.0,45.0,3.0,0.0,2.0,5.0,46.0,54.0,2.0,4.0,130.0,184.0,0.0,109.0,16.0,8.0,0.0,86.0,45.0,131.0,146.0,66.0,0.0,1.0,43.0,0.0,10.0,8.0,67.0,7.0,599.0,45.0,2.0,21.0,64.0,1.0,1.0,4.0,1.0,173.0,0.0,41.0,17.0,3.0,16.0,0.0,238.0,969.0
Peru,1.0,2.0,1.0,5.0,0.0,1.0,14.0,0.0,3.0,4.0,13.0,24.0,1.0,11.0,1.0,36.0,0.0,2241.0,0.0,0.0,3.0,2.0,228.0,22.0,0.0,39.0,5.0,7.0,1.0,0.0,1.0,3.0,19.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,2.0,1.0,5.0,37.0,10.0,0.0,13.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,3.0,10.0,2.0,0.0,3.0,0.0,0.0,27.0,36.0,1.0,69.0,3.0,2.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,17.0,10.0,0.0,34.0,3.0,0.0,0.0,32.0,10.0,25.0,16.0,14.0,0.0,2.0,2.0,0.0,1.0,0.0,24.0,7.0,18.0,4.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,59.0,0.0,8.0,1.0,0.0,0.0,0.0,20.0,78.0
Georgia,6.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,592.0,0.0,2.0,19.0,1.0,0.0,7.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,7.0,17.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,12.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,2.0,0.0,0.0,2.0,1.0,19.0,3.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,4.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,7.0,0.0,7.0,12.0
Egypt,1.0,1.0,0.0,170.0,1.0,0.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,10.0,21.0,0.0,1607.0,0.0,0.0,5.0,0.0,4.0,253.0,2.0,47.0,2.0,626.0,0.0,0.0,1.0,1.0,19.0,1.0,1.0,15.0,0.0,180.0,31.0,1.0,5.0,1.0,0.0,0.0,10.0,9.0,65.0,1.0,17.0,7.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,1.0,18.0,2.0,0.0,0.0,1.0,0.0,6.0,33.0,1.0,111.0,1.0,3.0,2.0,2.0,0.0,71.0,0.0,3.0,11.0,6.0,348.0,1.0,6.0,0.0,1.0,0.0,0.0,36.0,18.0,36.0,2.0,0.0,2.0,10.0,0.0,1.0,0.0,12.0,0.0,6.0,25.0,1.0,4.0,3.0,0.0,2.0,0.0,0.0,51.0,0.0,7.0,63.0,1.0,0.0,0.0,16.0,15.0
Russian Federation,1.0,36.0,4.0,1051.0,4.0,41.0,30.0,0.0,17.0,0.0,36.0,46.0,13.0,26.0,3.0,298.0,19.0,5432.0,10.0,1.0,72.0,23.0,81.0,59.0,3.0,823.0,52.0,132.0,20.0,48.0,3.0,3.0,85.0,0.0,0.0,4.0,0.0,384.0,44.0,3.0,6.0,12.0,8.0,2.0,85.0,185.0,69.0,8.0,67.0,16.0,0.0,1.0,1858.0,0.0,0.0,1.0,5.0,1.0,31.0,77.0,2.0,3.0,183.0,4.0,165.0,106.0,5.0,413.0,36.0,8.0,0.0,1.0,64.0,18.0,11.0,44.0,41.0,96.0,128.0,8.0,289.0,37.0,13.0,1.0,249.0,113.0,541.0,51.0,41.0,2.0,8.0,4.0,0.0,19.0,27.0,55.0,9.0,128.0,72.0,2.0,88.0,66.0,1.0,51.0,8.0,0.0,455.0,56.0,116.0,70.0,0.0,42.0,1.0,166.0,123.0
