,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Austria,1.0,0.0,3.0,77.0,2.0,3.0,2.0,0.0,6.0,0.0,4.0,2.0,13.0,3.0,0.0,47.0,0.0,2027.0,0.0,0.0,12.0,13.0,0.0,20.0,0.0,44.0,2.0,15.0,0.0,0.0,6.0,3.0,23.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,16.0,4.0,2.0,0.0,23.0,63.0,13.0,0.0,7.0,8.0,0.0,0.0,151.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,11.0,6.0,2.0,158.0,13.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,28.0,16.0,7.0,0.0,11.0,33.0,2.0,0.0,9.0,23.0,17.0,23.0,39.0,1.0,3.0,2.0,0.0,5.0,1.0,38.0,14.0,22.0,15.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,31.0,0.0,23.0,2.0,0.0,4.0,0.0,3.0,8.0
Netherlands,7.0,3.0,1.0,529.0,0.0,13.0,0.0,0.0,6.0,1.0,4.0,7.0,7.0,5.0,3.0,45.0,0.0,1480.0,0.0,1.0,31.0,6.0,6.0,1.0,1.0,37.0,1.0,22.0,1.0,0.0,0.0,1.0,50.0,0.0,0.0,3.0,0.0,9.0,16.0,3.0,5.0,14.0,1.0,1.0,9.0,63.0,21.0,0.0,12.0,2.0,0.0,0.0,78.0,0.0,0.0,1.0,20.0,1.0,6.0,5.0,1.0,0.0,3.0,0.0,10.0,17.0,0.0,74.0,23.0,2.0,0.0,0.0,23.0,14.0,3.0,6.0,14.0,23.0,26.0,12.0,7.0,64.0,1.0,0.0,40.0,11.0,12.0,11.0,23.0,0.0,7.0,2.0,0.0,3.0,3.0,10.0,0.0,17.0,7.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,32.0,0.0,12.0,6.0,1.0,11.0,0.0,5.0,45.0
Ireland,1.0,4.0,0.0,328.0,0.0,11.0,2.0,0.0,1.0,1.0,1.0,4.0,11.0,0.0,0.0,75.0,0.0,2296.0,0.0,7.0,9.0,5.0,10.0,1.0,0.0,79.0,6.0,48.0,6.0,0.0,0.0,4.0,52.0,11.0,0.0,0.0,1.0,31.0,13.0,9.0,15.0,6.0,0.0,1.0,15.0,17.0,37.0,5.0,33.0,8.0,0.0,1.0,328.0,0.0,0.0,0.0,1.0,1.0,12.0,13.0,3.0,0.0,14.0,8.0,10.0,14.0,1.0,32.0,24.0,10.0,0.0,0.0,8.0,2.0,3.0,0.0,8.0,9.0,21.0,0.0,6.0,36.0,0.0,0.0,10.0,3.0,35.0,30.0,51.0,1.0,4.0,0.0,0.0,10.0,2.0,6.0,0.0,101.0,56.0,10.0,0.0,6.0,0.0,7.0,9.0,0.0,11.0,0.0,22.0,5.0,0.0,2.0,1.0,6.0,11.0
Cameroon,1.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,42.0,7.0,1.0,0.0,161.0,0.0,0.0,3.0,0.0,6.0,5.0,2.0,26.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,18.0,2.0,0.0,1.0,0.0,16.0,2.0
Grenada,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,124.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0
Kuwait,0.0,1.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,160.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Turkey,0.0,17.0,0.0,33.0,1.0,4.0,5.0,0.0,5.0,2.0,6.0,1.0,3.0,3.0,0.0,21.0,2.0,1087.0,3.0,0.0,34.0,1.0,7.0,44.0,2.0,23.0,5.0,18.0,4.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,170.0,31.0,0.0,5.0,1.0,0.0,1.0,24.0,89.0,29.0,5.0,41.0,2.0,1.0,0.0,156.0,0.0,3.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,3.0,0.0,16.0,28.0,2.0,151.0,3.0,7.0,0.0,2.0,18.0,8.0,0.0,21.0,3.0,25.0,38.0,1.0,23.0,327.0,1.0,0.0,10.0,4.0,35.0,44.0,29.0,0.0,13.0,3.0,0.0,1.0,13.0,41.0,0.0,29.0,3.0,1.0,23.0,6.0,1.0,1.0,0.0,0.0,64.0,0.0,15.0,29.0,0.0,14.0,14.0,36.0,48.0
United Kingdom,0.0,18.0,2.0,1123.0,7.0,25.0,9.0,4.0,127.0,5.0,25.0,36.0,43.0,52.0,6.0,470.0,1.0,13712.0,2.0,14.0,439.0,63.0,39.0,139.0,5.0,492.0,11.0,359.0,33.0,0.0,33.0,38.0,221.0,4.0,0.0,13.0,4.0,601.0,59.0,23.0,86.0,18.0,25.0,0.0,72.0,214.0,340.0,11.0,191.0,89.0,4.0,0.0,2784.0,5.0,3.0,4.0,29.0,8.0,109.0,16.0,10.0,0.0,38.0,1.0,270.0,195.0,34.0,487.0,125.0,8.0,1.0,12.0,87.0,123.0,23.0,12.0,47.0,177.0,104.0,10.0,57.0,409.0,6.0,2.0,46.0,22.0,219.0,185.0,295.0,5.0,12.0,27.0,0.0,23.0,19.0,206.0,0.0,289.0,58.0,216.0,20.0,47.0,1.0,21.0,6.0,1.0,259.0,0.0,129.0,72.0,2.0,8.0,0.0,56.0,153.0
Nigeria,0.0,5.0,1.0,80.0,1.0,8.0,2.0,18.0,1.0,0.0,92.0,6.0,3.0,836.0,3.0,204.0,0.0,3793.0,0.0,0.0,46.0,10.0,18.0,10.0,4.0,505.0,2.0,187.0,2.0,0.0,4.0,2.0,27.0,3.0,0.0,23.0,2.0,49.0,14.0,1.0,16.0,6.0,4.0,0.0,16.0,101.0,49.0,3.0,28.0,8.0,12.0,0.0,487.0,0.0,0.0,119.0,1.0,0.0,110.0,4.0,0.0,1.0,14.0,1.0,197.0,377.0,293.0,561.0,11.0,4.0,0.0,1.0,9.0,7.0,23.0,6.0,9.0,81.0,231.0,8.0,8.0,98.0,2.0,0.0,18.0,13.0,236.0,38.0,6.0,0.0,0.0,19.0,0.0,3.0,5.0,124.0,1.0,81.0,14.0,0.0,25.0,0.0,3.0,1.0,1.0,1.0,286.0,0.0,100.0,42.0,0.0,5.0,1.0,67.0,71.0
Syrian Arab Republic,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,178.0,0.0,0.0,1.0,0.0,3.0,119.0,0.0,20.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0
Kenya,0.0,3.0,0.0,9.0,2.0,0.0,3.0,0.0,7.0,1.0,0.0,2.0,1.0,16.0,14.0,2.0,0.0,315.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,32.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,10.0,2.0,0.0,2.0,4.0,0.0,0.0,6.0,14.0,5.0,0.0,5.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,13.0,18.0,0.0,6.0,0.0,1.0,0.0,7.0,2.0,1.0,22.0,2.0,0.0,0.0,25.0,1.0,2.0,13.0,0.0,0.0,8.0,2.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,12.0,0.0,16.0,2.0,11.0,0.0,0.0,10.0,3.0
Nepal,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,8.0,0.0,2.0,0.0,84.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,9.0,0.0,0.0,0.0,7.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,0.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,10.0,18.0,5.0,0.0,0.0,3.0,4.0
Australia,0.0,30.0,1.0,68.0,1.0,7.0,4.0,5.0,11.0,1.0,13.0,15.0,112.0,5.0,6.0,70.0,0.0,1849.0,1.0,0.0,50.0,16.0,29.0,11.0,1.0,110.0,5.0,75.0,4.0,0.0,2.0,14.0,44.0,1.0,0.0,1.0,8.0,60.0,14.0,0.0,15.0,5.0,2.0,58.0,20.0,69.0,103.0,2.0,54.0,13.0,28.0,0.0,380.0,1.0,0.0,0.0,20.0,1.0,26.0,9.0,1.0,1.0,4.0,0.0,45.0,41.0,4.0,205.0,37.0,5.0,0.0,1.0,7.0,7.0,25.0,3.0,29.0,14.0,27.0,5.0,9.0,43.0,2.0,0.0,23.0,15.0,28.0,57.0,20.0,6.0,16.0,11.0,0.0,11.0,2.0,26.0,11.0,169.0,17.0,26.0,9.0,11.0,3.0,3.0,3.0,0.0,47.0,0.0,22.0,41.0,0.0,4.0,0.0,26.0,67.0
Namibia,0.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0
Sweden,0.0,5.0,1.0,72.0,0.0,3.0,3.0,0.0,15.0,0.0,2.0,1.0,29.0,8.0,0.0,14.0,2.0,738.0,0.0,0.0,13.0,6.0,1.0,11.0,0.0,39.0,4.0,20.0,1.0,0.0,11.0,0.0,34.0,0.0,0.0,1.0,1.0,6.0,3.0,4.0,22.0,8.0,4.0,0.0,7.0,16.0,20.0,1.0,18.0,3.0,0.0,0.0,122.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,9.0,69.0,1.0,47.0,1.0,0.0,0.0,0.0,21.0,9.0,0.0,0.0,30.0,10.0,14.0,1.0,4.0,147.0,2.0,3.0,9.0,6.0,4.0,10.0,35.0,0.0,0.0,1.0,1.0,6.0,1.0,24.0,0.0,24.0,43.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,2.0,45.0
Somalia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,66.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,2.0,8.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,24.0,1.0,12.0,0.0,1492.0,0.0,0.0,14.0,0.0,67.0,7.0,0.0,49.0,5.0,3.0,1.0,0.0,0.0,5.0,1.0,3.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,32.0,1.0,0.0,3.0,46.0,16.0,0.0,11.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,32.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,6.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,15.0,6.0,0.0,6.0,0.0,0.0,5.0,0.0,20.0,2.0,0.0,0.0,0.0,24.0,36.0
"Tanzania, United Republic of",0.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,4.0,6.0,0.0,111.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,28.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,48.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,5.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,12.0,3.0,0.0,0.0,5.0,0.0,14.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,14.0,0.0,13.0,6.0,0.0,0.0,1.0,2.0,6.0
Lebanon,0.0,1.0,0.0,27.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,415.0,0.0,0.0,1.0,0.0,0.0,337.0,0.0,5.0,0.0,55.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,71.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0
Bhutan,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,0.0,8.0,0.0,7.0,2.0,1.0,15.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,199.0,0.0,0.0,45.0,2.0,3.0,20.0,0.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,8.0,1.0,0.0,0.0,1.0,9.0,9.0,2.0,1.0,1.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,9.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,70.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,18.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0
Saudi Arabia,0.0,1.0,0.0,9.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,3.0,3.0,0.0,578.0,0.0,0.0,7.0,0.0,5.0,181.0,0.0,5.0,3.0,133.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,62.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,40.0,12.0,1.0,14.0,3.0,5.0,0.0,0.0,0.0,19.0,0.0,0.0,8.0,0.0,11.0,0.0,5.0,0.0,3.0,0.0,0.0,13.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,14.0,1.0,0.0,0.0,2.0,1.0
Iraq,0.0,50.0,4.0,51.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,1.0,364.0,0.0,0.0,0.0,0.0,3.0,236.0,0.0,20.0,2.0,100.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,169.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,6.0,0.0,4.0,9.0,6.0,22.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,5.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,12.0,2.0,0.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,22.0,0.0,2.0,9.0,1.0,0.0,1.0,7.0,0.0
"Korea, Republic of",0.0,9.0,0.0,95.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,13.0,0.0,472.0,1.0,0.0,24.0,4.0,2.0,0.0,0.0,10.0,0.0,38.0,2.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,1.0,4.0,0.0,6.0,16.0,15.0,4.0,3.0,2.0,1.0,0.0,26.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,34.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,3.0,9.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,55.0,1.0,0.0,169.0,0.0,2.0,5.0
Colombia,0.0,1.0,0.0,25.0,0.0,3.0,50.0,0.0,0.0,32.0,14.0,8.0,0.0,4.0,0.0,13.0,0.0,1096.0,0.0,0.0,66.0,7.0,92.0,25.0,0.0,43.0,0.0,17.0,5.0,0.0,2.0,25.0,9.0,2.0,0.0,0.0,3.0,23.0,3.0,0.0,2.0,5.0,0.0,0.0,29.0,22.0,10.0,0.0,10.0,5.0,2.0,0.0,19.0,0.0,0.0,0.0,2.0,6.0,8.0,3.0,0.0,0.0,2.0,0.0,26.0,41.0,4.0,86.0,12.0,0.0,0.0,1.0,0.0,4.0,8.0,1.0,3.0,15.0,13.0,0.0,19.0,21.0,4.0,0.0,17.0,31.0,6.0,21.0,26.0,0.0,2.0,0.0,0.0,0.0,1.0,54.0,4.0,20.0,6.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,15.0,0.0,7.0,3.0,0.0,0.0,0.0,12.0,70.0
Lithuania,0.0,7.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,266.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Afghanistan,0.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,17.0,0.0,21.0,1.0,1022.0,0.0,0.0,16.0,0.0,46.0,142.0,0.0,91.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,3.0,2.0,0.0,2.0,1.0,0.0,18.0,20.0,13.0,0.0,4.0,2.0,2.0,0.0,29.0,2.0,0.0,0.0,3.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,58.0,5.0,739.0,3.0,0.0,0.0,1.0,0.0,12.0,3.0,3.0,2.0,6.0,358.0,4.0,20.0,10.0,0.0,0.0,6.0,25.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,8.0,3.0,18.0,0.0,25.0,8.0,0.0,12.0,1.0,0.0,4.0,0.0,0.0,36.0,0.0,10.0,4.0,0.0,0.0,0.0,3.0,4.0
Belarus,0.0,1.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,436.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,123.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,4.0,1.0,40.0,3.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,51.0,0.0,2.0,3.0,0.0,0.0,1.0,6.0,3.0
