,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Congo, The Democratic Republic of the",0.0,4.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,11.0,3.0,48.0,6.0,82.0,46.0,12.0,0.0,0.0,4.0,0.0,11.0,1.0,0.0,4343.0,2.0,55.0,2.0,0.0,1.0,1.0,18.0,0.0,0.0,1.0,5.0,6.0,10.0,0.0,4.0,2.0,1.0,0.0,4.0,13.0,12.0,3.0,17.0,0.0,0.0,0.0,43.0,0.0,0.0,8.0,1.0,1.0,7.0,2.0,0.0,0.0,2.0,0.0,14.0,124.0,6.0,50.0,5.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,35.0,0.0,6.0,3.0,0.0,0.0,1.0,9.0,8.0,8.0,10.0,0.0,0.0,5.0,1.0,1.0,18.0,20.0,0.0,25.0,3.0,0.0,4.0,6.0,2.0,6.0,1.0,0.0,22.0,0.0,16.0,4.0,0.0,5.0,0.0,12.0,21.0
Cuba,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,70.0,14.0,0.0,99.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,6.0,1.0,0.0,1.0,31.0,10.0,1.0,6.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,29.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,7.0,7.0,1.0,20.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,0.0,0.0,14.0,78.0
Nigeria,0.0,1.0,0.0,23.0,0.0,0.0,3.0,6.0,3.0,0.0,2.0,3.0,0.0,330.0,2.0,130.0,0.0,3.0,0.0,0.0,20.0,5.0,6.0,1.0,1.0,211.0,1.0,30.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,6.0,0.0,32.0,17.0,4.0,7.0,4.0,47.0,0.0,11.0,84.0,20.0,5.0,21.0,1.0,4.0,0.0,40.0,0.0,1.0,336.0,0.0,1.0,96.0,1.0,0.0,0.0,4.0,0.0,3.0,307.0,5.0,114.0,41.0,5.0,0.0,1.0,0.0,2.0,8.0,0.0,7.0,59.0,203.0,1.0,10.0,8.0,1.0,0.0,7.0,4.0,172.0,67.0,6.0,0.0,2.0,10.0,0.0,4.0,3.0,6.0,0.0,6.0,10.0,1.0,16.0,0.0,4.0,1.0,4.0,1.0,76.0,0.0,122.0,14.0,1.0,1.0,0.0,86.0,15.0
Bangladesh,0.0,2.0,1.0,9.0,0.0,1.0,3.0,0.0,2.0,0.0,8.0,1.0,0.0,30.0,2.0,21.0,0.0,2.0,0.0,0.0,3.0,3.0,23.0,10.0,0.0,26.0,0.0,4.0,1.0,0.0,0.0,0.0,23.0,0.0,1.0,2.0,0.0,11.0,4.0,1.0,2.0,1.0,0.0,1.0,2.0,5.0,3.0,2.0,2.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,21.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,12.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,8.0
Costa Rica,0.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,1.0,1.0,14.0,3.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,7.0,0.0,14.0,3.0,4.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,13.0,2.0,0.0,0.0,7.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,19.0
New Zealand,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,1.0,0.0,15.0,1.0,21.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,14.0,3.0,0.0,0.0,5.0,7.0,14.0,0.0,2.0,0.0,2.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,43.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,3.0,8.0,1.0,16.0,15.0,11.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,2.0,0.0,0.0,21.0,1.0,30.0
Uganda,0.0,13.0,0.0,9.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,66.0,12.0,56.0,5.0,1.0,0.0,0.0,16.0,2.0,7.0,2.0,1.0,605.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,21.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,34.0,12.0,1.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,61.0,18.0,13.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,10.0,0.0,3.0,3.0,0.0,0.0,2.0,5.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,4.0,0.0,4.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0,12.0,7.0,0.0,1.0,0.0,11.0,31.0
Chile,0.0,1.0,0.0,5.0,0.0,2.0,18.0,0.0,1.0,5.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,4.0,0.0,9.0,2.0,2.0,2.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,169.0,0.0,18.0,21.0,4.0,0.0,14.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,68.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,15.0,10.0,8.0,0.0,1.0,3.0,0.0,42.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,2.0,28.0,21.0
Myanmar,0.0,2.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,10.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,11.0,0.0,7.0,1.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,3.0,13.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,0.0,4.0,0.0,1.0,7.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,5.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0
Namibia,0.0,8.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
Sweden,0.0,4.0,0.0,11.0,26.0,1.0,0.0,0.0,25.0,0.0,36.0,0.0,15.0,42.0,26.0,53.0,0.0,1.0,0.0,0.0,12.0,19.0,26.0,34.0,0.0,511.0,1.0,24.0,1.0,0.0,3.0,0.0,57.0,1.0,0.0,0.0,1.0,28.0,0.0,2.0,2.0,25.0,0.0,0.0,5.0,21.0,21.0,0.0,52.0,3.0,0.0,0.0,321.0,1.0,0.0,0.0,7.0,1.0,3.0,14.0,0.0,0.0,13.0,0.0,0.0,28.0,50.0,239.0,1.0,0.0,0.0,0.0,42.0,3.0,1.0,5.0,12.0,2.0,17.0,1.0,10.0,53.0,8.0,0.0,20.0,41.0,0.0,7.0,167.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,32.0,22.0,3.0,3.0,12.0,0.0,40.0,0.0,0.0,29.0,17.0,1.0,4.0,0.0,2.0,0.0,50.0,40.0
Pakistan,0.0,19.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,29.0,12.0,1.0,1.0,0.0,3.0,1.0,57.0,10.0,0.0,25.0,1.0,22.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,133.0,3.0,0.0,6.0,9.0,0.0,0.0,5.0,41.0,45.0,0.0,7.0,0.0,2.0,0.0,55.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,78.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,10.0,12.0,491.0,0.0,10.0,3.0,0.0,0.0,7.0,5.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,41.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,86.0,6.0,2.0,1.0,0.0,2.0,13.0
"Palestine, State of",0.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0,5.0,0.0,4.0,1.0,1.0,16.0,0.0,59.0,0.0,3.0,2.0,0.0,12.0,48.0,6.0,332.0,0.0,35.0,0.0,43.0,1.0,0.0,4.0,0.0,18.0,0.0,0.0,1.0,0.0,19.0,2.0,0.0,9.0,4.0,1.0,0.0,5.0,60.0,74.0,2.0,13.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,283.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,9.0,12.0,25.0,1.0,3.0,17.0,1.0,0.0,6.0,19.0,2.0,31.0,20.0,0.0,1.0,0.0,2.0,4.0,0.0,5.0,0.0,16.0,10.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,24.0,0.0,15.0,8.0,1.0,11.0,0.0,2.0,17.0
Kyrgyzstan,0.0,3.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Qatar,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,45.0,0.0,3.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0
Trinidad and Tobago,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,4.0,10.0
Portugal,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,1.0,21.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,60.0,1.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,61.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,184.0,7.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,9.0,3.0,0.0,4.0,0.0,0.0,0.0,23.0,6.0,1.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,8.0,5.0,0.0,2.0,0.0,3.0,28.0
Lebanon,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,10.0,0.0,6.0,0.0,5.0,1.0,1.0,0.0,101.0,0.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0
Zimbabwe,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,642.0,0.0,47.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,4.0,0.0,23.0,0.0,9.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,17.0,5.0,0.0,6.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,85.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,7.0,41.0,10.0,0.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,186.0,4.0,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,32.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,96.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,14.0,1.0,0.0,1.0,0.0,1.0,5.0
Burkina Faso,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,16.0,25.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,18.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,10.0
Hungary,0.0,1.0,0.0,30.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,14.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,13.0,8.0,0.0,10.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,23.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,2.0,3.0,0.0,0.0,17.0,0.0,0.0,3.0
"Tanzania, United Republic of",0.0,27.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,11.0,28.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,33.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,9.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,1.0,0.0,0.0,11.0,0.0,10.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,1.0,0.0,0.0,3.0,6.0
Ireland,0.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,2.0,0.0,1.0,1.0,14.0,9.0,1.0,50.0,0.0,5.0,0.0,1.0,50.0,4.0,6.0,14.0,0.0,20.0,0.0,18.0,3.0,0.0,2.0,0.0,42.0,2.0,0.0,1.0,2.0,33.0,4.0,2.0,18.0,2.0,2.0,0.0,12.0,33.0,41.0,0.0,29.0,3.0,0.0,0.0,164.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,1.0,0.0,15.0,2.0,3.0,8.0,2.0,56.0,56.0,36.0,0.0,0.0,10.0,3.0,1.0,1.0,8.0,5.0,13.0,1.0,16.0,17.0,0.0,0.0,9.0,6.0,26.0,31.0,36.0,0.0,2.0,1.0,0.0,11.0,0.0,2.0,0.0,58.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,26.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,11.0
Brazil,0.0,1.0,2.0,31.0,5.0,35.0,47.0,0.0,4.0,48.0,19.0,474.0,18.0,22.0,4.0,108.0,0.0,6.0,1.0,0.0,12.0,33.0,950.0,39.0,0.0,169.0,0.0,44.0,1.0,0.0,5.0,2.0,133.0,1.0,0.0,7.0,0.0,66.0,1.0,5.0,16.0,27.0,72.0,0.0,28.0,169.0,167.0,4.0,88.0,3.0,2.0,0.0,351.0,1.0,0.0,0.0,11.0,73.0,256.0,52.0,0.0,0.0,2.0,0.0,13.0,223.0,2.0,688.0,195.0,4.0,0.0,0.0,4.0,22.0,3.0,0.0,19.0,117.0,69.0,0.0,107.0,6.0,6.0,0.0,53.0,103.0,16.0,301.0,227.0,0.0,2.0,84.0,0.0,14.0,13.0,8.0,2.0,233.0,135.0,0.0,21.0,51.0,3.0,5.0,2.0,1.0,198.0,0.0,43.0,26.0,1.0,18.0,0.0,1081.0,1418.0
Poland,0.0,4.0,0.0,7.0,0.0,2.0,5.0,1.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,27.0,0.0,2.0,0.0,5.0,6.0,2.0,6.0,7.0,1.0,12.0,2.0,14.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,3.0,1.0,1.0,0.0,11.0,4.0,6.0,1.0,8.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,4.0,8.0,1.0,165.0,11.0,6.0,0.0,0.0,0.0,2.0,1.0,4.0,12.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,5.0,9.0,2.0,45.0,165.0,0.0,1.0,1.0,0.0,18.0,3.0,0.0,0.0,12.0,3.0,16.0,11.0,1.0,1.0,0.0,0.0,0.0,49.0,0.0,16.0,3.0,0.0,0.0,0.0,8.0,7.0
Singapore,0.0,3.0,0.0,14.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,25.0,0.0,7.0,0.0,0.0,187.0,5.0,20.0,5.0,0.0,29.0,1.0,47.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,9.0,63.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,2.0,2.0,0.0,0.0,206.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,11.0,1.0,0.0,1.0,2.0,4.0,13.0,0.0,0.0,4.0,2.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,8.0,16.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,51.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,30.0
Thailand,0.0,2.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,47.0,2.0,4.0,0.0,42.0,0.0,2.0,0.0,0.0,14.0,2.0,104.0,5.0,0.0,56.0,4.0,17.0,0.0,4.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,23.0,4.0,1.0,9.0,1.0,1.0,0.0,23.0,10.0,9.0,0.0,16.0,4.0,1.0,0.0,33.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,1.0,36.0,0.0,83.0,3.0,4.0,0.0,0.0,0.0,9.0,7.0,3.0,3.0,3.0,4.0,0.0,46.0,0.0,0.0,0.0,14.0,4.0,2.0,15.0,20.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,9.0,8.0,0.0,3.0,4.0,0.0,4.0,0.0,1.0,26.0,1.0,16.0,1.0,0.0,2.0,0.0,38.0,50.0
