,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Macao,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,96.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
Oman,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,4.0,2.0,30.0,0.0,0.0,1.0,0.0,24.0,26.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,17.0
Sudan,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,17.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,74.0,1.0,105.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,81.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,10.0,36.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,4.0,1.0,4.0,0.0,0.0,18.0,8.0
Madagascar,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,22.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,261.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Jordan,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0
Bhutan,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,9.0,8.0,0.0,4.0,0.0,0.0,4.0,0.0,20.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,25.0,0.0,3.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,7.0,2.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,28.0
"Palestine, State of",0.0,0.0,0.0,34.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,28.0,0.0,56.0,0.0,1.0,2.0,0.0,9.0,60.0,9.0,315.0,0.0,37.0,0.0,27.0,2.0,1.0,5.0,0.0,18.0,0.0,0.0,2.0,0.0,23.0,1.0,0.0,8.0,1.0,1.0,0.0,3.0,71.0,76.0,2.0,17.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,20.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,257.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,3.0,12.0,13.0,1.0,4.0,19.0,1.0,0.0,5.0,24.0,4.0,13.0,14.0,0.0,1.0,0.0,2.0,5.0,0.0,5.0,0.0,11.0,7.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,21.0,0.0,10.0,8.0,0.0,9.0,0.0,3.0,16.0
Montenegro,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,45.0,9.0,2.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,3.0,2.0,2.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,0.0,0.0,0.0,24.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,9.0,9.0,0.0,16.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,7.0,0.0,59.0,1.0,1.0,0.0,2.0,2.0,0.0,19.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,29.0
Dominica,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0
Puerto Rico,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,2.0,7.0,8.0,8.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,45.0,1.0,0.0,14.0,0.0,16.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,22.0,0.0,4.0,4.0,2.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,21.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,25.0,1.0,0.0,0.0,3.0,0.0,0.0,13.0,13.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,27.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,45.0
Palau,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Cambodia,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,3.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,23.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Syrian Arab Republic,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,358.0,0.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,7.0,2.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,29.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,96.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,70.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,5.0
Guatemala,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,3.0,5.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,1.0,0.0,0.0,11.0,1.0,0.0,20.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,21.0
Niger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,21.0,27.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,3.0
Morocco,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,84.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,61.0,0.0,39.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,189.0,0.0,1.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,225.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,2.0,18.0,0.0,0.0,0.0,1.0,3.0
Mongolia,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Libya,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,29.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,79.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
United Arab Emirates,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
El Salvador,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,11.0,0.0,23.0,1.0,0.0,0.0,0.0,5.0,56.0
Haiti,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,10.0
Pakistan,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,10.0,6.0,0.0,3.0,0.0,70.0,8.0,3.0,0.0,0.0,3.0,1.0,58.0,18.0,1.0,37.0,1.0,24.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,105.0,2.0,0.0,3.0,2.0,0.0,0.0,5.0,55.0,50.0,0.0,8.0,1.0,2.0,0.0,49.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0,2.0,0.0,3.0,32.0,0.0,51.0,14.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0,4.0,735.0,0.0,10.0,1.0,0.0,0.0,6.0,5.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,34.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,73.0,12.0,2.0,2.0,0.0,5.0,8.0
Slovenia,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
