,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Malaysia,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,143.0,0.0,920.0,0.0,0.0,18.0,0.0,23.0,0.0,0.0,22.0,0.0,33.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,3.0,0.0,16.0,6.0,0.0,1.0,1.0,2.0,2.0,3.0,13.0,21.0,0.0,2.0,0.0,5.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,133.0,14.0,1.0,10.0,3.0,0.0,0.0,11.0,0.0,87.0,17.0,1.0,7.0,79.0,6.0,0.0,14.0,5.0,0.0,0.0,1.0,0.0,37.0,3.0,33.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,4.0,0.0,2.0,0.0,1.0,6.0
Mozambique,0.0,1.0,0.0,3.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,1.0,3.0,0.0,265.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0
"Congo, The Democratic Republic of the",0.0,5.0,0.0,5.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,123.0,3.0,25.0,26.0,415.0,2.0,1.0,6.0,8.0,4.0,11.0,0.0,448.0,0.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,4.0,3.0,5.0,1.0,0.0,3.0,1.0,16.0,0.0,5.0,5.0,8.0,1.0,28.0,9.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,1.0,5.0,0.0,19.0,47.0,2.0,125.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,7.0,3.0,4.0,51.0,0.0,3.0,8.0,2.0,1.0,14.0,4.0,12.0,15.0,13.0,0.0,1.0,4.0,0.0,3.0,6.0,26.0,0.0,4.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,27.0,0.0,16.0,1.0,1.0,17.0,1.0,22.0,22.0
"Taiwan, Province of China",0.0,1.0,0.0,13.0,0.0,3.0,1.0,0.0,3.0,0.0,4.0,5.0,2.0,0.0,0.0,84.0,0.0,782.0,0.0,1.0,8.0,3.0,14.0,0.0,0.0,54.0,1.0,22.0,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,1.0,2.0,9.0,0.0,8.0,33.0,16.0,2.0,17.0,2.0,0.0,0.0,89.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,89.0,12.0,0.0,49.0,2.0,0.0,0.0,0.0,5.0,27.0,1.0,1.0,1.0,139.0,11.0,0.0,2.0,3.0,5.0,0.0,4.0,4.0,75.0,14.0,12.0,1.0,0.0,0.0,0.0,2.0,0.0,25.0,0.0,27.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,28.0
Colombia,0.0,2.0,1.0,13.0,1.0,2.0,61.0,0.0,9.0,8.0,12.0,3.0,0.0,2.0,0.0,19.0,0.0,1596.0,0.0,3.0,15.0,10.0,74.0,10.0,0.0,58.0,2.0,21.0,11.0,0.0,1.0,30.0,33.0,1.0,0.0,2.0,1.0,23.0,9.0,2.0,1.0,6.0,4.0,0.0,28.0,24.0,20.0,0.0,20.0,5.0,2.0,0.0,61.0,0.0,0.0,0.0,1.0,5.0,7.0,3.0,1.0,1.0,2.0,0.0,27.0,40.0,2.0,63.0,3.0,2.0,0.0,0.0,3.0,1.0,5.0,0.0,3.0,14.0,7.0,0.0,20.0,7.0,3.0,2.0,17.0,25.0,25.0,17.0,51.0,4.0,0.0,2.0,0.0,2.0,3.0,11.0,3.0,26.0,4.0,4.0,2.0,9.0,0.0,1.0,0.0,2.0,24.0,0.0,6.0,6.0,0.0,2.0,0.0,10.0,50.0
Poland,0.0,1.0,0.0,133.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,14.0,0.0,683.0,0.0,0.0,7.0,5.0,6.0,17.0,0.0,14.0,0.0,13.0,1.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,22.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,7.0,13.0,1.0,7.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,12.0,0.0,15.0,1.0,1.0,42.0,0.0,6.0,6.0,0.0,1.0,2.0,0.0,4.0,6.0,2.0,39.0,0.0,10.0,3.0,4.0,0.0,9.0,4.0,10.0,10.0,87.0,0.0,0.0,0.0,0.0,26.0,0.0,8.0,0.0,3.0,1.0,0.0,10.0,1.0,0.0,3.0,0.0,0.0,355.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,13.0
Greece,0.0,2.0,0.0,11.0,0.0,3.0,3.0,0.0,120.0,0.0,1.0,1.0,0.0,3.0,0.0,148.0,0.0,3770.0,2.0,0.0,18.0,5.0,8.0,1.0,0.0,233.0,1.0,14.0,1.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,62.0,4.0,0.0,3.0,1.0,0.0,0.0,5.0,9.0,3.0,2.0,17.0,3.0,1.0,0.0,68.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,41.0,25.0,1.0,134.0,31.0,1.0,0.0,0.0,1.0,17.0,1.0,1.0,14.0,4.0,9.0,0.0,2.0,3.0,0.0,0.0,1.0,39.0,40.0,15.0,8.0,0.0,1.0,0.0,0.0,20.0,0.0,22.0,0.0,16.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,22.0,17.0,3.0,21.0,1.0,6.0,17.0
Malta,0.0,1.0,0.0,0.0,0.0,2.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,455.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,5.0,3.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,117.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
Congo,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,81.0,0.0,20.0,14.0,144.0,0.0,0.0,2.0,1.0,5.0,3.0,0.0,759.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,24.0,2.0,144.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,35.0,0.0,0.0,8.0,2.0,0.0,18.0,0.0,38.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,18.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,1.0,5.0,2.0,0.0,1.0,0.0,60.0,5.0
Armenia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,179.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
Finland,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,16.0,0.0,401.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,12.0,1.0,7.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,8.0,0.0,2.0,6.0,6.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,2.0,10.0,1.0,25.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,8.0,0.0,4.0,0.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,0.0,62.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,11.0,0.0,0.0,6.0,0.0
Kuwait,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,243.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
Netherlands,0.0,2.0,2.0,151.0,3.0,17.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,2.0,2.0,46.0,0.0,1510.0,0.0,0.0,54.0,11.0,9.0,4.0,1.0,37.0,0.0,18.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,3.0,0.0,5.0,9.0,1.0,1.0,5.0,2.0,0.0,7.0,31.0,22.0,0.0,21.0,5.0,0.0,0.0,75.0,0.0,0.0,1.0,7.0,1.0,4.0,0.0,1.0,1.0,56.0,0.0,18.0,30.0,4.0,83.0,33.0,6.0,0.0,0.0,2.0,9.0,8.0,4.0,8.0,23.0,17.0,14.0,15.0,72.0,5.0,1.0,20.0,4.0,43.0,16.0,34.0,0.0,1.0,4.0,0.0,3.0,6.0,17.0,1.0,16.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,33.0,0.0,11.0,9.0,1.0,4.0,0.0,17.0,39.0
Syrian Arab Republic,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,11.0,0.0,319.0,0.0,0.0,0.0,1.0,2.0,128.0,0.0,19.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,3.0,0.0,1.0,0.0,10.0,8.0,10.0,0.0,3.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,6.0,0.0,0.0,0.0,1.0,8.0,1.0,3.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0
Nepal,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,210.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,12.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,11.0,11.0,15.0,0.0,0.0,3.0,5.0
Sweden,0.0,2.0,2.0,95.0,0.0,3.0,1.0,0.0,13.0,1.0,5.0,2.0,23.0,13.0,1.0,31.0,0.0,971.0,0.0,0.0,24.0,10.0,3.0,15.0,0.0,45.0,1.0,20.0,0.0,0.0,7.0,0.0,43.0,0.0,0.0,2.0,0.0,8.0,7.0,3.0,2.0,11.0,1.0,0.0,7.0,16.0,25.0,1.0,53.0,3.0,0.0,0.0,128.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,24.0,0.0,14.0,14.0,0.0,56.0,8.0,2.0,0.0,0.0,12.0,7.0,1.0,1.0,15.0,10.0,31.0,5.0,7.0,35.0,3.0,0.0,10.0,8.0,13.0,14.0,55.0,0.0,0.0,0.0,0.0,3.0,6.0,10.0,0.0,20.0,30.0,2.0,0.0,9.0,0.0,7.0,0.0,0.0,32.0,3.0,10.0,0.0,0.0,0.0,0.0,8.0,24.0
Somalia,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,11.0,1.0,8.0,0.0,189.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,5.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,1.0,3.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,26.0,0.0,5.0,0.0,1644.0,0.0,1.0,10.0,1.0,51.0,13.0,0.0,85.0,0.0,6.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,30.0,0.0,0.0,3.0,95.0,53.0,0.0,11.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,6.0,16.0,1.0,32.0,13.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,11.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,28.0,9.0,2.0,0.0,27.0,0.0,0.0,1.0,0.0,12.0,0.0,27.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,1.0,0.0,1.0,0.0,29.0,50.0
Belgium,0.0,1.0,1.0,106.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,7.0,1.0,5.0,0.0,65.0,0.0,1933.0,0.0,1.0,13.0,11.0,10.0,8.0,0.0,104.0,0.0,17.0,1.0,0.0,4.0,1.0,52.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,5.0,4.0,0.0,0.0,5.0,33.0,23.0,0.0,17.0,9.0,1.0,0.0,166.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,9.0,0.0,31.0,12.0,2.0,91.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,7.0,10.0,0.0,6.0,13.0,0.0,0.0,6.0,24.0,25.0,12.0,31.0,0.0,0.0,4.0,1.0,5.0,3.0,5.0,0.0,28.0,5.0,13.0,5.0,2.0,1.0,1.0,2.0,1.0,20.0,0.0,8.0,3.0,0.0,7.0,0.0,15.0,30.0
Lebanon,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,528.0,0.0,0.0,1.0,1.0,0.0,250.0,0.0,8.0,0.0,77.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0
Bhutan,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,1.0,0.0,30.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,71.0,3.0,10.0,0.0,971.0,0.0,0.0,5.0,0.0,7.0,178.0,0.0,59.0,0.0,231.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,4.0,2.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,20.0,3.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,157.0,52.0,1.0,33.0,11.0,1.0,1.0,0.0,0.0,17.0,0.0,0.0,5.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,21.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,5.0,14.0,0.0,0.0,0.0,8.0,6.0
"Korea, Republic of",0.0,8.0,0.0,58.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,0.0,775.0,0.0,0.0,30.0,1.0,3.0,2.0,0.0,16.0,0.0,30.0,2.0,0.0,1.0,1.0,18.0,0.0,0.0,2.0,1.0,10.0,1.0,0.0,2.0,5.0,4.0,0.0,11.0,12.0,7.0,1.0,4.0,0.0,1.0,0.0,75.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,48.0,1.0,2.0,9.0,1.0,3.0,0.0,1.0,4.0,3.0,0.0,2.0,4.0,8.0,3.0,1.0,0.0,7.0,0.0,0.0,3.0,1.0,8.0,3.0,6.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,1.0,0.0,199.0,0.0,2.0,8.0
Afghanistan,0.0,2.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,19.0,1.0,834.0,0.0,0.0,9.0,0.0,8.0,159.0,1.0,51.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,66.0,8.0,0.0,2.0,2.0,0.0,0.0,11.0,18.0,8.0,0.0,4.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,4.0,20.0,5.0,2.0,0.0,0.0,1.0,0.0,4.0,29.0,5.0,151.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,4.0,284.0,1.0,16.0,6.0,0.0,0.0,3.0,6.0,4.0,18.0,16.0,0.0,0.0,4.0,0.0,1.0,2.0,15.0,0.0,30.0,16.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,48.0,0.0,17.0,7.0,6.0,1.0,0.0,4.0,4.0
Belarus,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,630.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,10.0,1.0,1.0,2.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,0.0,10.0,3.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,14.0,0.0,6.0,1.0,0.0,31.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,2.0,18.0,7.0,0.0,47.0,3.0,0.0,0.0,8.0,3.0,14.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,6.0,6.0,0.0,4.0,0.0,5.0,4.0
Mongolia,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,85.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
