,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Egypt,1.0,0.0,0.0,155.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,10.0,24.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,223.0,1.0,36.0,1.0,146.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,4.0,0.0,105.0,5.0,2.0,5.0,0.0,0.0,0.0,4.0,6.0,132.0,0.0,7.0,4.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,57.0,0.0,48.0,4.0,3.0,0.0,0.0,1.0,21.0,1.0,0.0,9.0,0.0,105.0,7.0,22.0,2.0,0.0,0.0,0.0,4.0,2.0,32.0,10.0,0.0,0.0,26.0,0.0,4.0,1.0,1.0,0.0,36.0,6.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,45.0,0.0,5.0,75.0,2.0,1.0,0.0,6.0,10.0
Latvia,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
Mauritania,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ghana,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,18.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,2.0,54.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,13.0,1.0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,3.0,7.0,3.0,14.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,2.0,0.0,4.0,0.0,11.0,2.0
Ethiopia,0.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,11.0,59.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,14.0,0.0,6.0,0.0,1.0,0.0,3.0,0.0,8.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,7.0,2.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,41.0,0.0,21.0,1.0,4.0,0.0,0.0,60.0,5.0
Belgium,0.0,6.0,2.0,3.0,1.0,8.0,18.0,0.0,3.0,0.0,0.0,2.0,1.0,6.0,0.0,60.0,0.0,1.0,0.0,1.0,7.0,5.0,3.0,8.0,0.0,280.0,2.0,18.0,2.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,1.0,65.0,9.0,0.0,5.0,2.0,1.0,0.0,3.0,8.0,16.0,0.0,18.0,3.0,0.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,22.0,1.0,1.0,0.0,5.0,0.0,1.0,20.0,0.0,116.0,3.0,0.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,1.0,13.0,0.0,7.0,6.0,0.0,0.0,4.0,14.0,1.0,5.0,49.0,0.0,5.0,2.0,0.0,13.0,11.0,1.0,0.0,23.0,2.0,4.0,0.0,1.0,4.0,2.0,0.0,0.0,30.0,0.0,3.0,4.0,0.0,2.0,0.0,12.0,23.0
Somalia,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0
Kazakhstan,0.0,13.0,0.0,18.0,0.0,1.0,8.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,0.0,45.0,0.0,0.0,0.0,1.0,1.0,9.0,19.0,10.0,0.0,17.0,6.0,3.0,0.0,3.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0,4.0,1.0,7.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,117.0,39.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.0,15.0,0.0,5.0,2.0,0.0,0.0,6.0,6.0,2.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,70.0,0.0,11.0,3.0,0.0,1.0,0.0,1.0,8.0
Ukraine,0.0,98.0,0.0,4.0,0.0,40.0,1.0,0.0,1.0,0.0,8.0,6.0,12.0,2.0,0.0,123.0,2.0,2.0,0.0,0.0,2.0,3.0,9.0,51.0,0.0,112.0,0.0,8.0,12.0,2.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,79.0,2.0,0.0,1.0,4.0,0.0,0.0,32.0,35.0,21.0,4.0,4.0,0.0,0.0,0.0,873.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,12.0,0.0,2.0,17.0,0.0,1463.0,28.0,4.0,0.0,0.0,5.0,0.0,1.0,13.0,1.0,10.0,22.0,0.0,114.0,3.0,1.0,0.0,27.0,50.0,6.0,24.0,16.0,0.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,46.0,21.0,0.0,18.0,3.0,0.0,1.0,1.0,0.0,171.0,15.0,7.0,8.0,0.0,4.0,0.0,7.0,11.0
Bangladesh,0.0,3.0,1.0,9.0,0.0,1.0,3.0,0.0,2.0,0.0,8.0,1.0,0.0,32.0,2.0,20.0,0.0,2.0,0.0,0.0,3.0,3.0,24.0,11.0,0.0,26.0,0.0,6.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,3.0,0.0,11.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,2.0,2.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,20.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,12.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,13.0,0.0,2.0,1.0,0.0,1.0,8.0
"Moldova, Republic of",0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,17.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,0.0,4.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,23.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Georgia,0.0,7.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,44.0,2.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,29.0,0.0,12.0,1.0,0.0,0.0,436.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,107.0,3.0,4.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,6.0,7.0,0.0,5.0,3.0,0.0,0.0,7.0,1.0,3.0,14.0,9.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,399.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,23.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,9.0
Azerbaijan,0.0,6.0,0.0,7.0,1.0,3.0,8.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,13.0,2.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,13.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,19.0,16.0,0.0,9.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,1.0,0.0,11.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,11.0,2.0,0.0,0.0,1.0,3.0,0.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,79.0,11.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,27.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,16.0
India,0.0,11.0,1.0,74.0,16.0,11.0,8.0,2.0,2.0,0.0,5.0,75.0,4.0,39.0,3.0,176.0,3.0,5.0,0.0,0.0,75.0,15.0,232.0,32.0,0.0,82.0,6.0,91.0,7.0,0.0,4.0,3.0,72.0,3.0,0.0,66.0,0.0,286.0,21.0,2.0,18.0,9.0,5.0,0.0,21.0,71.0,43.0,2.0,40.0,4.0,3.0,0.0,631.0,10.0,1.0,3.0,2.0,18.0,211.0,8.0,0.0,0.0,3.0,1.0,10.0,226.0,4.0,366.0,10.0,2.0,27.0,16.0,3.0,17.0,0.0,2.0,17.0,37.0,170.0,0.0,61.0,14.0,1.0,0.0,27.0,48.0,7.0,58.0,26.0,0.0,3.0,10.0,0.0,7.0,2.0,7.0,0.0,943.0,6.0,11.0,6.0,4.0,0.0,10.0,1.0,0.0,240.0,1.0,95.0,33.0,14.0,19.0,1.0,40.0,399.0
Tunisia,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,71.0,0.0,15.0,2.0,20.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,43.0,0.0,6.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,78.0,0.0,2.0,4.0
Congo,0.0,9.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,3.0,1.0,9.0,0.0,88.0,9.0,59.0,26.0,35.0,0.0,0.0,0.0,0.0,27.0,20.0,1.0,5503.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,4.0,3.0,0.0,13.0,0.0,5.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,37.0,0.0,0.0,13.0,0.0,1.0,16.0,0.0,0.0,0.0,2.0,0.0,37.0,219.0,21.0,193.0,0.0,0.0,0.0,1.0,0.0,12.0,4.0,1.0,0.0,1.0,72.0,0.0,2.0,0.0,8.0,0.0,0.0,6.0,7.0,13.0,8.0,0.0,0.0,4.0,0.0,0.0,24.0,6.0,0.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,45.0,0.0,31.0,1.0,1.0,5.0,0.0,35.0,46.0
Switzerland,0.0,5.0,0.0,17.0,0.0,4.0,0.0,0.0,1.0,5.0,2.0,5.0,16.0,10.0,0.0,81.0,1.0,23.0,1.0,0.0,193.0,4.0,7.0,26.0,1.0,266.0,1.0,15.0,0.0,0.0,6.0,0.0,42.0,5.0,0.0,3.0,2.0,18.0,8.0,0.0,13.0,4.0,1.0,0.0,6.0,38.0,29.0,7.0,5.0,1.0,2.0,0.0,142.0,0.0,0.0,2.0,7.0,4.0,18.0,1.0,5.0,0.0,3.0,0.0,24.0,78.0,3.0,129.0,9.0,0.0,0.0,2.0,4.0,2.0,4.0,7.0,2.0,8.0,28.0,0.0,7.0,7.0,1.0,0.0,13.0,10.0,6.0,29.0,12.0,0.0,0.0,5.0,0.0,2.0,11.0,9.0,0.0,45.0,15.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,55.0,4.0,9.0,2.0,1.0,1.0,0.0,8.0,41.0
Serbia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
South Africa,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,7.0,3.0,44.0,5.0,78.0,0.0,0.0,0.0,0.0,14.0,7.0,1.0,1.0,0.0,122.0,0.0,18.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,2.0,0.0,23.0,18.0,0.0,5.0,1.0,1.0,0.0,8.0,28.0,7.0,1.0,4.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,7.0,1.0,13.0,1.0,8.0,0.0,1.0,0.0,0.0,42.0,3.0,21.0,6.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,2.0,6.0,5.0,1.0,4.0,2.0,0.0,0.0,6.0,1.0,92.0,26.0,23.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,7.0,7.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,93.0,0.0,15.0,8.0,0.0,3.0,0.0,11.0,8.0
"Iran, Islamic Republic of",0.0,6.0,1.0,33.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,5.0,30.0,1.0,32.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,176.0,0.0,5.0,3.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,81.0,67.0,0.0,20.0,1.0,0.0,0.0,6.0,10.0,1.0,0.0,11.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,1.0,31.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,51.0,1.0,31.0,0.0,1.0,0.0,4.0,20.0,2.0,16.0,15.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,2.0,1.0,29.0,0.0,0.0,71.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
Kenya,0.0,12.0,0.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,36.0,20.0,56.0,0.0,2.0,3.0,0.0,10.0,0.0,2.0,6.0,0.0,57.0,0.0,13.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,6.0,0.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,20.0,5.0,0.0,9.0,1.0,4.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,86.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,28.0,0.0,6.0,1.0,0.0,0.0,4.0,1.0,1.0,55.0,5.0,0.0,0.0,11.0,0.0,2.0,2.0,0.0,1.0,2.0,12.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,36.0,0.0,33.0,4.0,1.0,0.0,0.0,10.0,6.0
Tajikistan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Mexico,0.0,5.0,7.0,19.0,0.0,43.0,27.0,0.0,8.0,19.0,65.0,31.0,29.0,11.0,4.0,71.0,0.0,5.0,6.0,0.0,15.0,6.0,163.0,28.0,0.0,51.0,1.0,21.0,4.0,0.0,4.0,4.0,65.0,0.0,0.0,2.0,0.0,119.0,7.0,0.0,9.0,13.0,5.0,1.0,59.0,96.0,118.0,1.0,34.0,6.0,1.0,0.0,444.0,1.0,0.0,0.0,1.0,2.0,49.0,8.0,0.0,0.0,4.0,0.0,2.0,22.0,0.0,120.0,4.0,12.0,0.0,0.0,5.0,14.0,4.0,0.0,3.0,11.0,36.0,0.0,32.0,4.0,29.0,0.0,51.0,16.0,1.0,106.0,21.0,4.0,9.0,3.0,0.0,10.0,9.0,19.0,0.0,182.0,15.0,1.0,49.0,6.0,1.0,1.0,11.0,1.0,76.0,0.0,21.0,24.0,1.0,4.0,0.0,12.0,176.0
Madagascar,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,21.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,214.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
Maldives,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kuwait,0.0,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,7.0,34.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,299.0,31.0,6.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0,3.0
