,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Estonia,1.0,0.0,0.0,68.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,3.0,0.0,25.0,0.0,1245.0,1.0,0.0,26.0,17.0,35.0,4.0,0.0,24.0,1.0,5.0,0.0,0.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,6.0,1.0,0.0,18.0,13.0,0.0,15.0,2.0,0.0,0.0,120.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,12.0,0.0,14.0,20.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0,10.0,0.0,5.0,9.0,11.0,1.0,5.0,7.0,12.0,17.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,15.0,18.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,7.0,0.0,4.0,5.0,1.0,1.0,0.0,8.0,20.0
Turkey,0.0,4.0,1.0,49.0,1.0,1.0,3.0,0.0,1.0,0.0,18.0,6.0,2.0,34.0,0.0,173.0,6.0,2437.0,4.0,0.0,187.0,20.0,13.0,81.0,0.0,74.0,9.0,20.0,1.0,0.0,3.0,0.0,57.0,0.0,0.0,1.0,1.0,132.0,24.0,0.0,3.0,1.0,1.0,4.0,33.0,64.0,26.0,3.0,49.0,3.0,0.0,0.0,184.0,0.0,0.0,0.0,1.0,4.0,14.0,0.0,0.0,0.0,5.0,0.0,61.0,64.0,2.0,123.0,8.0,13.0,0.0,5.0,2.0,4.0,1.0,8.0,4.0,51.0,24.0,0.0,22.0,317.0,1.0,0.0,17.0,24.0,120.0,23.0,37.0,1.0,41.0,0.0,0.0,1.0,21.0,49.0,0.0,40.0,1.0,1.0,32.0,7.0,1.0,2.0,21.0,0.0,153.0,0.0,26.0,15.0,0.0,39.0,13.0,11.0,48.0
Bangladesh,0.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,29.0,3.0,30.0,0.0,437.0,0.0,0.0,3.0,0.0,54.0,4.0,0.0,23.0,0.0,6.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,8.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,1.0,1.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,5.0,0.0,10.0,18.0,0.0,20.0,1.0,1.0,0.0,4.0,0.0,1.0,7.0,2.0,0.0,12.0,7.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,14.0,6.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,3.0,10.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,16.0,2.0,3.0,0.0,0.0,5.0,15.0
Bulgaria,0.0,6.0,1.0,52.0,0.0,3.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,15.0,0.0,1589.0,1.0,2.0,9.0,3.0,0.0,1.0,0.0,64.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,33.0,6.0,2.0,11.0,0.0,0.0,0.0,509.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,5.0,0.0,142.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,13.0,1.0,14.0,17.0,21.0,14.0,5.0,2.0,0.0,10.0,3.0,16.0,4.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,3.0,9.0,12.0,2.0,3.0,0.0,0.0,33.0,1.0,0.0,32.0,2.0,10.0,1.0,0.0,1.0,0.0,0.0,12.0
Azerbaijan,0.0,2.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,444.0,0.0,0.0,12.0,3.0,1.0,2.0,0.0,39.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,10.0,0.0,8.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,2.0,0.0,3.0,11.0,0.0,0.0,3.0,0.0,11.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Iran, Islamic Republic of",0.0,9.0,0.0,49.0,0.0,5.0,8.0,0.0,2.0,1.0,0.0,0.0,5.0,31.0,3.0,46.0,0.0,1080.0,1.0,0.0,24.0,4.0,16.0,192.0,2.0,55.0,1.0,57.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,140.0,88.0,3.0,26.0,0.0,2.0,0.0,0.0,26.0,4.0,0.0,15.0,1.0,0.0,0.0,164.0,0.0,0.0,0.0,2.0,5.0,11.0,5.0,1.0,0.0,2.0,0.0,23.0,13.0,0.0,59.0,8.0,2.0,0.0,0.0,0.0,24.0,0.0,4.0,12.0,10.0,40.0,1.0,1.0,0.0,13.0,0.0,1.0,58.0,65.0,26.0,42.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,29.0,9.0,0.0,15.0,4.0,0.0,12.0,0.0,0.0,77.0,0.0,8.0,10.0,0.0,0.0,1.0,2.0,10.0
Uganda,0.0,8.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,6.0,23.0,2.0,335.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,130.0,0.0,12.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,6.0,7.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,21.0,3.0,2.0,4.0,1.0,3.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,81.0,9.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,16.0,0.0,1.0,2.0,0.0,0.0,3.0,5.0,8.0,20.0,2.0,0.0,0.0,9.0,0.0,1.0,3.0,0.0,0.0,4.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,24.0,0.0,21.0,2.0,0.0,1.0,0.0,25.0,25.0
Malta,0.0,1.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,353.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
"Korea, Democratic People's Republic of",0.0,2.0,0.0,48.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,248.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
Iraq,0.0,3.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,19.0,1.0,34.0,0.0,745.0,0.0,0.0,1.0,0.0,2.0,169.0,0.0,24.0,2.0,164.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,42.0,8.0,1.0,5.0,0.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,4.0,20.0,1.0,48.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,14.0,26.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,19.0,10.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,54.0,0.0,1.0,10.0,3.0,0.0,4.0,10.0,5.0
Burkina Faso,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,9.0,0.0,93.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,16.0,4.0,2.0,1.0,0.0,0.0,1.0,30.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,198.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,28.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,1.0,11.0,7.0
"Tanzania, United Republic of",0.0,7.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,1.0,26.0,2.0,11.0,0.0,310.0,0.0,0.0,5.0,0.0,7.0,3.0,0.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,125.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,10.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,14.0,1.0,0.0,0.0,14.0,0.0,18.0,6.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,15.0,0.0,21.0,2.0,1.0,0.0,0.0,8.0,11.0
Kenya,0.0,13.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,8.0,2.0,9.0,31.0,30.0,0.0,691.0,0.0,1.0,8.0,0.0,20.0,4.0,2.0,77.0,0.0,13.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,7.0,8.0,7.0,0.0,2.0,5.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,0.0,76.0,111.0,10.0,55.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,10.0,39.0,1.0,10.0,2.0,0.0,0.0,10.0,3.0,7.0,28.0,5.0,0.0,0.0,16.0,0.0,9.0,30.0,2.0,0.0,9.0,11.0,1.0,9.0,0.0,10.0,2.0,1.0,0.0,21.0,0.0,37.0,5.0,3.0,0.0,0.0,28.0,10.0
France,0.0,3.0,4.0,760.0,8.0,20.0,9.0,0.0,14.0,0.0,2.0,103.0,7.0,43.0,0.0,601.0,5.0,9049.0,0.0,6.0,91.0,77.0,112.0,183.0,8.0,599.0,20.0,156.0,9.0,1.0,27.0,0.0,118.0,2.0,0.0,8.0,2.0,71.0,43.0,1.0,22.0,18.0,12.0,1.0,9.0,151.0,69.0,2.0,45.0,8.0,5.0,0.0,1583.0,6.0,0.0,1.0,19.0,3.0,65.0,14.0,11.0,2.0,131.0,3.0,127.0,145.0,12.0,441.0,23.0,4.0,0.0,0.0,31.0,105.0,28.0,9.0,10.0,63.0,76.0,3.0,55.0,40.0,6.0,1.0,23.0,25.0,105.0,38.0,84.0,6.0,2.0,14.0,3.0,8.0,17.0,81.0,0.0,219.0,43.0,21.0,11.0,27.0,14.0,8.0,1.0,0.0,153.0,2.0,42.0,32.0,4.0,5.0,2.0,70.0,232.0
Ukraine,0.0,9.0,0.0,61.0,1.0,24.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,51.0,0.0,1810.0,0.0,0.0,12.0,2.0,3.0,15.0,0.0,50.0,1.0,16.0,7.0,1.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,46.0,4.0,0.0,0.0,2.0,0.0,0.0,22.0,19.0,10.0,0.0,4.0,1.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,12.0,34.0,0.0,372.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,20.0,22.0,0.0,62.0,1.0,0.0,0.0,27.0,15.0,21.0,11.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,29.0,13.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,143.0,5.0,17.0,12.0,0.0,3.0,0.0,49.0,9.0
Greece,0.0,2.0,0.0,17.0,0.0,1.0,7.0,0.0,129.0,0.0,0.0,2.0,0.0,7.0,0.0,198.0,0.0,4385.0,1.0,0.0,14.0,4.0,8.0,3.0,0.0,88.0,2.0,15.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,82.0,3.0,0.0,4.0,1.0,0.0,0.0,6.0,10.0,3.0,4.0,8.0,1.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,0.0,30.0,25.0,0.0,103.0,27.0,1.0,0.0,0.0,1.0,18.0,2.0,0.0,24.0,7.0,7.0,2.0,2.0,5.0,1.0,0.0,1.0,42.0,51.0,30.0,9.0,0.0,2.0,0.0,0.0,19.0,0.0,23.0,0.0,18.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,14.0,0.0,12.0,6.0,1.0,24.0,17.0
Tajikistan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,29.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Australia,0.0,4.0,2.0,42.0,4.0,17.0,16.0,70.0,6.0,3.0,5.0,7.0,39.0,13.0,3.0,95.0,0.0,2000.0,0.0,0.0,70.0,16.0,34.0,16.0,1.0,167.0,3.0,71.0,5.0,0.0,11.0,2.0,70.0,0.0,0.0,9.0,0.0,92.0,38.0,1.0,43.0,5.0,2.0,13.0,10.0,58.0,61.0,0.0,51.0,15.0,23.0,0.0,506.0,1.0,0.0,0.0,14.0,1.0,25.0,64.0,0.0,1.0,2.0,0.0,94.0,61.0,10.0,159.0,31.0,2.0,0.0,1.0,11.0,12.0,7.0,7.0,11.0,43.0,35.0,5.0,25.0,68.0,7.0,0.0,15.0,3.0,72.0,46.0,43.0,6.0,19.0,2.0,0.0,5.0,2.0,25.0,27.0,115.0,43.0,8.0,20.0,7.0,4.0,0.0,1.0,0.0,61.0,1.0,41.0,14.0,6.0,1.0,0.0,36.0,96.0
Namibia,0.0,9.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,28.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,256.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0
Zimbabwe,0.0,12.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,33.0,0.0,11.0,0.0,333.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,9.0,13.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,97.0,1.0,0.0,1.0,0.0,10.0,6.0
Kuwait,0.0,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,4.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Greenland,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kazakhstan,0.0,2.0,0.0,38.0,0.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,5.0,1.0,0.0,30.0,2.0,277.0,0.0,0.0,3.0,2.0,0.0,4.0,1.0,15.0,3.0,3.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,18.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,87.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,96.0,11.0,0.0,9.0,7.0,0.0,0.0,2.0,1.0,27.0,5.0,9.0,0.0,0.0,2.0,0.0,3.0,5.0,2.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30.0,1.0,21.0,4.0,0.0,1.0,0.0,2.0,1.0
Philippines,0.0,2.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,1.0,493.0,0.0,3447.0,0.0,0.0,26.0,1.0,279.0,2.0,1.0,73.0,2.0,1116.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,9.0,0.0,21.0,3.0,0.0,2.0,2.0,1.0,1.0,9.0,25.0,13.0,0.0,6.0,2.0,6.0,0.0,87.0,2.0,1.0,0.0,0.0,0.0,13.0,4.0,0.0,1.0,0.0,0.0,33.0,26.0,1.0,114.0,2.0,0.0,0.0,1.0,2.0,5.0,16.0,0.0,2.0,45.0,150.0,0.0,19.0,4.0,0.0,0.0,16.0,29.0,35.0,26.0,6.0,15.0,0.0,34.0,0.0,2.0,0.0,16.0,4.0,38.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,32.0,0.0,13.0,5.0,0.0,0.0,0.0,7.0,16.0
Singapore,0.0,1.0,0.0,39.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,89.0,0.0,422.0,1.0,2.0,134.0,8.0,28.0,0.0,0.0,33.0,0.0,39.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,1.0,0.0,28.0,15.0,0.0,0.0,1.0,0.0,0.0,5.0,22.0,21.0,0.0,3.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,1.0,43.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0,1.0,0.0,12.0,4.0,0.0,1.0,6.0,0.0,0.0,4.0,1.0,54.0,9.0,74.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,6.0,0.0,0.0,0.0,3.0,11.0
Lesotho,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0
Ghana,0.0,1.0,0.0,5.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,1.0,10.0,1.0,15.0,0.0,224.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,85.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,14.0,0.0,7.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,8.0,1.0,0.0,2.0,0.0,9.0,0.0,22.0,0.0,0.0,5.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,102.0,0.0,25.0,2.0,0.0,1.0,0.0,0.0,4.0,8.0,2.0,1.0,0.0,12.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,4.0,12.0,7.0,0.0,1.0,9.0,0.0,1.0,4.0,1.0,0.0,7.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,13.0,3.0,0.0,0.0,1.0,10.0,1.0
