,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Switzerland,0.0,5.0,0.0,17.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,5.0,16.0,11.0,0.0,76.0,1.0,22.0,1.0,0.0,186.0,4.0,7.0,26.0,1.0,249.0,1.0,14.0,0.0,0.0,6.0,0.0,40.0,4.0,0.0,3.0,2.0,17.0,8.0,0.0,13.0,4.0,1.0,0.0,6.0,36.0,27.0,8.0,6.0,1.0,2.0,0.0,138.0,0.0,0.0,2.0,7.0,3.0,17.0,1.0,5.0,0.0,3.0,0.0,23.0,69.0,3.0,118.0,9.0,0.0,0.0,2.0,3.0,3.0,4.0,7.0,2.0,8.0,28.0,0.0,7.0,5.0,1.0,0.0,12.0,7.0,5.0,31.0,12.0,0.0,0.0,5.0,0.0,2.0,10.0,9.0,0.0,45.0,15.0,5.0,4.0,1.0,2.0,1.0,0.0,0.0,46.0,4.0,8.0,2.0,1.0,1.0,0.0,9.0,41.0
Serbia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
"Iran, Islamic Republic of",0.0,6.0,1.0,31.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,6.0,30.0,1.0,31.0,0.0,0.0,0.0,1.0,10.0,1.0,2.0,162.0,0.0,5.0,3.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,76.0,77.0,0.0,22.0,1.0,0.0,0.0,7.0,12.0,1.0,0.0,10.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,51.0,1.0,20.0,1.0,1.0,0.0,4.0,21.0,2.0,15.0,15.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,14.0,1.0,1.0,0.0,2.0,2.0,15.0,0.0,0.0,73.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
Kenya,0.0,11.0,0.0,8.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,28.0,22.0,48.0,0.0,2.0,3.0,0.0,10.0,0.0,1.0,6.0,0.0,55.0,0.0,13.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,6.0,0.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,20.0,5.0,0.0,9.0,1.0,4.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,83.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,8.0,26.0,0.0,5.0,2.0,0.0,0.0,4.0,1.0,1.0,55.0,3.0,0.0,0.0,12.0,0.0,3.0,2.0,0.0,1.0,2.0,12.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,34.0,0.0,26.0,5.0,1.0,0.0,0.0,9.0,6.0
Mexico,0.0,5.0,6.0,18.0,0.0,43.0,25.0,0.0,8.0,19.0,61.0,29.0,30.0,11.0,3.0,69.0,0.0,2.0,7.0,0.0,13.0,7.0,156.0,27.0,0.0,48.0,1.0,20.0,3.0,0.0,4.0,0.0,63.0,0.0,0.0,1.0,0.0,117.0,7.0,0.0,6.0,13.0,5.0,1.0,60.0,88.0,108.0,1.0,33.0,7.0,1.0,0.0,409.0,0.0,0.0,0.0,1.0,2.0,49.0,8.0,0.0,0.0,4.0,0.0,1.0,20.0,0.0,112.0,4.0,12.0,0.0,0.0,5.0,13.0,3.0,1.0,3.0,11.0,35.0,0.0,31.0,14.0,28.0,0.0,51.0,16.0,1.0,100.0,19.0,4.0,5.0,3.0,0.0,9.0,8.0,18.0,0.0,168.0,15.0,1.0,47.0,7.0,1.0,1.0,12.0,1.0,74.0,0.0,21.0,25.0,1.0,3.0,0.0,10.0,164.0
Madagascar,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,22.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,20.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
Kuwait,0.0,1.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,7.0,34.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,299.0,31.0,6.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0
Zambia,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,22.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,34.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,19.0
Canada,0.0,11.0,0.0,24.0,2.0,21.0,0.0,0.0,15.0,5.0,6.0,14.0,30.0,11.0,2.0,229.0,1.0,9.0,1.0,4.0,151.0,24.0,19.0,9.0,0.0,109.0,4.0,94.0,2.0,0.0,10.0,6.0,167.0,0.0,0.0,1.0,2.0,152.0,37.0,10.0,29.0,4.0,2.0,0.0,27.0,99.0,133.0,0.0,35.0,23.0,2.0,0.0,307.0,8.0,0.0,1.0,18.0,2.0,5.0,2.0,1.0,0.0,43.0,2.0,11.0,30.0,0.0,146.0,41.0,3.0,0.0,1.0,12.0,13.0,2.0,21.0,10.0,11.0,26.0,0.0,17.0,48.0,2.0,0.0,11.0,25.0,10.0,96.0,84.0,3.0,6.0,0.0,0.0,31.0,6.0,25.0,0.0,114.0,30.0,46.0,4.0,18.0,0.0,5.0,3.0,0.0,98.0,0.0,14.0,17.0,0.0,17.0,0.0,5.0,59.0
Iraq,0.0,2.0,0.0,22.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,212.0,0.0,9.0,1.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,92.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,28.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,3.0,14.0,0.0,0.0,3.0,0.0,10.0,15.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,7.0,15.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,11.0,0.0,1.0,0.0,4.0,20.0
Uzbekistan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,17.0,0.0,17.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,118.0,2.0,17.0,0.0,117.0,0.0,0.0,9.0,1.0,9.0,198.0,0.0,24.0,1.0,36.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,117.0,8.0,1.0,31.0,7.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,1.0,23.0,0.0,13.0,1.0,0.0,0.0,0.0,16.0,27.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,13.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,5.0,0.0,5.0,0.0,6.0,13.0
"Congo, The Democratic Republic of the",0.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,9.0,3.0,48.0,6.0,63.0,52.0,12.0,0.0,0.0,4.0,1.0,11.0,1.0,0.0,4152.0,2.0,52.0,2.0,0.0,1.0,1.0,15.0,0.0,0.0,1.0,6.0,6.0,10.0,0.0,4.0,2.0,2.0,0.0,4.0,14.0,12.0,3.0,20.0,1.0,0.0,0.0,43.0,0.0,0.0,7.0,1.0,1.0,8.0,2.0,0.0,0.0,2.0,0.0,16.0,119.0,8.0,54.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,35.0,0.0,7.0,3.0,0.0,0.0,1.0,7.0,8.0,8.0,12.0,0.0,0.0,4.0,1.0,1.0,20.0,23.0,0.0,23.0,3.0,0.0,4.0,6.0,2.0,5.0,1.0,0.0,21.0,0.0,15.0,4.0,0.0,5.0,0.0,20.0,21.0
Cuba,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,14.0,0.0,89.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,6.0,1.0,0.0,1.0,31.0,10.0,1.0,6.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,28.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,7.0,7.0,1.0,13.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,0.0,0.0,0.0,14.0,79.0
Nigeria,0.0,1.0,0.0,22.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,3.0,1.0,378.0,2.0,118.0,0.0,3.0,0.0,0.0,21.0,6.0,5.0,1.0,1.0,207.0,1.0,29.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,6.0,0.0,30.0,18.0,4.0,9.0,4.0,44.0,0.0,14.0,79.0,16.0,5.0,19.0,1.0,4.0,0.0,39.0,0.0,1.0,321.0,0.0,1.0,75.0,1.0,0.0,0.0,4.0,0.0,4.0,314.0,5.0,107.0,33.0,5.0,0.0,1.0,0.0,10.0,8.0,0.0,7.0,61.0,200.0,1.0,11.0,8.0,1.0,0.0,6.0,4.0,161.0,58.0,6.0,0.0,1.0,10.0,0.0,4.0,3.0,38.0,0.0,6.0,8.0,1.0,18.0,1.0,4.0,1.0,4.0,1.0,58.0,0.0,112.0,16.0,1.0,2.0,0.0,86.0,16.0
Ghana,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,2.0,18.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,2.0,54.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,4.0,7.0,3.0,11.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,2.0,0.0,4.0,0.0,13.0,2.0
Costa Rica,0.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,2.0,1.0,13.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,7.0,0.0,14.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,0.0,0.0,7.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,19.0
New Zealand,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,12.0,0.0,19.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,15.0,4.0,0.0,0.0,4.0,6.0,13.0,0.0,1.0,0.0,2.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,35.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,16.0,14.0,11.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,2.0,0.0,0.0,9.0,1.0,24.0
Uganda,0.0,12.0,0.0,9.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,5.0,0.0,68.0,12.0,55.0,7.0,1.0,0.0,0.0,16.0,1.0,3.0,1.0,1.0,677.0,0.0,16.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,3.0,4.0,8.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,32.0,12.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,17.0,11.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,9.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,4.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,13.0,5.0,2.0,2.0,0.0,18.0,29.0
Chile,0.0,1.0,0.0,5.0,0.0,2.0,13.0,0.0,0.0,6.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,0.0,9.0,3.0,3.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,148.0,0.0,20.0,21.0,4.0,0.0,14.0,1.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,60.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,18.0,9.0,8.0,0.0,1.0,5.0,0.0,43.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,18.0,10.0
Myanmar,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,10.0,0.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,12.0,0.0,6.0,1.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,3.0,14.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,8.0,0.0,4.0,0.0,2.0,7.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
Namibia,0.0,8.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
Sweden,0.0,4.0,0.0,15.0,26.0,1.0,0.0,0.0,26.0,0.0,37.0,0.0,13.0,42.0,25.0,53.0,0.0,1.0,0.0,0.0,10.0,17.0,26.0,35.0,0.0,507.0,1.0,24.0,2.0,0.0,4.0,0.0,73.0,1.0,0.0,0.0,1.0,52.0,0.0,1.0,4.0,23.0,0.0,0.0,7.0,19.0,22.0,0.0,50.0,3.0,0.0,0.0,294.0,1.0,0.0,0.0,9.0,2.0,1.0,14.0,0.0,0.0,12.0,0.0,0.0,26.0,50.0,220.0,1.0,0.0,0.0,0.0,43.0,3.0,1.0,6.0,10.0,2.0,21.0,1.0,10.0,30.0,8.0,0.0,9.0,41.0,0.0,8.0,159.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,34.0,24.0,4.0,3.0,8.0,0.0,39.0,0.0,0.0,24.0,17.0,1.0,4.0,0.0,2.0,0.0,50.0,37.0
"Palestine, State of",0.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,16.0,0.0,52.0,0.0,4.0,1.0,0.0,13.0,32.0,6.0,288.0,0.0,31.0,0.0,43.0,0.0,0.0,4.0,0.0,17.0,0.0,0.0,1.0,0.0,17.0,2.0,0.0,10.0,4.0,1.0,0.0,4.0,42.0,41.0,2.0,10.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,16.0,5.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,260.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,10.0,11.0,23.0,1.0,5.0,15.0,1.0,0.0,7.0,6.0,2.0,29.0,20.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,17.0,8.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,16.0,0.0,14.0,10.0,1.0,13.0,0.0,2.0,14.0
Qatar,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,7.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,42.0,0.0,2.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0
Trinidad and Tobago,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,11.0
Portugal,0.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,1.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,49.0,1.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,61.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,181.0,7.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,9.0,3.0,0.0,4.0,0.0,0.0,0.0,23.0,6.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,8.0,5.0,0.0,2.0,0.0,4.0,25.0
