,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Haiti,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,75.0,0.0,4.0,0.0,78.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,7.0
Afghanistan,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,12.0,0.0,10.0,1.0,416.0,0.0,0.0,11.0,2.0,55.0,32.0,0.0,69.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,3.0,2.0,0.0,3.0,1.0,0.0,5.0,8.0,6.0,0.0,2.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,749.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,9.0,39.0,369.0,1.0,11.0,4.0,0.0,0.0,5.0,31.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,19.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,7.0
Ethiopia,0.0,5.0,3.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,3.0,1.0,3.0,216.0,0.0,1.0,6.0,2.0,1.0,5.0,1.0,48.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,8.0,2.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,3.0,0.0,2.0,97.0,1.0,67.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,8.0,0.0,3.0,9.0,2.0,1.0,2.0,5.0,3.0,35.0,6.0,0.0,4.0,19.0,0.0,3.0,7.0,10.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,27.0,0.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0
"Korea, Republic of",0.0,3.0,0.0,142.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,458.0,1.0,0.0,30.0,5.0,1.0,0.0,0.0,21.0,0.0,78.0,3.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,1.0,6.0,0.0,3.0,50.0,24.0,5.0,4.0,3.0,5.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,58.0,4.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,3.0,50.0,2.0,3.0,1.0,15.0,0.0,0.0,4.0,0.0,14.0,5.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,11.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,58.0,5.0,0.0,11.0,0.0,2.0,1.0
Ukraine,0.0,181.0,0.0,572.0,1.0,66.0,73.0,0.0,2.0,2.0,11.0,2.0,3.0,55.0,1.0,86.0,3.0,6605.0,1.0,9.0,287.0,6.0,9.0,465.0,8.0,258.0,39.0,33.0,11.0,1.0,5.0,2.0,24.0,0.0,0.0,0.0,6.0,146.0,18.0,0.0,2.0,75.0,59.0,0.0,29.0,105.0,66.0,4.0,25.0,4.0,3.0,0.0,555.0,1.0,0.0,1.0,2.0,0.0,22.0,58.0,0.0,1.0,3.0,0.0,40.0,63.0,4.0,1273.0,1.0,6.0,0.0,1.0,7.0,9.0,0.0,65.0,1.0,27.0,553.0,4.0,224.0,6.0,12.0,0.0,52.0,175.0,20.0,36.0,17.0,0.0,8.0,0.0,0.0,7.0,0.0,73.0,0.0,28.0,19.0,4.0,16.0,8.0,1.0,2.0,2.0,0.0,221.0,22.0,53.0,22.0,1.0,5.0,0.0,13.0,25.0
South Africa,0.0,4.0,2.0,84.0,2.0,0.0,6.0,0.0,19.0,2.0,9.0,11.0,0.0,11.0,11.0,123.0,0.0,3066.0,0.0,0.0,45.0,10.0,10.0,8.0,1.0,346.0,1.0,146.0,2.0,0.0,18.0,0.0,43.0,0.0,0.0,2.0,0.0,49.0,5.0,0.0,4.0,2.0,1.0,0.0,5.0,21.0,23.0,1.0,39.0,3.0,0.0,0.0,431.0,2.0,2.0,5.0,5.0,1.0,4.0,8.0,6.0,1.0,3.0,0.0,173.0,107.0,36.0,222.0,15.0,0.0,1.0,0.0,18.0,14.0,4.0,2.0,7.0,67.0,36.0,0.0,23.0,74.0,4.0,0.0,10.0,7.0,159.0,28.0,27.0,0.0,3.0,6.0,0.0,5.0,3.0,34.0,0.0,111.0,2.0,19.0,4.0,7.0,1.0,0.0,2.0,0.0,107.0,0.0,67.0,10.0,1.0,8.0,0.0,11.0,40.0
Uganda,0.0,4.0,1.0,10.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,8.0,9.0,6.0,0.0,204.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,6.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,20.0,2.0,2.0,5.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,77.0,3.0,16.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,65.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,5.0,16.0,11.0,0.0,0.0,9.0,2.0,0.0,12.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,22.0,4.0,0.0,1.0,0.0,19.0,14.0
Hungary,0.0,1.0,0.0,387.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,8.0,1.0,377.0,0.0,0.0,7.0,3.0,0.0,5.0,0.0,12.0,1.0,3.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,5.0,2.0,0.0,2.0,5.0,6.0,1.0,9.0,1.0,0.0,0.0,236.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,176.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0
Lithuania,0.0,7.0,0.0,7.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,324.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,7.0,0.0,4.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Estonia,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,14.0,0.0,252.0,1.0,0.0,15.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,9.0,3.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Uruguay,0.0,4.0,0.0,4.0,1.0,3.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,265.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,7.0,0.0,3.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,8.0,0.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,19.0,8.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0
Kuwait,0.0,4.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,194.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,2.0,1.0,184.0,1.0,2.0,22.0,0.0,3.0,1.0,12.0,2.0,1.0,20.0,36.0,9.0,1.0,1185.0,1.0,0.0,0.0,1.0,8.0,233.0,0.0,20.0,1.0,620.0,4.0,0.0,1.0,0.0,25.0,0.0,0.0,13.0,0.0,287.0,6.0,3.0,4.0,0.0,2.0,0.0,4.0,18.0,68.0,0.0,16.0,11.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,0.0,0.0,0.0,8.0,56.0,0.0,61.0,2.0,10.0,2.0,0.0,2.0,51.0,3.0,0.0,23.0,10.0,350.0,0.0,2.0,3.0,3.0,0.0,7.0,14.0,4.0,34.0,14.0,0.0,9.0,10.0,0.0,1.0,2.0,14.0,0.0,8.0,23.0,0.0,3.0,5.0,4.0,2.0,0.0,0.0,19.0,0.0,6.0,28.0,1.0,2.0,0.0,21.0,9.0
Serbia,0.0,1.0,0.0,11.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,586.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,4.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0
Indonesia,0.0,16.0,2.0,36.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,17.0,2.0,4.0,0.0,45.0,0.0,2098.0,0.0,0.0,30.0,1.0,246.0,23.0,0.0,101.0,0.0,15.0,0.0,0.0,5.0,0.0,34.0,0.0,0.0,13.0,0.0,17.0,4.0,1.0,1.0,17.0,0.0,0.0,16.0,49.0,20.0,1.0,38.0,12.0,2.0,0.0,160.0,2.0,0.0,1.0,1.0,1.0,12.0,8.0,0.0,0.0,2.0,0.0,17.0,42.0,1.0,32.0,8.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0,20.0,37.0,32.0,0.0,7.0,9.0,0.0,0.0,21.0,27.0,11.0,7.0,19.0,0.0,4.0,5.0,0.0,4.0,1.0,3.0,0.0,13.0,3.0,0.0,5.0,4.0,0.0,1.0,0.0,1.0,42.0,0.0,23.0,4.0,0.0,0.0,0.0,22.0,30.0
Congo,0.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,42.0,1.0,4.0,7.0,133.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,506.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,51.0,4.0,96.0,27.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,9.0,0.0,0.0,17.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,12.0,0.0,7.0,2.0,2.0,1.0,1.0,12.0,7.0
Thailand,0.0,2.0,2.0,62.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,5.0,2.0,1.0,0.0,11.0,0.0,702.0,0.0,1.0,32.0,2.0,48.0,16.0,0.0,38.0,0.0,24.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,3.0,0.0,29.0,5.0,0.0,11.0,5.0,0.0,0.0,8.0,18.0,31.0,32.0,15.0,2.0,2.0,0.0,73.0,1.0,0.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,10.0,1.0,149.0,23.0,0.0,32.0,4.0,9.0,0.0,0.0,7.0,5.0,0.0,2.0,4.0,74.0,6.0,0.0,12.0,15.0,4.0,0.0,16.0,3.0,8.0,55.0,8.0,0.0,1.0,0.0,0.0,12.0,1.0,1.0,1.0,10.0,6.0,4.0,8.0,5.0,0.0,2.0,0.0,1.0,245.0,0.0,9.0,5.0,0.0,0.0,0.0,11.0,22.0
Bangladesh,0.0,3.0,1.0,29.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,11.0,0.0,420.0,0.0,0.0,2.0,2.0,220.0,2.0,0.0,11.0,0.0,9.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,2.0,0.0,18.0,8.0,0.0,1.0,3.0,2.0,2.0,0.0,10.0,11.0,0.0,0.0,1.0,2.0,0.0,42.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,14.0,0.0,0.0,2.0,7.0,0.0,2.0,1.0,0.0,11.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,10.0,3.0,2.0,3.0,7.0,0.0,3.0,1.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,22.0,4.0,2.0,0.0,0.0,0.0,4.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,11.0,0.0,1.0,0.0,42.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,8.0,1.0
Greece,0.0,1.0,0.0,115.0,0.0,30.0,2.0,0.0,163.0,0.0,0.0,1.0,2.0,8.0,0.0,122.0,1.0,7643.0,0.0,0.0,4.0,3.0,2.0,9.0,0.0,33.0,14.0,4.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,0.0,180.0,28.0,1.0,13.0,1.0,0.0,0.0,1.0,10.0,4.0,8.0,10.0,2.0,7.0,0.0,60.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,17.0,17.0,0.0,161.0,5.0,1.0,0.0,0.0,5.0,57.0,0.0,0.0,10.0,11.0,6.0,0.0,3.0,3.0,3.0,0.0,1.0,44.0,36.0,27.0,57.0,0.0,0.0,1.0,0.0,20.0,3.0,12.0,0.0,22.0,5.0,1.0,0.0,16.0,0.0,6.0,0.0,0.0,12.0,0.0,17.0,0.0,3.0,27.0,2.0,5.0,12.0
Mozambique,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,15.0,3.0,7.0,0.0,172.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,7.0,54.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0
Guinea,0.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,103.0,0.0,1.0,1.0,0.0,0.0,1.0,100.0,218.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,22.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,15.0,1.0,0.0,0.0,2.0,0.0,1.0,27.0,76.0,33.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,16.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,18.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,12.0,4.0
Romania,0.0,2.0,1.0,163.0,6.0,11.0,30.0,0.0,0.0,0.0,15.0,0.0,1.0,2.0,0.0,96.0,0.0,2372.0,0.0,8.0,14.0,6.0,3.0,4.0,0.0,23.0,3.0,18.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,71.0,2.0,7.0,2.0,0.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,27.0,0.0,14.0,0.0,15.0,1.0,0.0,34.0,6.0,0.0,0.0,0.0,0.0,48.0,0.0,2.0,4.0,24.0,38.0,0.0,18.0,2.0,2.0,2.0,16.0,9.0,1512.0,12.0,144.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,9.0,0.0,1.0,3.0,0.0,103.0,1.0,0.0,21.0,0.0,14.0,47.0,0.0,0.0,1.0,1.0,4.0
Central African Republic,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0
Syrian Arab Republic,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,172.0,0.0,0.0,1.0,0.0,5.0,113.0,0.0,25.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0,4.0,2.0
Poland,0.0,1.0,3.0,149.0,14.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0,790.0,1.0,7.0,9.0,4.0,5.0,291.0,0.0,15.0,2.0,8.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,45.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,14.0,16.0,2.0,2.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,17.0,0.0,16.0,4.0,1.0,27.0,0.0,11.0,0.0,2.0,1.0,3.0,0.0,0.0,9.0,10.0,10.0,1.0,32.0,10.0,3.0,0.0,4.0,4.0,7.0,40.0,113.0,0.0,1.0,0.0,0.0,44.0,1.0,2.0,0.0,7.0,6.0,15.0,5.0,4.0,1.0,6.0,0.0,1.0,387.0,0.0,23.0,2.0,0.0,0.0,0.0,2.0,11.0
Armenia,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,102.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,0.0,5.0,0.0,15.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,763.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,18.0,0.0,8.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
