,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Japan,7.0,51.0,1.0,298.0,3.0,7.0,1.0,2.0,7.0,2.0,3.0,1.0,3.0,4.0,2.0,56.0,8.0,2183.0,0.0,2.0,63.0,36.0,53.0,7.0,0.0,77.0,3.0,46.0,81.0,0.0,4.0,1.0,76.0,0.0,0.0,7.0,5.0,82.0,12.0,4.0,1.0,3.0,1.0,0.0,6.0,61.0,170.0,13.0,42.0,20.0,2.0,0.0,143.0,16.0,0.0,32.0,1.0,1.0,14.0,3.0,0.0,1.0,7.0,0.0,63.0,50.0,12.0,95.0,8.0,1.0,1.0,0.0,16.0,33.0,9.0,0.0,13.0,151.0,21.0,0.0,5.0,15.0,4.0,1.0,7.0,27.0,43.0,29.0,13.0,6.0,3.0,7.0,0.0,4.0,1.0,30.0,9.0,54.0,36.0,2.0,17.0,21.0,0.0,0.0,0.0,0.0,28.0,0.0,13.0,14.0,0.0,4.0,0.0,14.0,58.0
Russian Federation,39.0,56.0,0.0,180.0,0.0,23.0,19.0,0.0,4.0,1.0,33.0,8.0,1.0,20.0,2.0,110.0,4.0,3801.0,33.0,2.0,46.0,15.0,27.0,52.0,3.0,198.0,46.0,98.0,31.0,6.0,8.0,2.0,45.0,0.0,0.0,0.0,1.0,309.0,4.0,2.0,4.0,24.0,4.0,0.0,108.0,118.0,57.0,6.0,15.0,10.0,1.0,0.0,1352.0,0.0,0.0,0.0,1.0,0.0,29.0,9.0,2.0,0.0,60.0,0.0,59.0,34.0,3.0,386.0,66.0,4.0,0.0,0.0,127.0,9.0,0.0,64.0,9.0,121.0,69.0,2.0,137.0,23.0,5.0,0.0,129.0,77.0,494.0,43.0,24.0,0.0,8.0,2.0,0.0,1.0,2.0,52.0,1.0,65.0,129.0,16.0,32.0,13.0,0.0,52.0,3.0,0.0,155.0,6.0,39.0,36.0,1.0,64.0,0.0,127.0,40.0
Portugal,3.0,0.0,1.0,143.0,0.0,8.0,5.0,0.0,2.0,1.0,5.0,5.0,11.0,5.0,1.0,82.0,0.0,3442.0,0.0,0.0,13.0,5.0,16.0,3.0,0.0,63.0,1.0,3.0,1.0,0.0,9.0,2.0,88.0,1.0,0.0,1.0,0.0,50.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,37.0,53.0,1.0,5.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,20.0,7.0,15.0,1.0,0.0,0.0,0.0,0.0,16.0,24.0,1.0,68.0,12.0,1.0,0.0,0.0,4.0,5.0,1.0,1.0,17.0,19.0,19.0,0.0,21.0,0.0,5.0,0.0,7.0,5.0,12.0,39.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0,24.0,1.0,62.0,20.0,0.0,5.0,6.0,0.0,4.0,1.0,0.0,46.0,0.0,1.0,14.0,0.0,4.0,0.0,8.0,22.0
El Salvador,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,4.0,0.0,2.0,0.0,338.0,0.0,0.0,181.0,0.0,21.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,42.0
Canada,1.0,6.0,0.0,68.0,3.0,11.0,2.0,1.0,33.0,1.0,13.0,3.0,6.0,11.0,6.0,231.0,0.0,3845.0,2.0,17.0,114.0,34.0,12.0,7.0,0.0,184.0,3.0,50.0,9.0,0.0,13.0,3.0,50.0,0.0,0.0,4.0,0.0,30.0,23.0,2.0,7.0,2.0,6.0,0.0,71.0,61.0,90.0,1.0,52.0,47.0,1.0,0.0,269.0,0.0,0.0,0.0,39.0,1.0,11.0,34.0,5.0,0.0,30.0,1.0,47.0,29.0,4.0,125.0,5.0,4.0,0.0,1.0,3.0,14.0,9.0,7.0,8.0,36.0,42.0,0.0,39.0,84.0,1.0,6.0,9.0,4.0,41.0,49.0,141.0,1.0,1.0,5.0,0.0,6.0,6.0,61.0,3.0,113.0,32.0,60.0,11.0,3.0,0.0,3.0,3.0,0.0,30.0,0.0,30.0,26.0,1.0,44.0,0.0,23.0,71.0
"Congo, The Democratic Republic of the",1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,35.0,0.0,7.0,13.0,249.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,537.0,1.0,6.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,9.0,5.0,0.0,17.0,3.0,0.0,1.0,28.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,24.0,2.0,82.0,71.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,8.0,28.0,1.0,0.0,9.0,0.0,1.0,2.0,3.0,9.0,17.0,10.0,0.0,0.0,1.0,0.0,3.0,6.0,17.0,0.0,13.0,0.0,1.0,7.0,4.0,0.0,1.0,3.0,0.0,24.0,0.0,19.0,4.0,0.0,0.0,4.0,19.0,6.0
Costa Rica,3.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,6.0,0.0,4.0,0.0,5.0,0.0,396.0,0.0,0.0,2.0,1.0,12.0,3.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,14.0,12.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,8.0,0.0,0.0,6.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,6.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,18.0
Mexico,2.0,3.0,3.0,23.0,3.0,7.0,15.0,0.0,57.0,24.0,14.0,20.0,4.0,16.0,3.0,40.0,0.0,2356.0,0.0,0.0,24.0,9.0,142.0,15.0,1.0,41.0,0.0,20.0,3.0,0.0,4.0,10.0,21.0,1.0,0.0,3.0,0.0,35.0,9.0,2.0,4.0,28.0,5.0,0.0,16.0,84.0,94.0,2.0,48.0,8.0,3.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,3.0,0.0,1.0,11.0,25.0,1.0,132.0,3.0,2.0,0.0,0.0,2.0,6.0,5.0,3.0,4.0,52.0,9.0,0.0,46.0,8.0,29.0,0.0,45.0,22.0,14.0,71.0,75.0,6.0,4.0,2.0,0.0,11.0,0.0,75.0,3.0,98.0,25.0,0.0,5.0,4.0,2.0,1.0,5.0,2.0,19.0,1.0,22.0,17.0,0.0,55.0,0.0,5.0,140.0
Belgium,2.0,2.0,0.0,226.0,0.0,5.0,7.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,2.0,45.0,0.0,1687.0,0.0,0.0,7.0,1.0,5.0,2.0,0.0,68.0,0.0,17.0,4.0,0.0,9.0,0.0,33.0,0.0,0.0,0.0,2.0,12.0,4.0,2.0,3.0,4.0,0.0,1.0,6.0,38.0,15.0,0.0,10.0,2.0,0.0,0.0,147.0,0.0,0.0,0.0,31.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,12.0,7.0,0.0,51.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,1.0,1.0,5.0,12.0,3.0,7.0,15.0,0.0,0.0,9.0,8.0,3.0,13.0,27.0,0.0,2.0,0.0,1.0,4.0,5.0,9.0,0.0,22.0,1.0,12.0,3.0,4.0,0.0,1.0,7.0,0.0,6.0,0.0,3.0,3.0,4.0,1.0,0.0,6.0,19.0
Brazil,1.0,1.0,9.0,61.0,12.0,66.0,28.0,0.0,3.0,38.0,19.0,149.0,9.0,29.0,7.0,62.0,0.0,5019.0,7.0,35.0,23.0,51.0,314.0,11.0,0.0,71.0,5.0,45.0,3.0,0.0,2.0,6.0,128.0,3.0,0.0,21.0,2.0,61.0,6.0,14.0,5.0,164.0,2.0,1.0,10.0,277.0,133.0,3.0,89.0,45.0,8.0,1.0,547.0,3.0,1.0,1.0,1.0,93.0,350.0,18.0,2.0,0.0,4.0,0.0,42.0,164.0,19.0,369.0,38.0,1.0,0.0,0.0,13.0,75.0,10.0,3.0,12.0,63.0,171.0,1.0,174.0,19.0,46.0,0.0,143.0,70.0,35.0,132.0,57.0,2.0,23.0,53.0,0.0,6.0,2.0,33.0,3.0,1033.0,103.0,181.0,19.0,52.0,4.0,1.0,7.0,2.0,90.0,0.0,40.0,60.0,4.0,3.0,0.0,231.0,569.0
Norway,2.0,3.0,5.0,117.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,2.0,8.0,6.0,2.0,6.0,8.0,454.0,0.0,0.0,10.0,2.0,1.0,5.0,0.0,24.0,1.0,14.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,1.0,0.0,0.0,14.0,11.0,25.0,1.0,3.0,2.0,0.0,1.0,84.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,5.0,0.0,3.0,0.0,9.0,12.0,0.0,29.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,6.0,6.0,1.0,0.0,2.0,159.0,0.0,0.0,3.0,0.0,7.0,4.0,24.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,21.0
Guatemala,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,260.0,0.0,0.0,6.0,0.0,3.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,4.0,0.0,2.0,0.0,9.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0
Albania,1.0,9.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,121.0,0.0,1735.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0
"Venezuela, Bolivarian Republic of",1.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,5.0,1.0,1.0,1.0,7.0,0.0,11.0,0.0,800.0,0.0,0.0,16.0,3.0,35.0,14.0,0.0,29.0,0.0,4.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,22.0,15.0,0.0,3.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,62.0,1.0,94.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,9.0,3.0,1.0,10.0,11.0,1.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,20.0,5.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,31.0,0.0,3.0,0.0,0.0,6.0,0.0,38.0,12.0
New Zealand,1.0,3.0,0.0,4.0,0.0,2.0,1.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,22.0,0.0,477.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,17.0,0.0,9.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,17.0,1.0,0.0,4.0,2.0,0.0,0.0,4.0,10.0,31.0,0.0,5.0,6.0,1.0,0.0,48.0,0.0,0.0,0.0,11.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,57.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,4.0,1.0,92.0,0.0,4.0,22.0,0.0,0.0,5.0,0.0,2.0,11.0,16.0,6.0,1.0,0.0,0.0,1.0,0.0,109.0,1.0,68.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,118.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,9.0
"Macedonia, Republic of",1.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,737.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
