,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
United Kingdom,1.0,26.0,5.0,19.0,6.0,37.0,6.0,2.0,29.0,9.0,40.0,36.0,85.0,44.0,3.0,382.0,0.0,11.0,4.0,7.0,363.0,48.0,39.0,38.0,2.0,270.0,8.0,333.0,14.0,0.0,56.0,3.0,210.0,5.0,0.0,18.0,7.0,387.0,58.0,8.0,229.0,29.0,27.0,1.0,60.0,163.0,467.0,4.0,181.0,59.0,8.0,0.0,655.0,5.0,1.0,2.0,35.0,17.0,75.0,12.0,31.0,0.0,94.0,1.0,11.0,148.0,3.0,388.0,171.0,13.0,3.0,0.0,67.0,20.0,21.0,24.0,28.0,75.0,69.0,5.0,67.0,48.0,5.0,2.0,45.0,87.0,32.0,285.0,142.0,7.0,10.0,13.0,0.0,28.0,18.0,48.0,1.0,127.0,91.0,78.0,13.0,30.0,4.0,13.0,32.0,4.0,143.0,0.0,124.0,38.0,2.0,19.0,0.0,38.0,157.0
"Venezuela, Bolivarian Republic of",3.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,42.0,6.0,34.0,1.0,25.0,0.0,67.0,0.0,0.0,0.0,0.0,31.0,0.0,63.0,375.0,0.0,70.0,1.0,42.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,10.0,4.0,1.0,0.0,1.0,3.0,0.0,57.0,72.0,14.0,0.0,4.0,3.0,1.0,0.0,19.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,509.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,29.0,0.0,3.0,0.0,0.0,0.0,28.0,11.0,0.0,33.0,4.0,0.0,6.0,3.0,0.0,13.0,1.0,2.0,0.0,7.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,65.0,0.0,23.0,6.0,0.0,0.0,0.0,18.0,93.0
Egypt,1.0,0.0,0.0,117.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,6.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,203.0,0.0,47.0,1.0,149.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,128.0,4.0,1.0,2.0,3.0,0.0,0.0,4.0,9.0,99.0,0.0,6.0,4.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,30.0,2.0,3.0,0.0,0.0,0.0,21.0,3.0,2.0,11.0,0.0,94.0,7.0,31.0,0.0,0.0,0.0,2.0,2.0,1.0,42.0,9.0,0.0,0.0,17.0,0.0,4.0,0.0,0.0,0.0,27.0,5.0,1.0,1.0,1.0,12.0,3.0,0.0,0.0,45.0,0.0,8.0,67.0,2.0,2.0,0.0,7.0,8.0
Latvia,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0
Mauritania,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peru,1.0,4.0,0.0,0.0,1.0,3.0,11.0,0.0,4.0,9.0,20.0,19.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,83.0,10.0,0.0,9.0,0.0,5.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,3.0,6.0,5.0,0.0,16.0,34.0,9.0,1.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,82.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,11.0,47.0,2.0,17.0,0.0,2.0,0.0,13.0,19.0,0.0,27.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,6.0,0.0,12.0,10.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,49.0,0.0,4.0,3.0,0.0,1.0,0.0,12.0,108.0
Croatia,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,23.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
Ghana,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,45.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,12.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,83.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,11.0,0.0,3.0,0.0,1.0,0.0,7.0,6.0,3.0,15.0,2.0,0.0,1.0,8.0,0.0,2.0,5.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,14.0,3.0,0.0,2.0,3.0,18.0,2.0
Norway,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,48.0,0.0,0.0,8.0,12.0,7.0,2.0,25.0,0.0,2.0,0.0,0.0,21.0,9.0,2.0,7.0,0.0,28.0,1.0,11.0,1.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,1.0,1.0,3.0,0.0,3.0,7.0,10.0,1.0,10.0,0.0,0.0,0.0,55.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,7.0,0.0,7.0,2.0,4.0,3.0,0.0,108.0,7.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,21.0,1.0,6.0,0.0,97.0,0.0,2.0,0.0,8.0,3.0,1.0,1.0,40.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,12.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,27.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,8.0
Romania,1.0,1.0,0.0,21.0,4.0,6.0,13.0,0.0,0.0,3.0,17.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,14.0,4.0,15.0,18.0,0.0,6.0,0.0,38.0,0.0,0.0,1.0,0.0,64.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,16.0,0.0,0.0,3.0,27.0,52.0,15.0,10.0,6.0,0.0,0.0,898.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,3.0,0.0,24.0,0.0,3.0,3.0,0.0,69.0,173.0,4.0,0.0,0.0,0.0,121.0,0.0,1.0,5.0,11.0,6.0,9.0,5.0,5.0,1.0,0.0,11.0,5.0,0.0,9.0,41.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,7.0,1.0,1.0,0.0,0.0,33.0,0.0,0.0,85.0,0.0,16.0,65.0,0.0,7.0,0.0,1.0,34.0
Ecuador,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,6.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,6.0,0.0,12.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,10.0,0.0,13.0,8.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,22.0,3.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,30.0
Belgium,1.0,3.0,0.0,36.0,1.0,3.0,15.0,0.0,4.0,0.0,0.0,4.0,7.0,10.0,0.0,55.0,0.0,3.0,1.0,1.0,10.0,3.0,12.0,9.0,0.0,110.0,2.0,15.0,1.0,0.0,11.0,0.0,43.0,0.0,0.0,0.0,0.0,74.0,10.0,0.0,5.0,0.0,0.0,0.0,7.0,14.0,18.0,0.0,21.0,3.0,0.0,0.0,91.0,0.0,0.0,0.0,76.0,0.0,24.0,1.0,2.0,0.0,3.0,0.0,3.0,25.0,0.0,111.0,3.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,1.0,1.0,13.0,1.0,7.0,4.0,0.0,0.0,12.0,14.0,1.0,9.0,28.0,0.0,3.0,0.0,1.0,14.0,3.0,1.0,0.0,20.0,8.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,47.0,0.0,2.0,5.0,0.0,3.0,0.0,1.0,13.0
Malaysia,1.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,3.0,0.0,36.0,0.0,11.0,0.0,1.0,8.0,0.0,37.0,17.0,0.0,26.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,54.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,10.0,13.0,0.0,3.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0,126.0,0.0,2.0,0.0,28.0,0.0,3.0,0.0,1.0,5.0,6.0,2.0,0.0,29.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,27.0
Congo,1.0,6.0,0.0,7.0,2.0,0.0,4.0,0.0,0.0,3.0,6.0,32.0,2.0,79.0,7.0,98.0,27.0,20.0,0.0,0.0,0.0,1.0,33.0,18.0,1.0,5116.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,15.0,5.0,5.0,0.0,15.0,0.0,7.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,64.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,22.0,194.0,56.0,398.0,0.0,2.0,0.0,0.0,0.0,33.0,4.0,2.0,1.0,0.0,98.0,0.0,1.0,0.0,8.0,0.0,4.0,8.0,10.0,13.0,8.0,0.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,15.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,1.0,42.0,6.0,1.0,3.0,0.0,44.0,65.0
Chile,1.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,32.0,3.0,0.0,22.0,4.0,4.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,188.0,0.0,21.0,12.0,6.0,0.0,5.0,1.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,52.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,12.0,25.0,6.0,0.0,0.0,3.0,3.0,31.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,36.0
Hong Kong,1.0,1.0,0.0,50.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,61.0,0.0,13.0,1.0,2.0,196.0,0.0,24.0,0.0,0.0,42.0,0.0,7.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,25.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,27.0,7.0,31.0,0.0,0.0,0.0,0.0,185.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,6.0,1.0,184.0,2.0,1.0,0.0,0.0,0.0,45.0,1.0,6.0,7.0,5.0,2.0,1.0,8.0,3.0,0.0,0.0,3.0,8.0,47.0,3.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,83.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,13.0,0.0,5.0,0.0,3.0,15.0
