,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Norway,3.0,1.0,0.0,26.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,3.0,12.0,4.0,5.0,25.0,0.0,666.0,0.0,0.0,26.0,1.0,2.0,9.0,0.0,23.0,0.0,18.0,0.0,0.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,4.0,5.0,0.0,2.0,17.0,17.0,26.0,0.0,4.0,0.0,0.0,0.0,65.0,0.0,0.0,3.0,8.0,0.0,1.0,2.0,0.0,1.0,10.0,0.0,8.0,14.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,8.0,4.0,4.0,0.0,3.0,13.0,8.0,0.0,3.0,6.0,9.0,11.0,51.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0
Chile,1.0,0.0,0.0,13.0,2.0,1.0,9.0,0.0,0.0,5.0,1.0,1.0,0.0,4.0,0.0,8.0,0.0,1331.0,0.0,0.0,8.0,4.0,11.0,1.0,0.0,57.0,1.0,7.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,30.0,0.0,20.0,54.0,6.0,0.0,6.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,9.0,10.0,1.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,12.0,11.0,2.0,0.0,5.0,1.0,11.0,7.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,29.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,16.0
Spain,37.0,16.0,2.0,32.0,18.0,61.0,128.0,0.0,9.0,23.0,34.0,20.0,11.0,74.0,2.0,116.0,5.0,10804.0,6.0,4.0,68.0,41.0,46.0,141.0,2.0,457.0,4.0,45.0,6.0,0.0,15.0,13.0,124.0,2.0,0.0,8.0,3.0,95.0,15.0,14.0,15.0,33.0,7.0,0.0,68.0,115.0,271.0,8.0,203.0,20.0,1.0,0.0,192.0,0.0,0.0,2.0,18.0,13.0,105.0,6.0,7.0,11.0,30.0,1.0,147.0,65.0,4.0,285.0,92.0,2.0,0.0,0.0,4.0,15.0,14.0,1.0,12.0,64.0,68.0,9.0,46.0,22.0,20.0,0.0,26.0,19.0,66.0,170.0,70.0,0.0,37.0,4.0,0.0,5.0,1.0,102.0,8.0,89.0,47.0,34.0,17.0,29.0,0.0,14.0,5.0,1.0,161.0,4.0,21.0,24.0,2.0,167.0,0.0,24.0,123.0
Italy,17.0,1.0,2.0,92.0,17.0,66.0,129.0,0.0,15.0,16.0,6.0,46.0,2.0,33.0,2.0,181.0,0.0,24367.0,1.0,2.0,92.0,46.0,68.0,83.0,2.0,371.0,5.0,96.0,16.0,0.0,16.0,3.0,616.0,2.0,0.0,15.0,0.0,86.0,49.0,7.0,7.0,25.0,5.0,0.0,23.0,171.0,338.0,2.0,434.0,362.0,0.0,1.0,330.0,2.0,1.0,0.0,85.0,23.0,63.0,6.0,5.0,2.0,30.0,0.0,113.0,289.0,4.0,548.0,68.0,9.0,0.0,0.0,8.0,76.0,5.0,14.0,75.0,88.0,109.0,3.0,48.0,39.0,38.0,0.0,75.0,136.0,1032.0,93.0,62.0,4.0,34.0,4.0,0.0,10.0,6.0,187.0,2.0,172.0,34.0,11.0,39.0,17.0,0.0,29.0,0.0,2.0,81.0,6.0,82.0,56.0,0.0,63.0,0.0,16.0,134.0
Viet Nam,1.0,1.0,3.0,60.0,0.0,18.0,0.0,0.0,2.0,0.0,6.0,14.0,3.0,0.0,0.0,55.0,0.0,1403.0,0.0,0.0,30.0,2.0,18.0,2.0,2.0,33.0,0.0,22.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,11.0,7.0,0.0,1.0,4.0,2.0,0.0,2.0,32.0,100.0,1.0,8.0,3.0,0.0,0.0,55.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,35.0,20.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,7.0,611.0,2.0,0.0,1.0,1.0,2.0,0.0,14.0,1.0,45.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,11.0,3.0,0.0,0.0,1.0,1.0,26.0
Germany,3.0,4.0,5.0,575.0,51.0,30.0,7.0,0.0,18.0,1.0,38.0,28.0,19.0,37.0,3.0,312.0,5.0,7884.0,1.0,34.0,120.0,49.0,58.0,51.0,3.0,328.0,29.0,190.0,47.0,0.0,50.0,2.0,211.0,2.0,0.0,2.0,11.0,98.0,26.0,1.0,33.0,13.0,98.0,2.0,74.0,170.0,109.0,19.0,199.0,53.0,2.0,0.0,884.0,1.0,0.0,2.0,37.0,7.0,35.0,24.0,3.0,1.0,90.0,0.0,102.0,151.0,79.0,739.0,21.0,8.0,1.0,0.0,6.0,42.0,9.0,24.0,31.0,57.0,67.0,6.0,53.0,142.0,8.0,5.0,44.0,40.0,163.0,81.0,212.0,0.0,14.0,23.0,2.0,5.0,19.0,76.0,0.0,114.0,16.0,16.0,93.0,30.0,21.0,15.0,4.0,1.0,188.0,38.0,69.0,40.0,7.0,105.0,0.0,22.0,160.0
Romania,1.0,1.0,0.0,171.0,6.0,39.0,14.0,0.0,2.0,0.0,2.0,3.0,0.0,6.0,0.0,21.0,0.0,1908.0,0.0,10.0,26.0,10.0,0.0,2.0,0.0,56.0,1.0,12.0,2.0,0.0,1.0,1.0,41.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,20.0,0.0,2.0,18.0,18.0,0.0,16.0,3.0,0.0,0.0,189.0,0.0,0.0,0.0,1.0,0.0,18.0,13.0,1.0,0.0,30.0,0.0,13.0,10.0,0.0,32.0,3.0,5.0,0.0,0.0,18.0,47.0,2.0,1.0,0.0,14.0,31.0,0.0,5.0,2.0,3.0,0.0,15.0,8.0,2497.0,22.0,30.0,0.0,3.0,0.0,0.0,3.0,0.0,10.0,1.0,17.0,10.0,0.0,3.0,3.0,0.0,15.0,1.0,0.0,54.0,0.0,7.0,26.0,4.0,20.0,0.0,1.0,17.0
India,5.0,21.0,2.0,279.0,2.0,10.0,15.0,0.0,40.0,0.0,17.0,150.0,2.0,106.0,25.0,596.0,3.0,12467.0,0.0,2.0,271.0,113.0,431.0,40.0,4.0,626.0,4.0,438.0,12.0,0.0,8.0,8.0,111.0,3.0,0.0,42.0,8.0,166.0,54.0,2.0,13.0,27.0,6.0,10.0,71.0,316.0,184.0,3.0,112.0,30.0,7.0,0.0,1185.0,43.0,0.0,3.0,6.0,49.0,185.0,60.0,0.0,3.0,21.0,0.0,258.0,380.0,11.0,1290.0,12.0,2.0,11.0,271.0,4.0,144.0,37.0,23.0,78.0,345.0,344.0,1.0,88.0,66.0,14.0,0.0,219.0,20.0,256.0,67.0,93.0,0.0,7.0,7.0,2.0,22.0,9.0,117.0,15.0,438.0,24.0,19.0,25.0,21.0,1.0,3.0,13.0,1.0,332.0,0.0,259.0,80.0,52.0,16.0,0.0,116.0,632.0
Japan,6.0,15.0,2.0,49.0,6.0,9.0,1.0,1.0,15.0,2.0,2.0,1.0,8.0,6.0,3.0,123.0,0.0,4008.0,0.0,0.0,83.0,35.0,41.0,9.0,0.0,77.0,0.0,74.0,75.0,0.0,15.0,0.0,92.0,2.0,0.0,8.0,0.0,104.0,15.0,4.0,5.0,6.0,1.0,0.0,7.0,38.0,159.0,18.0,60.0,17.0,2.0,0.0,353.0,7.0,3.0,12.0,4.0,1.0,23.0,3.0,0.0,0.0,12.0,0.0,43.0,43.0,0.0,115.0,9.0,0.0,2.0,0.0,16.0,45.0,11.0,3.0,17.0,212.0,27.0,0.0,4.0,25.0,7.0,2.0,17.0,22.0,85.0,28.0,11.0,1.0,2.0,7.0,0.0,6.0,4.0,12.0,5.0,126.0,12.0,6.0,16.0,19.0,0.0,1.0,1.0,0.0,36.0,0.0,18.0,18.0,1.0,4.0,0.0,9.0,216.0
Slovakia,1.0,0.0,1.0,17.0,2.0,7.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,27.0,0.0,904.0,0.0,2.0,12.0,9.0,5.0,0.0,1.0,41.0,3.0,2.0,2.0,0.0,6.0,0.0,23.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,7.0,0.0,1.0,17.0,32.0,0.0,23.0,8.0,0.0,0.0,66.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,24.0,0.0,15.0,20.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,8.0,10.0,2.0,0.0,5.0,1.0,2.0,5.0,3.0,20.0,0.0,12.0,0.0,3.0,0.0,0.0,1.0,4.0,4.0,0.0,11.0,8.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,20.0,1.0,4.0,3.0,1.0,6.0,0.0,2.0,37.0
