,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Kazakhstan,0.0,5.0,0.0,4.0,1.0,2.0,5.0,0.0,1.0,1.0,10.0,1.0,6.0,3.0,1.0,38.0,3.0,2.0,0.0,0.0,2.0,1.0,15.0,15.0,0.0,16.0,2.0,1.0,3.0,1.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,5.0,1.0,0.0,0.0,9.0,8.0,5.0,0.0,6.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,80.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,2.0,14.0,0.0,11.0,5.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,8.0,5.0,0.0,0.0,0.0,10.0,4.0
Ukraine,0.0,1.0,0.0,3.0,2.0,46.0,1.0,0.0,0.0,0.0,8.0,2.0,4.0,7.0,0.0,85.0,0.0,0.0,3.0,0.0,2.0,6.0,13.0,39.0,0.0,145.0,0.0,4.0,5.0,5.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,127.0,0.0,0.0,3.0,4.0,0.0,0.0,13.0,20.0,17.0,0.0,6.0,2.0,0.0,0.0,314.0,0.0,0.0,1.0,3.0,0.0,5.0,11.0,0.0,0.0,31.0,0.0,5.0,4.0,0.0,911.0,6.0,1.0,0.0,0.0,26.0,3.0,1.0,5.0,2.0,1.0,12.0,0.0,98.0,0.0,2.0,0.0,32.0,52.0,1.0,15.0,27.0,2.0,8.0,1.0,0.0,2.0,5.0,8.0,0.0,15.0,21.0,0.0,25.0,8.0,1.0,1.0,2.0,0.0,128.0,14.0,9.0,12.0,0.0,6.0,0.0,28.0,18.0
Algeria,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,51.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,37.0,0.0,12.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,39.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,84.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,8.0,13.0,0.0,0.0,0.0,3.0,4.0
Uganda,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.0,8.0,41.0,3.0,2.0,0.0,0.0,6.0,4.0,8.0,2.0,0.0,1576.0,0.0,19.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,10.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,40.0,21.0,0.0,3.0,0.0,1.0,0.0,93.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,15.0,52.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,4.0,36.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,13.0,14.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,27.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,18.0,24.0,0.0,10.0,0.0,11.0,80.0
"Iran, Islamic Republic of",0.0,13.0,1.0,8.0,0.0,1.0,24.0,0.0,2.0,0.0,1.0,0.0,7.0,59.0,0.0,63.0,1.0,0.0,0.0,0.0,29.0,1.0,5.0,268.0,0.0,33.0,0.0,18.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,46.0,66.0,1.0,24.0,1.0,0.0,0.0,57.0,2.0,8.0,0.0,18.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,15.0,1.0,34.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,31.0,0.0,47.0,1.0,1.0,0.0,0.0,10.0,3.0,13.0,14.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,33.0,1.0,4.0,48.0,0.0,9.0,0.0,3.0,0.0,0.0,2.0,4.0
Argentina,0.0,3.0,1.0,6.0,1.0,40.0,88.0,0.0,1.0,33.0,12.0,13.0,5.0,7.0,1.0,11.0,0.0,2.0,1.0,0.0,20.0,3.0,153.0,9.0,1.0,46.0,10.0,5.0,0.0,0.0,0.0,4.0,47.0,1.0,0.0,3.0,0.0,22.0,14.0,2.0,3.0,2.0,141.0,0.0,35.0,65.0,64.0,0.0,22.0,0.0,1.0,0.0,79.0,0.0,0.0,0.0,3.0,3.0,290.0,20.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,84.0,14.0,2.0,0.0,0.0,1.0,7.0,0.0,2.0,4.0,17.0,17.0,0.0,23.0,16.0,4.0,0.0,33.0,14.0,2.0,94.0,24.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,94.0,36.0,0.0,6.0,6.0,0.0,32.0,8.0,1.0,64.0,0.0,11.0,15.0,0.0,0.0,0.0,26.0,97.0
Rwanda,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,10.0,13.0,1.0,1.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,3.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,12.0,0.0,0.0,0.0,4.0,13.0
Thailand,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,46.0,3.0,13.0,0.0,36.0,0.0,2.0,0.0,1.0,13.0,3.0,209.0,3.0,0.0,61.0,8.0,22.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,26.0,1.0,6.0,4.0,0.0,0.0,0.0,19.0,6.0,13.0,0.0,33.0,4.0,0.0,0.0,49.0,6.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,8.0,0.0,1.0,52.0,0.0,49.0,4.0,6.0,0.0,1.0,1.0,6.0,0.0,2.0,2.0,1.0,5.0,0.0,25.0,1.0,0.0,0.0,7.0,1.0,1.0,25.0,7.0,0.0,2.0,9.0,0.0,8.0,2.0,0.0,1.0,11.0,20.0,0.0,4.0,7.0,0.0,3.0,4.0,0.0,33.0,0.0,28.0,0.0,0.0,1.0,0.0,32.0,52.0
Kyrgyzstan,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
Mali,0.0,1.0,0.0,2.0,3.0,1.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,10.0,0.0,47.0,0.0,1.0,0.0,1.0,3.0,7.0,6.0,63.0,2.0,60.0,1.0,5.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,8.0,0.0,8.0,6.0,2.0,2.0,13.0,1.0,0.0,5.0,9.0,8.0,0.0,10.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,10.0,1.0,14.0,4.0,0.0,0.0,15.0,0.0,0.0,122.0,0.0,113.0,18.0,1.0,0.0,0.0,8.0,0.0,16.0,1.0,8.0,3.0,5.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,5.0,7.0,6.0,0.0,0.0,7.0,0.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,4.0,1.0,6.0,3.0,1.0,0.0,37.0,0.0,18.0,16.0,3.0,2.0,0.0,6.0,2.0
"Korea, Republic of",0.0,2.0,0.0,26.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,11.0,0.0,4.0,0.0,0.0,48.0,1.0,6.0,5.0,0.0,18.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,1.0,5.0,0.0,4.0,5.0,11.0,1.0,7.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
Yemen,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,830.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,185.0,0.0,64.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,108.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,11.0,0.0,53.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0
Nigeria,0.0,2.0,2.0,25.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,11.0,119.0,0.0,111.0,0.0,11.0,0.0,1.0,25.0,8.0,5.0,8.0,4.0,233.0,1.0,30.0,1.0,0.0,1.0,2.0,10.0,1.0,0.0,6.0,0.0,49.0,18.0,0.0,12.0,1.0,16.0,0.0,35.0,94.0,55.0,3.0,26.0,4.0,6.0,0.0,49.0,0.0,0.0,213.0,2.0,0.0,77.0,0.0,5.0,1.0,3.0,0.0,13.0,277.0,2.0,129.0,59.0,2.0,0.0,0.0,1.0,4.0,13.0,2.0,3.0,4.0,246.0,0.0,4.0,13.0,0.0,0.0,6.0,7.0,244.0,73.0,9.0,0.0,1.0,12.0,0.0,3.0,1.0,7.0,0.0,12.0,17.0,1.0,8.0,1.0,7.0,1.0,8.0,1.0,92.0,0.0,127.0,36.0,0.0,2.0,1.0,78.0,19.0
Hungary,0.0,31.0,0.0,26.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,7.0,0.0,17.0,1.0,6.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,21.0,60.0,19.0,2.0,19.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,23.0,0.0,5.0,1.0,0.0,9.0,0.0,0.0,3.0,0.0,35.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,32.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,11.0,0.0,5.0,0.0,2.0,35.0,0.0,2.0,65.0
Namibia,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0
Iraq,0.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,14.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,200.0,0.0,28.0,2.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,37.0,7.0,2.0,6.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,24.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,1.0,17.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,43.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,8.0,2.0,1.0,0.0,0.0,6.0
South Africa,0.0,3.0,2.0,7.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,3.0,3.0,19.0,3.0,42.0,2.0,0.0,0.0,0.0,12.0,5.0,6.0,0.0,1.0,96.0,1.0,12.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,1.0,1.0,23.0,4.0,0.0,7.0,1.0,1.0,0.0,6.0,22.0,24.0,3.0,9.0,1.0,1.0,0.0,52.0,0.0,1.0,0.0,7.0,1.0,3.0,1.0,4.0,0.0,2.0,0.0,1.0,54.0,1.0,21.0,13.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,1.0,7.0,1.0,9.0,3.0,0.0,0.0,6.0,1.0,104.0,29.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,32.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,122.0,0.0,18.0,4.0,0.0,6.0,0.0,11.0,8.0
Belarus,0.0,17.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,13.0,13.0,1.0,1.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,5.0,0.0,63.0,10.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,2.0,3.0,7.0,0.0,28.0,0.0,0.0,0.0,4.0,6.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.0,1.0,1.0,3.0,0.0,2.0,4.0,0.0,48.0,1.0,7.0,10.0,0.0,0.0,0.0,9.0,5.0
Finland,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,7.0,0.0,16.0,0.0,2.0,0.0,1.0,6.0,1.0,0.0,2.0,0.0,10.0,8.0,21.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,4.0,0.0,8.0,1.0,0.0,0.0,19.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,43.0,3.0,2.0,0.0,0.0,15.0,1.0,0.0,1.0,3.0,0.0,18.0,0.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Turkmenistan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0
Cuba,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.0,13.0,0.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,45.0,12.0,0.0,45.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,6.0,1.0,0.0,4.0,18.0,4.0,0.0,19.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,39.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,55.0
Central African Republic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,1.0,0.0,0.0,0.0,18.0,5.0
Indonesia,0.0,7.0,1.0,10.0,4.0,18.0,8.0,0.0,3.0,4.0,1.0,15.0,8.0,5.0,0.0,56.0,0.0,4.0,0.0,0.0,10.0,8.0,107.0,6.0,1.0,52.0,1.0,4.0,3.0,0.0,1.0,0.0,42.0,3.0,0.0,2.0,0.0,22.0,2.0,2.0,1.0,5.0,1.0,1.0,52.0,59.0,42.0,1.0,36.0,4.0,2.0,0.0,83.0,1.0,0.0,1.0,5.0,4.0,23.0,9.0,0.0,0.0,0.0,0.0,13.0,58.0,1.0,108.0,22.0,0.0,0.0,1.0,1.0,1.0,0.0,12.0,2.0,8.0,30.0,0.0,58.0,2.0,4.0,0.0,16.0,24.0,3.0,38.0,9.0,0.0,4.0,1.0,0.0,2.0,2.0,6.0,0.0,36.0,15.0,0.0,9.0,7.0,0.0,3.0,5.0,0.0,45.0,0.0,13.0,4.0,0.0,0.0,0.0,17.0,48.0
Mozambique,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,19.0,0.0,3.0,1382.0,4.0,43.0,0.0,0.0,0.0,8.0,5.0,0.0,7.0,0.0,0.0,102.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,656.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,27.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,34.0,0.0,89.0,7.0,0.0,0.0,0.0,9.0,22.0
Lesotho,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Guinea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,11.0,272.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,12.0,1.0,0.0,0.0,0.0,5.0,6.0
Jersey,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,38.0,0.0,2.0,29.0,0.0,11.0,3.0,2.0,0.0,36.0,8.0,0.0,6.0,3.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,17.0,0.0,4.0,3.0,0.0,0.0,27.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,22.0,0.0,1.0,4.0,0.0,45.0,5.0,3.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,0.0,5.0,0.0,4.0,7.0,2.0,0.0,3.0,11.0,0.0,4.0,29.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,8.0
