,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Argentina,5.0,2.0,0.0,49.0,11.0,121.0,78.0,14.0,2.0,59.0,31.0,18.0,4.0,15.0,1.0,1165.0,0.0,17393.0,10.0,0.0,27.0,21.0,191.0,27.0,0.0,105.0,9.0,15.0,8.0,0.0,6.0,3.0,30.0,2.0,0.0,5.0,0.0,53.0,8.0,0.0,4.0,18.0,77.0,0.0,180.0,115.0,60.0,2.0,33.0,9.0,1.0,0.0,211.0,0.0,0.0,0.0,4.0,11.0,666.0,8.0,0.0,2.0,2.0,0.0,13.0,23.0,0.0,234.0,9.0,3.0,1.0,0.0,5.0,3.0,1.0,63.0,8.0,85.0,41.0,16.0,53.0,63.0,4.0,0.0,36.0,43.0,43.0,90.0,39.0,0.0,18.0,1.0,0.0,4.0,2.0,22.0,0.0,258.0,20.0,6.0,7.0,5.0,0.0,54.0,3.0,1.0,40.0,0.0,36.0,41.0,0.0,1.0,0.0,41.0,84.0
Chile,1.0,1.0,1.0,11.0,2.0,0.0,11.0,0.0,3.0,6.0,1.0,1.0,0.0,6.0,0.0,18.0,0.0,1184.0,0.0,0.0,3.0,7.0,3.0,5.0,1.0,5.0,3.0,11.0,1.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,20.0,0.0,34.0,7.0,11.0,0.0,7.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,15.0,3.0,0.0,3.0,1.0,10.0,12.0,10.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,20.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,7.0
Philippines,1.0,0.0,2.0,153.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,32.0,2.0,44.0,0.0,1183.0,1.0,0.0,14.0,1.0,163.0,2.0,0.0,48.0,0.0,531.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,15.0,2.0,1.0,0.0,3.0,4.0,0.0,3.0,19.0,46.0,0.0,2.0,4.0,7.0,0.0,101.0,4.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,58.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,24.0,15.0,20.0,0.0,25.0,3.0,0.0,0.0,11.0,9.0,4.0,13.0,1.0,13.0,0.0,25.0,0.0,0.0,3.0,4.0,1.0,12.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,15.0,0.0,14.0,2.0,0.0,1.0,0.0,3.0,9.0
"Congo, The Democratic Republic of the",1.0,2.0,0.0,36.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,38.0,4.0,6.0,49.0,353.0,2.0,0.0,6.0,4.0,9.0,1.0,0.0,535.0,1.0,30.0,5.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,4.0,38.0,5.0,0.0,6.0,2.0,2.0,0.0,24.0,12.0,6.0,4.0,37.0,7.0,0.0,1.0,44.0,0.0,0.0,0.0,2.0,0.0,13.0,1.0,0.0,0.0,2.0,0.0,18.0,30.0,3.0,94.0,12.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0,10.0,39.0,8.0,3.0,14.0,0.0,1.0,8.0,5.0,15.0,13.0,10.0,0.0,2.0,0.0,0.0,7.0,12.0,26.0,0.0,29.0,1.0,1.0,0.0,7.0,0.0,6.0,5.0,0.0,39.0,0.0,18.0,5.0,0.0,0.0,5.0,13.0,18.0
Australia,0.0,22.0,5.0,132.0,2.0,5.0,16.0,32.0,13.0,3.0,21.0,21.0,141.0,5.0,6.0,55.0,0.0,2803.0,2.0,0.0,64.0,23.0,38.0,20.0,1.0,80.0,7.0,130.0,7.0,0.0,15.0,48.0,70.0,1.0,0.0,12.0,2.0,80.0,14.0,2.0,43.0,9.0,4.0,67.0,28.0,103.0,120.0,2.0,49.0,21.0,20.0,0.0,603.0,483.0,0.0,2.0,6.0,2.0,33.0,30.0,2.0,1.0,5.0,0.0,47.0,85.0,4.0,248.0,49.0,1.0,0.0,8.0,16.0,38.0,11.0,8.0,23.0,30.0,31.0,8.0,23.0,106.0,4.0,0.0,26.0,7.0,44.0,85.0,33.0,10.0,12.0,9.0,0.0,11.0,2.0,50.0,2.0,204.0,20.0,21.0,1.0,43.0,4.0,3.0,6.0,3.0,27.0,0.0,36.0,30.0,1.0,24.0,0.0,43.0,112.0
Bulgaria,0.0,6.0,0.0,175.0,1.0,5.0,13.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,26.0,1.0,1670.0,0.0,0.0,8.0,15.0,2.0,4.0,0.0,23.0,3.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,3.0,2.0,0.0,5.0,21.0,8.0,2.0,11.0,5.0,0.0,0.0,458.0,0.0,0.0,1.0,7.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,9.0,2.0,0.0,163.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,2.0,6.0,12.0,1.0,13.0,2.0,1.0,0.0,52.0,1.0,14.0,6.0,17.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,12.0,20.0,2.0,2.0,3.0,0.0,7.0,0.0,0.0,25.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,4.0
Turkey,0.0,14.0,0.0,69.0,2.0,12.0,6.0,0.0,2.0,2.0,30.0,1.0,4.0,3.0,0.0,18.0,8.0,1221.0,2.0,0.0,37.0,9.0,5.0,56.0,1.0,17.0,10.0,14.0,6.0,0.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,221.0,26.0,0.0,3.0,2.0,1.0,0.0,28.0,49.0,29.0,4.0,67.0,3.0,1.0,0.0,123.0,0.0,2.0,0.0,1.0,2.0,20.0,3.0,0.0,0.0,2.0,0.0,10.0,27.0,3.0,80.0,34.0,15.0,0.0,0.0,24.0,13.0,0.0,31.0,1.0,25.0,22.0,0.0,37.0,285.0,2.0,0.0,18.0,19.0,51.0,58.0,45.0,0.0,45.0,3.0,0.0,2.0,16.0,51.0,0.0,44.0,4.0,0.0,21.0,9.0,0.0,0.0,0.0,0.0,72.0,1.0,25.0,13.0,0.0,16.0,14.0,10.0,22.0
Kyrgyzstan,0.0,7.0,0.0,2.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,7.0,0.0,4.0,0.0,0.0,0.0,4.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,41.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,12.0,0.0,549.0,9.0,14.0,3.0,0.0,30.0,3.0,5.0,7.0,16.0,5.0,7.0,276.0,0.0,6115.0,2.0,14.0,158.0,42.0,14.0,14.0,1.0,208.0,1.0,83.0,5.0,0.0,31.0,1.0,59.0,1.0,0.0,1.0,1.0,58.0,34.0,5.0,8.0,3.0,4.0,0.0,40.0,76.0,96.0,2.0,72.0,47.0,0.0,0.0,501.0,1.0,0.0,0.0,19.0,2.0,14.0,19.0,2.0,0.0,73.0,1.0,56.0,44.0,3.0,142.0,10.0,5.0,0.0,0.0,65.0,33.0,5.0,6.0,14.0,63.0,36.0,0.0,77.0,97.0,1.0,6.0,14.0,7.0,76.0,55.0,86.0,2.0,3.0,4.0,0.0,11.0,7.0,98.0,1.0,147.0,31.0,48.0,11.0,17.0,0.0,1.0,4.0,0.0,51.0,1.0,32.0,19.0,1.0,17.0,0.0,13.0,74.0
Germany,0.0,20.0,14.0,1279.0,33.0,43.0,10.0,1.0,36.0,3.0,70.0,42.0,41.0,36.0,10.0,160.0,6.0,10842.0,3.0,54.0,44.0,161.0,41.0,105.0,7.0,447.0,29.0,173.0,39.0,0.0,128.0,4.0,166.0,2.0,0.0,5.0,14.0,128.0,20.0,0.0,21.0,24.0,12.0,0.0,258.0,197.0,188.0,32.0,288.0,151.0,5.0,0.0,1136.0,4.0,5.0,8.0,6.0,6.0,64.0,9.0,16.0,0.0,108.0,0.0,79.0,87.0,85.0,1434.0,34.0,5.0,0.0,1.0,37.0,52.0,3.0,20.0,35.0,56.0,105.0,4.0,31.0,167.0,14.0,60.0,41.0,20.0,104.0,63.0,277.0,0.0,11.0,19.0,2.0,9.0,24.0,142.0,1.0,170.0,32.0,22.0,16.0,39.0,0.0,19.0,1.0,2.0,146.0,11.0,34.0,49.0,1.0,82.0,0.0,52.0,118.0
Namibia,0.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,30.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,20.0,2.0,42.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,12.0,8.0,6.0,24.0,478.0,0.0,0.0,0.0,0.0,5.0,264.0,0.0,102.0,3.0,110.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,1.0,73.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,2.0,4.0,9.0,0.0,0.0,2.0,0.0,8.0,10.0,17.0,33.0,1.0,3.0,0.0,0.0,0.0,11.0,1.0,0.0,7.0,5.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,15.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,20.0,0.0,11.0,21.0,0.0,0.0,6.0,22.0,0.0
Haiti,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,72.0,0.0,2.0,0.0,70.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0
China,0.0,35.0,3.0,845.0,2.0,18.0,16.0,0.0,34.0,4.0,11.0,7.0,32.0,36.0,4.0,301.0,1.0,12539.0,15.0,4.0,176.0,80.0,57.0,72.0,0.0,675.0,91.0,274.0,53.0,1.0,39.0,2.0,362.0,2.0,0.0,8.0,6.0,289.0,32.0,2.0,10.0,19.0,49.0,6.0,65.0,319.0,242.0,106.0,225.0,29.0,8.0,0.0,1220.0,41.0,18.0,8.0,8.0,7.0,27.0,12.0,7.0,3.0,19.0,2.0,597.0,220.0,35.0,753.0,55.0,21.0,8.0,2.0,18.0,2770.0,5.0,22.0,84.0,8175.0,83.0,2.0,56.0,116.0,15.0,3.0,43.0,19.0,885.0,87.0,127.0,2.0,6.0,35.0,0.0,43.0,2.0,90.0,1.0,288.0,51.0,31.0,22.0,29.0,2.0,10.0,1.0,4.0,166.0,1.0,56.0,260.0,1.0,3.0,1.0,34.0,164.0
Sweden,0.0,3.0,3.0,95.0,1.0,2.0,3.0,0.0,17.0,8.0,0.0,3.0,20.0,10.0,1.0,33.0,5.0,1075.0,0.0,1.0,20.0,14.0,1.0,13.0,0.0,59.0,4.0,33.0,4.0,0.0,8.0,1.0,29.0,0.0,0.0,0.0,1.0,9.0,7.0,2.0,5.0,6.0,8.0,0.0,8.0,18.0,19.0,1.0,24.0,2.0,0.0,0.0,170.0,0.0,1.0,0.0,12.0,1.0,3.0,0.0,0.0,0.0,21.0,0.0,27.0,91.0,0.0,80.0,2.0,0.0,0.0,0.0,28.0,5.0,1.0,2.0,28.0,6.0,9.0,0.0,19.0,134.0,4.0,1.0,6.0,4.0,17.0,8.0,29.0,0.0,0.0,4.0,0.0,6.0,2.0,23.0,0.0,39.0,20.0,2.0,0.0,3.0,0.0,8.0,0.0,0.0,28.0,4.0,8.0,8.0,0.0,0.0,0.0,5.0,55.0
Ethiopia,0.0,5.0,4.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,17.0,2.0,2.0,3.0,235.0,0.0,1.0,4.0,2.0,1.0,2.0,1.0,33.0,0.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,6.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,6.0,7.0,0.0,11.0,5.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,96.0,1.0,87.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,8.0,0.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,10.0,6.0,0.0,1.0,21.0,0.0,4.0,7.0,13.0,0.0,2.0,1.0,1.0,3.0,3.0,6.0,0.0,0.0,5.0,29.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0,9.0
Botswana,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,13.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0
Afghanistan,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,8.0,1.0,398.0,0.0,0.0,10.0,12.0,53.0,26.0,0.0,35.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,20.0,5.0,2.0,1.0,3.0,1.0,0.0,4.0,9.0,7.0,0.0,3.0,0.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,648.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,37.0,311.0,0.0,12.0,3.0,0.0,0.0,6.0,19.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,22.0,0.0,7.0,0.0,2.0,0.0,0.0,1.0,7.0
"Korea, Republic of",0.0,3.0,0.0,106.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,19.0,1.0,518.0,1.0,0.0,32.0,7.0,1.0,0.0,0.0,36.0,0.0,81.0,3.0,0.0,3.0,2.0,19.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,3.0,5.0,0.0,5.0,52.0,27.0,5.0,7.0,4.0,5.0,0.0,112.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,90.0,5.0,1.0,34.0,2.0,0.0,0.0,0.0,1.0,13.0,2.0,0.0,4.0,54.0,3.0,2.0,1.0,17.0,1.0,0.0,8.0,0.0,17.0,5.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,12.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,23.0,15.0,0.0,11.0,0.0,1.0,5.0
Ukraine,0.0,196.0,0.0,756.0,1.0,67.0,81.0,0.0,2.0,2.0,12.0,2.0,3.0,114.0,1.0,93.0,4.0,8130.0,0.0,10.0,321.0,7.0,11.0,528.0,8.0,311.0,39.0,37.0,14.0,1.0,6.0,2.0,38.0,0.0,0.0,1.0,6.0,167.0,22.0,1.0,3.0,76.0,64.0,0.0,48.0,128.0,78.0,4.0,26.0,6.0,4.0,0.0,579.0,1.0,1.0,1.0,3.0,0.0,23.0,63.0,0.0,2.0,5.0,0.0,42.0,72.0,4.0,1425.0,4.0,6.0,0.0,1.0,7.0,11.0,0.0,64.0,1.0,27.0,553.0,4.0,227.0,10.0,14.0,0.0,66.0,188.0,24.0,54.0,19.0,0.0,8.0,0.0,0.0,8.0,1.0,73.0,0.0,34.0,23.0,3.0,24.0,12.0,2.0,2.0,2.0,0.0,270.0,22.0,85.0,28.0,1.0,5.0,0.0,14.0,28.0
South Africa,0.0,4.0,2.0,74.0,3.0,1.0,5.0,0.0,20.0,2.0,9.0,12.0,0.0,15.0,9.0,132.0,0.0,3372.0,0.0,0.0,53.0,8.0,12.0,8.0,1.0,368.0,1.0,158.0,2.0,0.0,21.0,0.0,45.0,0.0,0.0,2.0,0.0,44.0,10.0,9.0,5.0,3.0,1.0,0.0,4.0,26.0,23.0,1.0,44.0,4.0,0.0,0.0,517.0,2.0,1.0,13.0,5.0,0.0,5.0,8.0,6.0,1.0,3.0,0.0,181.0,119.0,33.0,261.0,15.0,0.0,0.0,0.0,18.0,13.0,3.0,2.0,7.0,71.0,49.0,0.0,25.0,78.0,4.0,0.0,11.0,9.0,172.0,28.0,27.0,1.0,3.0,4.0,1.0,10.0,2.0,34.0,0.0,126.0,1.0,19.0,5.0,24.0,1.0,0.0,3.0,0.0,117.0,0.0,81.0,9.0,2.0,7.0,0.0,23.0,42.0
Kazakhstan,0.0,9.0,0.0,15.0,2.0,0.0,16.0,0.0,1.0,1.0,3.0,2.0,8.0,3.0,2.0,9.0,7.0,268.0,0.0,0.0,46.0,7.0,2.0,18.0,0.0,31.0,4.0,3.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,7.0,6.0,2.0,8.0,4.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,9.0,12.0,0.0,22.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,113.0,3.0,0.0,19.0,6.0,1.0,0.0,1.0,0.0,1.0,6.0,10.0,0.0,1.0,2.0,0.0,2.0,6.0,1.0,1.0,4.0,7.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,14.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,3.0
Kenya,0.0,1.0,0.0,6.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,17.0,1.0,13.0,25.0,7.0,1.0,370.0,0.0,0.0,5.0,3.0,15.0,0.0,0.0,77.0,1.0,9.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,17.0,4.0,0.0,7.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,2.0,5.0,1.0,0.0,10.0,0.0,0.0,2.0,0.0,4.0,18.0,0.0,0.0,1.0,2.0,0.0,5.0,158.0,19.0,41.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,8.0,11.0,14.0,2.0,11.0,19.0,3.0,0.0,7.0,5.0,2.0,26.0,3.0,0.0,0.0,13.0,0.0,1.0,4.0,1.0,0.0,9.0,21.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,32.0,0.0,21.0,2.0,7.0,0.0,0.0,80.0,22.0
Uganda,0.0,5.0,1.0,8.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,7.0,5.0,0.0,220.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0,77.0,0.0,9.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,8.0,1.0,4.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,6.0,79.0,3.0,32.0,12.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,6.0,79.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,15.0,11.0,0.0,0.0,11.0,2.0,0.0,12.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,19.0,8.0,0.0,5.0,0.0,34.0,18.0
Hungary,0.0,1.0,0.0,435.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,12.0,0.0,8.0,1.0,360.0,0.0,0.0,7.0,3.0,14.0,7.0,0.0,48.0,1.0,3.0,2.0,0.0,5.0,1.0,7.0,0.0,0.0,1.0,41.0,2.0,0.0,1.0,2.0,3.0,17.0,0.0,2.0,14.0,15.0,1.0,8.0,2.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,18.0,3.0,29.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,195.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,15.0
Zimbabwe,0.0,7.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,244.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,12.0,1.0,17.0,7.0,0.0,9.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,19.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,17.0,2.0,0.0,0.0,17.0,0.0,3.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,14.0,0.0,55.0,0.0,0.0,0.0,0.0,4.0,2.0
Lithuania,0.0,7.0,0.0,9.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,307.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,7.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,8.0,7.0,0.0,4.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mexico,0.0,3.0,3.0,196.0,7.0,10.0,28.0,0.0,49.0,32.0,23.0,17.0,8.0,56.0,5.0,70.0,0.0,3328.0,4.0,0.0,23.0,17.0,125.0,25.0,1.0,68.0,2.0,21.0,8.0,1.0,6.0,5.0,34.0,0.0,0.0,3.0,2.0,61.0,4.0,1.0,7.0,22.0,2.0,0.0,164.0,127.0,105.0,5.0,68.0,4.0,2.0,0.0,125.0,0.0,0.0,0.0,0.0,3.0,43.0,6.0,0.0,3.0,3.0,0.0,19.0,46.0,0.0,163.0,2.0,3.0,0.0,0.0,13.0,2.0,13.0,7.0,3.0,22.0,12.0,0.0,58.0,13.0,42.0,0.0,74.0,18.0,24.0,123.0,45.0,2.0,13.0,2.0,0.0,15.0,3.0,44.0,7.0,127.0,33.0,3.0,6.0,8.0,1.0,5.0,7.0,1.0,33.0,1.0,38.0,39.0,0.0,3.0,0.0,7.0,123.0
