,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Angola,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,20.0,1.0,0.0,3.0,0.0,1.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,1.0,220.0,9.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,35.0,0.0,26.0,1.0,0.0,0.0,5.0,1.0,3.0,30.0,1.0,0.0,2.0,11.0,0.0,2.0,3.0,0.0,0.0,25.0,0.0,0.0,9.0,6.0,1.0,0.0,1.0,1.0,68.0,0.0,38.0,2.0,0.0,0.0,2.0,9.0,27.0
Turkey,0.0,23.0,0.0,6.0,2.0,3.0,10.0,0.0,1.0,0.0,35.0,1.0,3.0,22.0,0.0,97.0,9.0,3.0,3.0,1.0,22.0,5.0,7.0,142.0,0.0,42.0,24.0,5.0,4.0,0.0,6.0,0.0,24.0,2.0,0.0,0.0,0.0,263.0,32.0,0.0,1.0,1.0,32.0,0.0,57.0,142.0,85.0,11.0,39.0,3.0,2.0,0.0,110.0,0.0,1.0,0.0,3.0,4.0,21.0,5.0,0.0,0.0,17.0,0.0,9.0,56.0,0.0,219.0,29.0,32.0,0.0,0.0,1.0,2.0,0.0,17.0,3.0,20.0,49.0,0.0,309.0,76.0,0.0,0.0,35.0,13.0,21.0,73.0,83.0,0.0,48.0,7.0,0.0,5.0,9.0,7.0,0.0,41.0,14.0,1.0,13.0,8.0,0.0,0.0,0.0,10.0,168.0,0.0,20.0,56.0,6.0,97.0,1.0,5.0,24.0
Djibouti,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,0.0,5.0,0.0,4.0,1.0,2.0,5.0,0.0,1.0,1.0,10.0,1.0,5.0,3.0,1.0,39.0,3.0,2.0,0.0,0.0,2.0,2.0,15.0,15.0,0.0,16.0,3.0,1.0,2.0,1.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,5.0,1.0,0.0,0.0,10.0,12.0,6.0,0.0,5.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,84.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,2.0,16.0,0.0,10.0,5.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,8.0,5.0,0.0,0.0,0.0,10.0,4.0
Ukraine,0.0,1.0,0.0,4.0,2.0,48.0,2.0,0.0,0.0,0.0,8.0,6.0,4.0,7.0,0.0,99.0,0.0,0.0,3.0,0.0,2.0,6.0,14.0,24.0,0.0,143.0,0.0,4.0,5.0,5.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,124.0,0.0,0.0,3.0,4.0,0.0,0.0,14.0,19.0,18.0,0.0,6.0,2.0,0.0,0.0,354.0,0.0,0.0,1.0,3.0,0.0,5.0,11.0,0.0,0.0,31.0,0.0,5.0,4.0,0.0,1011.0,5.0,1.0,0.0,0.0,26.0,3.0,1.0,6.0,2.0,1.0,12.0,0.0,96.0,0.0,2.0,0.0,34.0,50.0,5.0,15.0,25.0,2.0,8.0,1.0,0.0,2.0,5.0,8.0,0.0,17.0,23.0,0.0,24.0,8.0,1.0,1.0,2.0,0.0,129.0,14.0,8.0,12.0,0.0,6.0,0.0,28.0,18.0
Uganda,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.0,8.0,41.0,3.0,2.0,0.0,0.0,6.0,4.0,8.0,2.0,0.0,1573.0,0.0,18.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,10.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,42.0,22.0,1.0,2.0,0.0,1.0,0.0,93.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,15.0,51.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,3.0,36.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,17.0,14.0,0.0,1.0,3.0,0.0,2.0,3.0,2.0,0.0,27.0,4.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,17.0,24.0,0.0,10.0,0.0,11.0,80.0
Algeria,0.0,1.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,53.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,37.0,0.0,14.0,1.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,1.0,0.0,1.0,0.0,10.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,84.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,8.0,13.0,0.0,2.0,0.0,3.0,4.0
"Iran, Islamic Republic of",0.0,13.0,1.0,9.0,0.0,1.0,25.0,0.0,2.0,0.0,1.0,0.0,7.0,56.0,0.0,53.0,1.0,0.0,0.0,0.0,28.0,1.0,5.0,275.0,0.0,33.0,1.0,18.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,46.0,63.0,1.0,26.0,1.0,0.0,0.0,57.0,2.0,8.0,0.0,17.0,0.0,0.0,0.0,58.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,15.0,1.0,35.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,36.0,1.0,46.0,1.0,1.0,0.0,0.0,10.0,3.0,13.0,13.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,6.0,5.0,0.0,1.0,2.0,1.0,31.0,1.0,4.0,47.0,0.0,9.0,0.0,3.0,0.0,0.0,2.0,4.0
Argentina,0.0,3.0,1.0,5.0,2.0,40.0,90.0,0.0,1.0,35.0,12.0,11.0,4.0,7.0,1.0,11.0,0.0,2.0,1.0,0.0,18.0,4.0,159.0,9.0,1.0,48.0,10.0,5.0,0.0,0.0,0.0,4.0,47.0,1.0,0.0,3.0,0.0,22.0,14.0,2.0,3.0,3.0,167.0,0.0,34.0,64.0,57.0,0.0,24.0,0.0,1.0,0.0,79.0,0.0,0.0,0.0,3.0,3.0,288.0,21.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,82.0,17.0,2.0,0.0,0.0,1.0,7.0,0.0,2.0,4.0,16.0,11.0,0.0,27.0,16.0,4.0,0.0,33.0,15.0,2.0,103.0,24.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,94.0,38.0,0.0,6.0,6.0,0.0,31.0,7.0,1.0,63.0,0.0,11.0,15.0,0.0,0.0,0.0,27.0,102.0
Rwanda,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,10.0,13.0,1.0,1.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,3.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,12.0,0.0,0.0,0.0,4.0,13.0
Thailand,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,49.0,3.0,13.0,0.0,36.0,0.0,2.0,0.0,1.0,14.0,3.0,210.0,3.0,0.0,60.0,7.0,24.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,25.0,1.0,6.0,4.0,0.0,0.0,0.0,20.0,7.0,12.0,0.0,34.0,4.0,0.0,0.0,50.0,7.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,8.0,0.0,1.0,55.0,0.0,48.0,4.0,6.0,0.0,1.0,1.0,6.0,0.0,2.0,2.0,1.0,7.0,0.0,25.0,1.0,0.0,0.0,7.0,1.0,2.0,26.0,7.0,0.0,2.0,9.0,0.0,8.0,2.0,0.0,1.0,12.0,20.0,0.0,4.0,7.0,0.0,3.0,4.0,0.0,32.0,0.0,27.0,0.0,0.0,1.0,0.0,32.0,54.0
Kyrgyzstan,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
Mali,0.0,1.0,0.0,2.0,3.0,1.0,9.0,0.0,1.0,0.0,2.0,0.0,1.0,10.0,0.0,46.0,0.0,1.0,0.0,1.0,3.0,6.0,6.0,65.0,2.0,63.0,1.0,6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,8.0,0.0,8.0,6.0,2.0,2.0,13.0,1.0,0.0,5.0,9.0,6.0,0.0,10.0,0.0,0.0,1.0,15.0,0.0,1.0,0.0,10.0,1.0,14.0,4.0,0.0,0.0,16.0,0.0,0.0,128.0,0.0,119.0,18.0,1.0,0.0,0.0,8.0,0.0,16.0,1.0,7.0,3.0,5.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,4.0,9.0,6.0,0.0,0.0,7.0,0.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,4.0,1.0,6.0,3.0,1.0,0.0,37.0,0.0,17.0,18.0,3.0,2.0,0.0,6.0,3.0
"Korea, Republic of",0.0,2.0,0.0,25.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,10.0,0.0,4.0,0.0,0.0,48.0,1.0,6.0,5.0,0.0,18.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,5.0,0.0,4.0,5.0,10.0,1.0,7.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
Yemen,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,837.0,0.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,175.0,0.0,63.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,112.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,10.0,0.0,52.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0
Hungary,0.0,31.0,0.0,25.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,6.0,0.0,16.0,1.0,6.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,21.0,59.0,18.0,2.0,18.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,6.0,0.0,36.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,11.0,0.0,5.0,0.0,2.0,38.0,0.0,2.0,65.0
Nigeria,0.0,2.0,2.0,25.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,11.0,116.0,0.0,110.0,0.0,11.0,0.0,1.0,25.0,8.0,6.0,8.0,4.0,221.0,2.0,31.0,1.0,0.0,1.0,2.0,12.0,1.0,0.0,9.0,0.0,48.0,17.0,0.0,12.0,1.0,16.0,0.0,36.0,95.0,56.0,2.0,25.0,4.0,6.0,0.0,48.0,0.0,0.0,218.0,2.0,0.0,77.0,0.0,5.0,1.0,3.0,0.0,13.0,277.0,2.0,132.0,52.0,2.0,0.0,0.0,1.0,4.0,14.0,2.0,3.0,4.0,240.0,0.0,4.0,13.0,0.0,0.0,6.0,7.0,231.0,73.0,10.0,0.0,1.0,14.0,0.0,3.0,1.0,7.0,0.0,12.0,17.0,1.0,8.0,1.0,7.0,1.0,8.0,1.0,91.0,0.0,120.0,36.0,0.0,2.0,1.0,51.0,19.0
Namibia,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0
Iraq,0.0,3.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,14.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,194.0,0.0,28.0,2.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,35.0,7.0,2.0,6.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,24.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,1.0,18.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,44.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,10.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0,0.0,5.0,8.0,2.0,1.0,0.0,0.0,6.0
Belarus,0.0,1.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,13.0,13.0,1.0,1.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,5.0,0.0,65.0,10.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,2.0,3.0,7.0,0.0,33.0,0.0,0.0,0.0,4.0,6.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,14.0,1.0,1.0,3.0,0.0,2.0,4.0,0.0,47.0,1.0,8.0,10.0,0.0,0.0,0.0,9.0,5.0
Finland,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,7.0,0.0,15.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,9.0,6.0,21.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,4.0,0.0,7.0,1.0,0.0,0.0,19.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,48.0,3.0,2.0,0.0,0.0,15.0,1.0,0.0,1.0,3.0,0.0,18.0,0.0,4.0,10.0,0.0,0.0,3.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Turkmenistan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0
Cuba,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.0,10.0,0.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,43.0,13.0,0.0,45.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,6.0,1.0,0.0,4.0,17.0,4.0,0.0,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,42.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,40.0
Central African Republic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,1.0,0.0,0.0,0.0,19.0,5.0
Indonesia,0.0,7.0,1.0,10.0,4.0,18.0,10.0,0.0,3.0,4.0,1.0,16.0,8.0,5.0,0.0,57.0,0.0,4.0,0.0,0.0,10.0,8.0,113.0,6.0,1.0,51.0,1.0,5.0,3.0,0.0,1.0,0.0,42.0,0.0,0.0,2.0,0.0,24.0,2.0,2.0,5.0,5.0,1.0,1.0,53.0,56.0,39.0,1.0,37.0,4.0,2.0,0.0,86.0,0.0,0.0,1.0,5.0,4.0,17.0,9.0,0.0,0.0,0.0,0.0,11.0,59.0,1.0,107.0,22.0,0.0,0.0,1.0,1.0,1.0,0.0,12.0,2.0,8.0,30.0,0.0,61.0,2.0,4.0,0.0,16.0,23.0,3.0,43.0,8.0,0.0,3.0,2.0,0.0,2.0,2.0,7.0,0.0,37.0,15.0,0.0,9.0,6.0,0.0,3.0,5.0,0.0,44.0,0.0,12.0,4.0,0.0,0.0,0.0,20.0,50.0
Mozambique,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,19.0,0.0,2.0,1380.0,4.0,43.0,0.0,0.0,0.0,8.0,5.0,0.0,7.0,0.0,0.0,102.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,13.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,660.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,27.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,34.0,0.0,89.0,7.0,0.0,0.0,0.0,9.0,22.0
Lesotho,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
