,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Norway,3.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,5.0,2.0,30.0,0.0,4.0,0.0,0.0,24.0,4.0,0.0,6.0,0.0,32.0,3.0,10.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,10.0,4.0,2.0,1.0,1.0,0.0,1.0,8.0,6.0,2.0,8.0,0.0,0.0,0.0,58.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,5.0,2.0,0.0,89.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,19.0,1.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,12.0,2.0,0.0,6.0,0.0,7.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,5.0
Spain,86.0,1.0,2.0,9.0,4.0,48.0,83.0,0.0,2.0,37.0,16.0,14.0,19.0,32.0,0.0,60.0,1.0,9.0,1.0,0.0,19.0,21.0,107.0,80.0,0.0,156.0,7.0,28.0,3.0,0.0,2.0,1.0,122.0,0.0,0.0,1.0,2.0,241.0,6.0,4.0,36.0,53.0,5.0,0.0,49.0,135.0,462.0,1.0,94.0,20.0,1.0,0.0,211.0,0.0,0.0,6.0,50.0,5.0,47.0,2.0,0.0,2.0,6.0,1.0,8.0,86.0,5.0,549.0,150.0,40.0,0.0,0.0,5.0,19.0,0.0,5.0,11.0,62.0,37.0,4.0,51.0,0.0,1.0,0.0,46.0,15.0,6.0,207.0,155.0,1.0,48.0,6.0,0.0,6.0,3.0,37.0,1.0,194.0,40.0,31.0,14.0,42.0,0.0,46.0,13.0,0.0,189.0,0.0,19.0,20.0,1.0,7.0,0.0,19.0,113.0
Italy,35.0,17.0,1.0,68.0,9.0,32.0,23.0,1.0,19.0,9.0,91.0,77.0,10.0,7.0,1.0,169.0,1.0,23.0,0.0,4.0,28.0,30.0,61.0,59.0,0.0,176.0,7.0,33.0,33.0,0.0,9.0,1.0,300.0,6.0,0.0,8.0,0.0,102.0,54.0,5.0,7.0,116.0,6.0,0.0,58.0,309.0,452.0,3.0,212.0,103.0,0.0,0.0,481.0,1.0,1.0,2.0,265.0,18.0,228.0,28.0,4.0,0.0,11.0,1.0,10.0,109.0,0.0,1269.0,920.0,18.0,1.0,0.0,33.0,134.0,1.0,109.0,135.0,37.0,175.0,7.0,24.0,33.0,20.0,0.0,49.0,501.0,3.0,380.0,109.0,5.0,217.0,10.0,3.0,1.0,12.0,52.0,0.0,194.0,52.0,24.0,45.0,47.0,0.0,42.0,2.0,2.0,170.0,0.0,32.0,60.0,1.0,92.0,0.0,16.0,113.0
Japan,9.0,5.0,1.0,30.0,0.0,7.0,0.0,4.0,7.0,4.0,2.0,2.0,3.0,31.0,4.0,105.0,0.0,9.0,0.0,1.0,98.0,20.0,15.0,6.0,0.0,57.0,1.0,36.0,49.0,0.0,4.0,1.0,33.0,0.0,0.0,1.0,56.0,128.0,4.0,0.0,6.0,14.0,2.0,0.0,9.0,39.0,31.0,3.0,33.0,12.0,0.0,0.0,208.0,4.0,0.0,85.0,1.0,1.0,60.0,2.0,0.0,0.0,4.0,0.0,15.0,36.0,17.0,359.0,12.0,1.0,0.0,0.0,3.0,26.0,0.0,7.0,21.0,18.0,9.0,0.0,14.0,6.0,1.0,1.0,8.0,203.0,20.0,70.0,13.0,1.0,0.0,5.0,1.0,5.0,11.0,4.0,0.0,100.0,48.0,31.0,2.0,4.0,0.0,0.0,2.0,0.0,24.0,0.0,11.0,11.0,1.0,0.0,0.0,32.0,46.0
Russian Federation,8.0,90.0,23.0,104.0,6.0,21.0,33.0,0.0,3.0,2.0,55.0,13.0,17.0,33.0,1.0,376.0,9.0,7.0,4.0,0.0,38.0,16.0,95.0,81.0,1.0,223.0,177.0,46.0,9.0,43.0,1.0,0.0,120.0,1.0,0.0,21.0,2.0,419.0,5.0,24.0,4.0,17.0,3.0,0.0,107.0,140.0,78.0,4.0,13.0,3.0,0.0,0.0,1331.0,1.0,0.0,0.0,2.0,1.0,24.0,6.0,0.0,0.0,121.0,0.0,17.0,50.0,3.0,802.0,43.0,9.0,0.0,0.0,40.0,1.0,1.0,35.0,7.0,58.0,101.0,0.0,164.0,9.0,2.0,0.0,140.0,109.0,6.0,84.0,23.0,0.0,10.0,0.0,0.0,16.0,22.0,8.0,20.0,148.0,55.0,6.0,17.0,16.0,1.0,15.0,7.0,0.0,378.0,18.0,95.0,50.0,0.0,6.0,0.0,54.0,91.0
Peru,3.0,1.0,0.0,1.0,1.0,1.0,13.0,0.0,5.0,8.0,10.0,16.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,78.0,13.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,1.0,7.0,5.0,0.0,21.0,37.0,7.0,1.0,13.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,46.0,5.0,7.0,0.0,0.0,1.0,3.0,0.0,2.0,9.0,3.0,6.0,2.0,8.0,1.0,0.0,0.0,20.0,8.0,0.0,30.0,5.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0,12.0,9.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,6.0,3.0,0.0,0.0,0.0,13.0,82.0
China,1.0,11.0,3.0,269.0,2.0,6.0,5.0,1.0,6.0,1.0,2.0,2.0,15.0,32.0,3.0,632.0,2.0,13.0,3.0,6.0,181.0,18.0,58.0,46.0,0.0,240.0,93.0,132.0,16.0,0.0,17.0,0.0,90.0,2.0,0.0,3.0,18.0,184.0,47.0,1.0,25.0,5.0,1.0,0.0,43.0,202.0,134.0,47.0,70.0,10.0,1.0,0.0,617.0,23.0,0.0,2.0,2.0,5.0,22.0,9.0,1.0,0.0,1.0,1.0,32.0,161.0,13.0,300.0,39.0,13.0,3.0,1.0,19.0,1018.0,2.0,10.0,68.0,64.0,84.0,0.0,155.0,22.0,10.0,0.0,158.0,17.0,139.0,56.0,51.0,0.0,1.0,16.0,0.0,117.0,5.0,13.0,0.0,172.0,34.0,15.0,7.0,10.0,0.0,3.0,1.0,3.0,112.0,0.0,23.0,135.0,0.0,24.0,0.0,24.0,53.0
Bulgaria,3.0,7.0,1.0,202.0,5.0,5.0,46.0,0.0,7.0,0.0,49.0,2.0,3.0,2.0,0.0,28.0,0.0,2.0,0.0,3.0,4.0,2.0,3.0,2.0,0.0,34.0,8.0,7.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,51.0,51.0,7.0,0.0,14.0,1.0,0.0,0.0,1475.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,2.0,15.0,0.0,645.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,72.0,13.0,15.0,65.0,8.0,0.0,0.0,68.0,171.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,80.0,46.0,0.0,4.0,1.0,0.0,144.0,1.0,0.0,75.0,1.0,5.0,4.0,0.0,8.0,0.0,2.0,13.0
United Kingdom,2.0,19.0,4.0,31.0,10.0,34.0,5.0,2.0,15.0,10.0,26.0,19.0,41.0,77.0,3.0,355.0,0.0,13.0,4.0,16.0,356.0,40.0,53.0,47.0,3.0,232.0,5.0,322.0,13.0,0.0,31.0,2.0,168.0,4.0,0.0,11.0,8.0,351.0,41.0,10.0,137.0,21.0,28.0,1.0,70.0,102.0,340.0,5.0,165.0,46.0,8.0,1.0,754.0,3.0,1.0,5.0,36.0,18.0,80.0,7.0,3.0,0.0,62.0,1.0,12.0,142.0,12.0,322.0,173.0,7.0,3.0,1.0,129.0,15.0,23.0,17.0,32.0,76.0,52.0,5.0,90.0,51.0,5.0,1.0,48.0,74.0,32.0,240.0,157.0,3.0,8.0,19.0,0.0,26.0,24.0,38.0,1.0,124.0,49.0,84.0,20.0,18.0,5.0,10.0,15.0,3.0,135.0,0.0,113.0,32.0,2.0,4.0,0.0,34.0,136.0
"Bolivia, Plurinational State of",3.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,18.0,2.0,13.0,1.0,5.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,2.0,119.0,4.0,0.0,12.0,2.0,41.0,1.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,120.0,0.0,3.0,8.0,7.0,0.0,5.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,2.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,45.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,22.0,0.0,2.0,0.0,3.0,3.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,6.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,28.0,0.0,3.0,1.0,0.0,0.0,0.0,37.0,76.0
