,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,76.0,1.0,0.0,13.0,4.0,51.0,112.0,0.0,3.0,39.0,16.0,101.0,69.0,40.0,5.0,51.0,5.0,8.0,1.0,0.0,34.0,27.0,123.0,68.0,0.0,154.0,6.0,38.0,2.0,0.0,2.0,1.0,154.0,3.0,0.0,2.0,3.0,381.0,12.0,1.0,56.0,37.0,6.0,0.0,48.0,142.0,430.0,1.0,108.0,14.0,1.0,0.0,183.0,0.0,0.0,3.0,51.0,6.0,45.0,2.0,6.0,2.0,6.0,0.0,9.0,85.0,3.0,560.0,188.0,53.0,0.0,0.0,7.0,16.0,2.0,6.0,8.0,40.0,32.0,3.0,56.0,5.0,12.0,0.0,41.0,24.0,7.0,267.0,161.0,1.0,38.0,6.0,0.0,6.0,5.0,32.0,1.0,176.0,91.0,32.0,14.0,35.0,0.0,51.0,19.0,0.0,201.0,0.0,25.0,29.0,1.0,3.0,0.0,15.0,141.0
Germany,2.0,17.0,3.0,67.0,16.0,23.0,6.0,2.0,18.0,1.0,90.0,4.0,29.0,38.0,2.0,219.0,70.0,12.0,2.0,37.0,63.0,57.0,25.0,45.0,1.0,259.0,28.0,72.0,9.0,0.0,36.0,0.0,263.0,6.0,0.0,2.0,12.0,78.0,18.0,1.0,29.0,46.0,92.0,0.0,47.0,147.0,200.0,9.0,117.0,47.0,1.0,0.0,482.0,9.0,1.0,14.0,10.0,16.0,30.0,4.0,1.0,0.0,78.0,1.0,15.0,92.0,26.0,1606.0,62.0,2.0,0.0,0.0,49.0,34.0,4.0,20.0,17.0,20.0,116.0,3.0,37.0,15.0,24.0,0.0,25.0,88.0,4.0,92.0,230.0,0.0,10.0,17.0,5.0,10.0,18.0,39.0,0.0,59.0,43.0,10.0,14.0,18.0,2.0,7.0,11.0,0.0,141.0,9.0,33.0,25.0,0.0,28.0,0.0,21.0,65.0
Peru,2.0,4.0,0.0,0.0,1.0,3.0,12.0,0.0,3.0,9.0,20.0,17.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,81.0,10.0,0.0,8.0,0.0,4.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,3.0,7.0,5.0,0.0,16.0,33.0,9.0,1.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,69.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,38.0,2.0,15.0,0.0,2.0,0.0,13.0,15.0,0.0,26.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,6.0,0.0,12.0,10.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,50.0,0.0,4.0,3.0,0.0,0.0,0.0,12.0,108.0
Japan,6.0,5.0,1.0,28.0,2.0,22.0,1.0,4.0,8.0,5.0,2.0,4.0,3.0,27.0,3.0,112.0,0.0,8.0,0.0,0.0,109.0,20.0,20.0,12.0,0.0,50.0,1.0,40.0,53.0,0.0,6.0,0.0,36.0,0.0,0.0,2.0,60.0,138.0,7.0,1.0,7.0,13.0,2.0,0.0,10.0,32.0,33.0,3.0,38.0,11.0,0.0,0.0,183.0,7.0,3.0,86.0,2.0,0.0,67.0,1.0,1.0,0.0,4.0,0.0,15.0,45.0,4.0,270.0,13.0,0.0,0.0,0.0,3.0,20.0,0.0,7.0,21.0,16.0,4.0,0.0,23.0,4.0,1.0,2.0,4.0,97.0,19.0,65.0,16.0,1.0,0.0,4.0,1.0,1.0,13.0,6.0,0.0,103.0,21.0,50.0,2.0,2.0,0.0,0.0,2.0,0.0,33.0,0.0,11.0,11.0,0.0,0.0,0.0,14.0,43.0
Australia,2.0,4.0,0.0,30.0,3.0,11.0,10.0,6.0,4.0,2.0,3.0,8.0,25.0,12.0,1.0,156.0,0.0,5.0,1.0,1.0,40.0,17.0,28.0,15.0,0.0,53.0,2.0,65.0,6.0,0.0,7.0,3.0,113.0,1.0,0.0,2.0,1.0,99.0,7.0,1.0,64.0,4.0,1.0,25.0,26.0,128.0,82.0,1.0,42.0,14.0,3.0,0.0,401.0,3.0,0.0,0.0,15.0,1.0,18.0,7.0,4.0,0.0,10.0,0.0,6.0,26.0,6.0,175.0,50.0,1.0,0.0,4.0,7.0,6.0,17.0,8.0,33.0,55.0,20.0,20.0,22.0,13.0,8.0,0.0,36.0,19.0,3.0,91.0,163.0,2.0,5.0,4.0,1.0,79.0,37.0,14.0,0.0,74.0,21.0,1.0,12.0,25.0,1.0,3.0,2.0,0.0,55.0,0.0,14.0,14.0,1.0,3.0,0.0,13.0,69.0
United States,12.0,72.0,13.0,164.0,54.0,166.0,107.0,5.0,69.0,100.0,353.0,145.0,172.0,125.0,72.0,2480.0,1.0,117.0,67.0,27.0,1123.0,525.0,353.0,121.0,45.0,1815.0,15.0,1033.0,129.0,1.0,272.0,43.0,1064.0,9.0,0.0,26.0,47.0,761.0,257.0,20.0,89.0,94.0,92.0,4.0,914.0,2070.0,2138.0,16.0,1234.0,418.0,60.0,1.0,2662.0,14.0,3.0,18.0,274.0,14.0,154.0,26.0,13.0,3.0,326.0,4.0,214.0,552.0,28.0,4830.0,227.0,212.0,1.0,7.0,173.0,92.0,22.0,223.0,155.0,216.0,382.0,14.0,418.0,814.0,38.0,9.0,156.0,574.0,108.0,1272.0,767.0,27.0,62.0,20.0,0.0,144.0,44.0,312.0,2.0,668.0,240.0,184.0,146.0,252.0,5.0,29.0,39.0,6.0,539.0,3.0,297.0,250.0,0.0,149.0,2.0,275.0,1325.0
"Macedonia, Republic of",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,1042.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,114.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,115.0,3.0,0.0,11.0,0.0,0.0,8.0,0.0,1.0,15.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,5.0
Indonesia,1.0,3.0,1.0,10.0,5.0,15.0,8.0,0.0,2.0,6.0,2.0,18.0,10.0,5.0,0.0,51.0,0.0,2.0,0.0,0.0,10.0,6.0,187.0,11.0,0.0,46.0,0.0,6.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,4.0,0.0,20.0,3.0,1.0,8.0,3.0,0.0,1.0,8.0,43.0,42.0,0.0,31.0,3.0,1.0,0.0,74.0,8.0,0.0,0.0,6.0,11.0,19.0,19.0,0.0,0.0,0.0,0.0,5.0,76.0,0.0,106.0,23.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,2.0,13.0,28.0,0.0,45.0,2.0,4.0,0.0,14.0,21.0,0.0,46.0,7.0,0.0,4.0,12.0,0.0,4.0,2.0,7.0,0.0,35.0,14.0,0.0,6.0,6.0,0.0,4.0,7.0,0.0,43.0,0.0,11.0,3.0,0.0,1.0,0.0,43.0,71.0
Italy,45.0,13.0,1.0,52.0,11.0,36.0,29.0,1.0,10.0,20.0,91.0,112.0,21.0,10.0,2.0,77.0,1.0,21.0,0.0,4.0,30.0,31.0,83.0,58.0,0.0,177.0,12.0,37.0,33.0,0.0,11.0,1.0,431.0,5.0,0.0,5.0,0.0,121.0,59.0,6.0,8.0,118.0,6.0,0.0,88.0,285.0,395.0,2.0,201.0,88.0,0.0,0.0,322.0,2.0,1.0,1.0,283.0,21.0,277.0,26.0,5.0,0.0,25.0,2.0,11.0,101.0,0.0,999.0,940.0,20.0,1.0,0.0,43.0,158.0,1.0,95.0,118.0,23.0,157.0,7.0,27.0,36.0,24.0,0.0,66.0,418.0,3.0,247.0,113.0,18.0,165.0,6.0,2.0,1.0,4.0,41.0,0.0,180.0,54.0,48.0,155.0,38.0,0.0,10.0,3.0,3.0,182.0,0.0,42.0,67.0,1.0,99.0,0.0,28.0,161.0
Turkey,2.0,14.0,0.0,10.0,1.0,3.0,6.0,0.0,0.0,0.0,22.0,1.0,2.0,17.0,0.0,111.0,14.0,2.0,3.0,1.0,12.0,4.0,8.0,99.0,0.0,26.0,8.0,8.0,3.0,0.0,4.0,0.0,24.0,2.0,0.0,0.0,0.0,146.0,31.0,0.0,1.0,1.0,1.0,0.0,21.0,119.0,63.0,0.0,46.0,2.0,0.0,0.0,175.0,0.0,0.0,0.0,1.0,5.0,26.0,3.0,0.0,0.0,13.0,0.0,6.0,36.0,0.0,223.0,28.0,33.0,0.0,0.0,10.0,1.0,0.0,13.0,3.0,22.0,65.0,8.0,290.0,84.0,0.0,0.0,26.0,12.0,29.0,64.0,84.0,0.0,47.0,6.0,0.0,4.0,9.0,9.0,0.0,90.0,16.0,1.0,13.0,34.0,0.0,3.0,0.0,11.0,179.0,0.0,15.0,21.0,3.0,9.0,1.0,4.0,24.0
